fr079_ocount_120_osize_12_otype_RECTANGLE.png threshold:0.000 precision:0.897 recall:1.000 true_negative_rate:0.000 true_positive:36465 true_negative:0 false_positive:4190 false_negative:0 
fr079_ocount_120_osize_12_otype_RECTANGLE.png threshold:0.050 precision:0.919 recall:0.977 true_negative_rate:0.251 true_positive:35625 true_negative:1050 false_positive:3140 false_negative:840 
fr079_ocount_120_osize_12_otype_RECTANGLE.png threshold:0.100 precision:0.941 recall:0.904 true_negative_rate:0.507 true_positive:32975 true_negative:2126 false_positive:2064 false_negative:3490 
fr079_ocount_120_osize_12_otype_RECTANGLE.png threshold:0.150 precision:0.962 recall:0.770 true_negative_rate:0.734 true_positive:28090 true_negative:3076 false_positive:1114 false_negative:8375 
fr079_ocount_120_osize_12_otype_RECTANGLE.png threshold:0.200 precision:0.978 recall:0.606 true_negative_rate:0.880 true_positive:22110 true_negative:3686 false_positive:504 false_negative:14355 
fr079_ocount_120_osize_12_otype_RECTANGLE.png threshold:0.250 precision:0.988 recall:0.464 true_negative_rate:0.949 true_positive:16903 true_negative:3978 false_positive:212 false_negative:19562 
fr079_ocount_120_osize_12_otype_RECTANGLE.png threshold:0.300 precision:0.993 recall:0.349 true_negative_rate:0.978 true_positive:12731 true_negative:4096 false_positive:94 false_negative:23734 
fr079_ocount_120_osize_12_otype_RECTANGLE.png threshold:0.350 precision:0.996 recall:0.253 true_negative_rate:0.991 true_positive:9219 true_negative:4153 false_positive:37 false_negative:27246 
fr079_ocount_120_osize_12_otype_RECTANGLE.png threshold:0.400 precision:0.997 recall:0.175 true_negative_rate:0.995 true_positive:6366 true_negative:4169 false_positive:21 false_negative:30099 
fr079_ocount_120_osize_12_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.119 true_negative_rate:1.000 true_positive:4325 true_negative:4189 false_positive:1 false_negative:32140 
fr079_ocount_120_osize_12_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.078 true_negative_rate:1.000 true_positive:2831 true_negative:4190 false_positive:0 false_negative:33634 
fr079_ocount_120_osize_12_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.047 true_negative_rate:1.000 true_positive:1721 true_negative:4190 false_positive:0 false_negative:34744 
fr079_ocount_120_osize_12_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.022 true_negative_rate:1.000 true_positive:819 true_negative:4190 false_positive:0 false_negative:35646 
fr079_ocount_120_osize_12_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:332 true_negative:4190 false_positive:0 false_negative:36133 
fr079_ocount_120_osize_12_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.004 true_negative_rate:1.000 true_positive:144 true_negative:4190 false_positive:0 false_negative:36321 
fr079_ocount_120_osize_12_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:65 true_negative:4190 false_positive:0 false_negative:36400 
fr079_ocount_120_osize_12_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:30 true_negative:4190 false_positive:0 false_negative:36435 
fr079_ocount_120_osize_12_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:14 true_negative:4190 false_positive:0 false_negative:36451 
fr079_ocount_120_osize_12_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:10 true_negative:4190 false_positive:0 false_negative:36455 
fr079_ocount_120_osize_12_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:4190 false_positive:0 false_negative:36459 
fr079_ocount_120_osize_12_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:4190 false_positive:0 false_negative:36464 
