edmonton_ocount_20_osize_33_otype_RECTANGLE.png threshold:0.000 precision:0.885 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:5806 false_negative:0 
edmonton_ocount_20_osize_33_otype_RECTANGLE.png threshold:0.050 precision:0.861 recall:0.724 true_negative_rate:0.102 true_positive:32279 true_negative:595 false_positive:5211 false_negative:12308 
edmonton_ocount_20_osize_33_otype_RECTANGLE.png threshold:0.100 precision:0.909 recall:0.453 true_negative_rate:0.652 true_positive:20193 true_negative:3788 false_positive:2018 false_negative:24394 
edmonton_ocount_20_osize_33_otype_RECTANGLE.png threshold:0.150 precision:0.980 recall:0.307 true_negative_rate:0.952 true_positive:13700 true_negative:5525 false_positive:281 false_negative:30887 
edmonton_ocount_20_osize_33_otype_RECTANGLE.png threshold:0.200 precision:0.996 recall:0.219 true_negative_rate:0.993 true_positive:9782 true_negative:5765 false_positive:41 false_negative:34805 
edmonton_ocount_20_osize_33_otype_RECTANGLE.png threshold:0.250 precision:0.997 recall:0.167 true_negative_rate:0.996 true_positive:7448 true_negative:5782 false_positive:24 false_negative:37139 
edmonton_ocount_20_osize_33_otype_RECTANGLE.png threshold:0.300 precision:0.999 recall:0.129 true_negative_rate:0.999 true_positive:5734 true_negative:5800 false_positive:6 false_negative:38853 
edmonton_ocount_20_osize_33_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.110 true_negative_rate:1.000 true_positive:4895 true_negative:5804 false_positive:2 false_negative:39692 
edmonton_ocount_20_osize_33_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.088 true_negative_rate:1.000 true_positive:3932 true_negative:5806 false_positive:0 false_negative:40655 
edmonton_ocount_20_osize_33_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3611 true_negative:5806 false_positive:0 false_negative:40976 
edmonton_ocount_20_osize_33_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.074 true_negative_rate:1.000 true_positive:3308 true_negative:5806 false_positive:0 false_negative:41279 
edmonton_ocount_20_osize_33_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3109 true_negative:5806 false_positive:0 false_negative:41478 
edmonton_ocount_20_osize_33_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3042 true_negative:5806 false_positive:0 false_negative:41545 
edmonton_ocount_20_osize_33_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:2711 true_negative:5806 false_positive:0 false_negative:41876 
edmonton_ocount_20_osize_33_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.016 true_negative_rate:1.000 true_positive:694 true_negative:5806 false_positive:0 false_negative:43893 
edmonton_ocount_20_osize_33_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:394 true_negative:5806 false_positive:0 false_negative:44193 
edmonton_ocount_20_osize_33_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:9 true_negative:5806 false_positive:0 false_negative:44578 
edmonton_ocount_20_osize_33_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:5806 false_positive:0 false_negative:44586 
edmonton_ocount_20_osize_33_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:5806 false_positive:0 false_negative:44586 
edmonton_ocount_20_osize_33_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:5806 false_positive:0 false_negative:44586 
edmonton_ocount_20_osize_33_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:5806 false_positive:0 false_negative:44586 
