aces_publicb_ocount_20_osize_13_otype_RANDOM.png threshold:0.000 precision:0.966 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:1314 false_negative:0 
aces_publicb_ocount_20_osize_13_otype_RANDOM.png threshold:0.050 precision:0.973 recall:0.857 true_negative_rate:0.312 true_positive:32393 true_negative:410 false_positive:904 false_negative:5402 
aces_publicb_ocount_20_osize_13_otype_RANDOM.png threshold:0.100 precision:0.995 recall:0.718 true_negative_rate:0.893 true_positive:27141 true_negative:1174 false_positive:140 false_negative:10654 
aces_publicb_ocount_20_osize_13_otype_RANDOM.png threshold:0.150 precision:0.998 recall:0.620 true_negative_rate:0.972 true_positive:23427 true_negative:1277 false_positive:37 false_negative:14368 
aces_publicb_ocount_20_osize_13_otype_RANDOM.png threshold:0.200 precision:0.999 recall:0.541 true_negative_rate:0.991 true_positive:20439 true_negative:1302 false_positive:12 false_negative:17356 
aces_publicb_ocount_20_osize_13_otype_RANDOM.png threshold:0.250 precision:1.000 recall:0.477 true_negative_rate:0.997 true_positive:18019 true_negative:1310 false_positive:4 false_negative:19776 
aces_publicb_ocount_20_osize_13_otype_RANDOM.png threshold:0.300 precision:1.000 recall:0.421 true_negative_rate:0.999 true_positive:15898 true_negative:1313 false_positive:1 false_negative:21897 
aces_publicb_ocount_20_osize_13_otype_RANDOM.png threshold:0.350 precision:1.000 recall:0.358 true_negative_rate:1.000 true_positive:13523 true_negative:1314 false_positive:0 false_negative:24272 
aces_publicb_ocount_20_osize_13_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.287 true_negative_rate:1.000 true_positive:10836 true_negative:1314 false_positive:0 false_negative:26959 
aces_publicb_ocount_20_osize_13_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.231 true_negative_rate:1.000 true_positive:8726 true_negative:1314 false_positive:0 false_negative:29069 
aces_publicb_ocount_20_osize_13_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.185 true_negative_rate:1.000 true_positive:6974 true_negative:1314 false_positive:0 false_negative:30821 
aces_publicb_ocount_20_osize_13_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.142 true_negative_rate:1.000 true_positive:5362 true_negative:1314 false_positive:0 false_negative:32433 
aces_publicb_ocount_20_osize_13_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.099 true_negative_rate:1.000 true_positive:3756 true_negative:1314 false_positive:0 false_negative:34039 
aces_publicb_ocount_20_osize_13_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.067 true_negative_rate:1.000 true_positive:2529 true_negative:1314 false_positive:0 false_negative:35266 
aces_publicb_ocount_20_osize_13_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.034 true_negative_rate:1.000 true_positive:1287 true_negative:1314 false_positive:0 false_negative:36508 
aces_publicb_ocount_20_osize_13_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.013 true_negative_rate:1.000 true_positive:506 true_negative:1314 false_positive:0 false_negative:37289 
aces_publicb_ocount_20_osize_13_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:59 true_negative:1314 false_positive:0 false_negative:37736 
aces_publicb_ocount_20_osize_13_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:36 true_negative:1314 false_positive:0 false_negative:37759 
aces_publicb_ocount_20_osize_13_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:26 true_negative:1314 false_positive:0 false_negative:37769 
aces_publicb_ocount_20_osize_13_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:1314 false_positive:0 false_negative:37783 
aces_publicb_ocount_20_osize_13_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1314 false_positive:0 false_negative:37794 
