fhw_ocount_100_osize_4_otype_RANDOM.png threshold:0.000 precision:0.971 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:1057 false_negative:0 
fhw_ocount_100_osize_4_otype_RANDOM.png threshold:0.050 precision:0.980 recall:0.936 true_negative_rate:0.355 true_positive:32605 true_negative:375 false_positive:682 false_negative:2226 
fhw_ocount_100_osize_4_otype_RANDOM.png threshold:0.100 precision:0.988 recall:0.786 true_negative_rate:0.697 true_positive:27385 true_negative:737 false_positive:320 false_negative:7446 
fhw_ocount_100_osize_4_otype_RANDOM.png threshold:0.150 precision:0.993 recall:0.605 true_negative_rate:0.852 true_positive:21083 true_negative:901 false_positive:156 false_negative:13748 
fhw_ocount_100_osize_4_otype_RANDOM.png threshold:0.200 precision:0.998 recall:0.472 true_negative_rate:0.961 true_positive:16456 true_negative:1016 false_positive:41 false_negative:18375 
fhw_ocount_100_osize_4_otype_RANDOM.png threshold:0.250 precision:0.999 recall:0.393 true_negative_rate:0.986 true_positive:13673 true_negative:1042 false_positive:15 false_negative:21158 
fhw_ocount_100_osize_4_otype_RANDOM.png threshold:0.300 precision:0.999 recall:0.330 true_negative_rate:0.990 true_positive:11489 true_negative:1046 false_positive:11 false_negative:23342 
fhw_ocount_100_osize_4_otype_RANDOM.png threshold:0.350 precision:1.000 recall:0.274 true_negative_rate:0.996 true_positive:9559 true_negative:1053 false_positive:4 false_negative:25272 
fhw_ocount_100_osize_4_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.230 true_negative_rate:0.998 true_positive:8001 true_negative:1055 false_positive:2 false_negative:26830 
fhw_ocount_100_osize_4_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.188 true_negative_rate:1.000 true_positive:6560 true_negative:1057 false_positive:0 false_negative:28271 
fhw_ocount_100_osize_4_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.146 true_negative_rate:1.000 true_positive:5086 true_negative:1057 false_positive:0 false_negative:29745 
fhw_ocount_100_osize_4_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.113 true_negative_rate:1.000 true_positive:3944 true_negative:1057 false_positive:0 false_negative:30887 
fhw_ocount_100_osize_4_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:2808 true_negative:1057 false_positive:0 false_negative:32023 
fhw_ocount_100_osize_4_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.051 true_negative_rate:1.000 true_positive:1791 true_negative:1057 false_positive:0 false_negative:33040 
fhw_ocount_100_osize_4_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.037 true_negative_rate:1.000 true_positive:1296 true_negative:1057 false_positive:0 false_negative:33535 
fhw_ocount_100_osize_4_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.029 true_negative_rate:1.000 true_positive:1006 true_negative:1057 false_positive:0 false_negative:33825 
fhw_ocount_100_osize_4_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.021 true_negative_rate:1.000 true_positive:719 true_negative:1057 false_positive:0 false_negative:34112 
fhw_ocount_100_osize_4_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.008 true_negative_rate:1.000 true_positive:275 true_negative:1057 false_positive:0 false_negative:34556 
fhw_ocount_100_osize_4_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:63 true_negative:1057 false_positive:0 false_negative:34768 
fhw_ocount_100_osize_4_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:15 true_negative:1057 false_positive:0 false_negative:34816 
fhw_ocount_100_osize_4_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1057 false_positive:0 false_negative:34830 
