edmonton_ocount_100_osize_10_otype_RECTANGLE.png threshold:0.000 precision:0.942 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:2729 false_negative:0 
edmonton_ocount_100_osize_10_otype_RECTANGLE.png threshold:0.050 precision:0.977 recall:0.710 true_negative_rate:0.733 true_positive:31638 true_negative:2000 false_positive:729 false_negative:12949 
edmonton_ocount_100_osize_10_otype_RECTANGLE.png threshold:0.100 precision:0.993 recall:0.447 true_negative_rate:0.947 true_positive:19918 true_negative:2583 false_positive:146 false_negative:24669 
edmonton_ocount_100_osize_10_otype_RECTANGLE.png threshold:0.150 precision:0.999 recall:0.304 true_negative_rate:0.993 true_positive:13559 true_negative:2710 false_positive:19 false_negative:31028 
edmonton_ocount_100_osize_10_otype_RECTANGLE.png threshold:0.200 precision:1.000 recall:0.217 true_negative_rate:0.999 true_positive:9673 true_negative:2727 false_positive:2 false_negative:34914 
edmonton_ocount_100_osize_10_otype_RECTANGLE.png threshold:0.250 precision:1.000 recall:0.166 true_negative_rate:1.000 true_positive:7412 true_negative:2728 false_positive:1 false_negative:37175 
edmonton_ocount_100_osize_10_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.128 true_negative_rate:1.000 true_positive:5726 true_negative:2729 false_positive:0 false_negative:38861 
edmonton_ocount_100_osize_10_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.109 true_negative_rate:1.000 true_positive:4877 true_negative:2729 false_positive:0 false_negative:39710 
edmonton_ocount_100_osize_10_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.089 true_negative_rate:1.000 true_positive:3963 true_negative:2729 false_positive:0 false_negative:40624 
edmonton_ocount_100_osize_10_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3626 true_negative:2729 false_positive:0 false_negative:40961 
edmonton_ocount_100_osize_10_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.075 true_negative_rate:1.000 true_positive:3337 true_negative:2729 false_positive:0 false_negative:41250 
edmonton_ocount_100_osize_10_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3109 true_negative:2729 false_positive:0 false_negative:41478 
edmonton_ocount_100_osize_10_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3047 true_negative:2729 false_positive:0 false_negative:41540 
edmonton_ocount_100_osize_10_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:2694 true_negative:2729 false_positive:0 false_negative:41893 
edmonton_ocount_100_osize_10_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.015 true_negative_rate:1.000 true_positive:687 true_negative:2729 false_positive:0 false_negative:43900 
edmonton_ocount_100_osize_10_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:406 true_negative:2729 false_positive:0 false_negative:44181 
edmonton_ocount_100_osize_10_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:7 true_negative:2729 false_positive:0 false_negative:44580 
edmonton_ocount_100_osize_10_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2729 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_10_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2729 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_10_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2729 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_10_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2729 false_positive:0 false_negative:44586 
