fr079_ocount_40_osize_20_otype_RECTANGLE.png threshold:0.000 precision:0.890 recall:1.000 true_negative_rate:0.000 true_positive:36465 true_negative:0 false_positive:4494 false_negative:0 
fr079_ocount_40_osize_20_otype_RECTANGLE.png threshold:0.050 precision:0.893 recall:0.976 true_negative_rate:0.046 true_positive:35604 true_negative:208 false_positive:4286 false_negative:861 
fr079_ocount_40_osize_20_otype_RECTANGLE.png threshold:0.100 precision:0.904 recall:0.908 true_negative_rate:0.219 true_positive:33112 true_negative:982 false_positive:3512 false_negative:3353 
fr079_ocount_40_osize_20_otype_RECTANGLE.png threshold:0.150 precision:0.923 recall:0.779 true_negative_rate:0.471 true_positive:28406 true_negative:2115 false_positive:2379 false_negative:8059 
fr079_ocount_40_osize_20_otype_RECTANGLE.png threshold:0.200 precision:0.952 recall:0.626 true_negative_rate:0.743 true_positive:22820 true_negative:3341 false_positive:1153 false_negative:13645 
fr079_ocount_40_osize_20_otype_RECTANGLE.png threshold:0.250 precision:0.975 recall:0.482 true_negative_rate:0.899 true_positive:17586 true_negative:4039 false_positive:455 false_negative:18879 
fr079_ocount_40_osize_20_otype_RECTANGLE.png threshold:0.300 precision:0.992 recall:0.363 true_negative_rate:0.977 true_positive:13232 true_negative:4390 false_positive:104 false_negative:23233 
fr079_ocount_40_osize_20_otype_RECTANGLE.png threshold:0.350 precision:0.996 recall:0.260 true_negative_rate:0.992 true_positive:9488 true_negative:4456 false_positive:38 false_negative:26977 
fr079_ocount_40_osize_20_otype_RECTANGLE.png threshold:0.400 precision:0.998 recall:0.184 true_negative_rate:0.997 true_positive:6715 true_negative:4481 false_positive:13 false_negative:29750 
fr079_ocount_40_osize_20_otype_RECTANGLE.png threshold:0.450 precision:0.998 recall:0.126 true_negative_rate:0.998 true_positive:4604 true_negative:4486 false_positive:8 false_negative:31861 
fr079_ocount_40_osize_20_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.083 true_negative_rate:1.000 true_positive:3023 true_negative:4493 false_positive:1 false_negative:33442 
fr079_ocount_40_osize_20_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.052 true_negative_rate:1.000 true_positive:1886 true_negative:4494 false_positive:0 false_negative:34579 
fr079_ocount_40_osize_20_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.027 true_negative_rate:1.000 true_positive:973 true_negative:4494 false_positive:0 false_negative:35492 
fr079_ocount_40_osize_20_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.011 true_negative_rate:1.000 true_positive:387 true_negative:4494 false_positive:0 false_negative:36078 
fr079_ocount_40_osize_20_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.004 true_negative_rate:1.000 true_positive:161 true_negative:4494 false_positive:0 false_negative:36304 
fr079_ocount_40_osize_20_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:80 true_negative:4494 false_positive:0 false_negative:36385 
fr079_ocount_40_osize_20_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:35 true_negative:4494 false_positive:0 false_negative:36430 
fr079_ocount_40_osize_20_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:17 true_negative:4494 false_positive:0 false_negative:36448 
fr079_ocount_40_osize_20_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:10 true_negative:4494 false_positive:0 false_negative:36455 
fr079_ocount_40_osize_20_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:4 true_negative:4494 false_positive:0 false_negative:36461 
fr079_ocount_40_osize_20_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:4494 false_positive:0 false_negative:36464 
