fr079_ocount_40_osize_7_otype_SQUARE.png threshold:0.000 precision:0.982 recall:1.000 true_negative_rate:0.000 true_positive:36465 true_negative:0 false_positive:685 false_negative:0 
fr079_ocount_40_osize_7_otype_SQUARE.png threshold:0.050 precision:0.989 recall:0.977 true_negative_rate:0.401 true_positive:35626 true_negative:275 false_positive:410 false_negative:839 
fr079_ocount_40_osize_7_otype_SQUARE.png threshold:0.100 precision:0.994 recall:0.906 true_negative_rate:0.731 true_positive:33052 true_negative:501 false_positive:184 false_negative:3413 
fr079_ocount_40_osize_7_otype_SQUARE.png threshold:0.150 precision:0.999 recall:0.770 true_negative_rate:0.953 true_positive:28074 true_negative:653 false_positive:32 false_negative:8391 
fr079_ocount_40_osize_7_otype_SQUARE.png threshold:0.200 precision:1.000 recall:0.605 true_negative_rate:0.990 true_positive:22060 true_negative:678 false_positive:7 false_negative:14405 
fr079_ocount_40_osize_7_otype_SQUARE.png threshold:0.250 precision:1.000 recall:0.473 true_negative_rate:1.000 true_positive:17242 true_negative:685 false_positive:0 false_negative:19223 
fr079_ocount_40_osize_7_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.366 true_negative_rate:1.000 true_positive:13359 true_negative:685 false_positive:0 false_negative:23106 
fr079_ocount_40_osize_7_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.267 true_negative_rate:1.000 true_positive:9741 true_negative:685 false_positive:0 false_negative:26724 
fr079_ocount_40_osize_7_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.191 true_negative_rate:1.000 true_positive:6958 true_negative:685 false_positive:0 false_negative:29507 
fr079_ocount_40_osize_7_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.133 true_negative_rate:1.000 true_positive:4863 true_negative:685 false_positive:0 false_negative:31602 
fr079_ocount_40_osize_7_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.091 true_negative_rate:1.000 true_positive:3333 true_negative:685 false_positive:0 false_negative:33132 
fr079_ocount_40_osize_7_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:2209 true_negative:685 false_positive:0 false_negative:34256 
fr079_ocount_40_osize_7_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.034 true_negative_rate:1.000 true_positive:1252 true_negative:685 false_positive:0 false_negative:35213 
fr079_ocount_40_osize_7_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.016 true_negative_rate:1.000 true_positive:568 true_negative:685 false_positive:0 false_negative:35897 
fr079_ocount_40_osize_7_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.006 true_negative_rate:1.000 true_positive:223 true_negative:685 false_positive:0 false_negative:36242 
fr079_ocount_40_osize_7_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:102 true_negative:685 false_positive:0 false_negative:36363 
fr079_ocount_40_osize_7_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:49 true_negative:685 false_positive:0 false_negative:36416 
fr079_ocount_40_osize_7_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:25 true_negative:685 false_positive:0 false_negative:36440 
fr079_ocount_40_osize_7_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:14 true_negative:685 false_positive:0 false_negative:36451 
fr079_ocount_40_osize_7_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:685 false_positive:0 false_negative:36459 
fr079_ocount_40_osize_7_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:685 false_positive:0 false_negative:36464 
