aces_publicb_ocount_20_osize_6_otype_RANDOM.png threshold:0.000 precision:0.991 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:338 false_negative:0 
aces_publicb_ocount_20_osize_6_otype_RANDOM.png threshold:0.050 precision:0.998 recall:0.857 true_negative_rate:0.760 true_positive:32408 true_negative:257 false_positive:81 false_negative:5387 
aces_publicb_ocount_20_osize_6_otype_RANDOM.png threshold:0.100 precision:0.999 recall:0.718 true_negative_rate:0.911 true_positive:27125 true_negative:308 false_positive:30 false_negative:10670 
aces_publicb_ocount_20_osize_6_otype_RANDOM.png threshold:0.150 precision:0.999 recall:0.618 true_negative_rate:0.935 true_positive:23363 true_negative:316 false_positive:22 false_negative:14432 
aces_publicb_ocount_20_osize_6_otype_RANDOM.png threshold:0.200 precision:0.999 recall:0.540 true_negative_rate:0.962 true_positive:20421 true_negative:325 false_positive:13 false_negative:17374 
aces_publicb_ocount_20_osize_6_otype_RANDOM.png threshold:0.250 precision:0.999 recall:0.475 true_negative_rate:0.964 true_positive:17970 true_negative:326 false_positive:12 false_negative:19825 
aces_publicb_ocount_20_osize_6_otype_RANDOM.png threshold:0.300 precision:0.999 recall:0.421 true_negative_rate:0.973 true_positive:15897 true_negative:329 false_positive:9 false_negative:21898 
aces_publicb_ocount_20_osize_6_otype_RANDOM.png threshold:0.350 precision:0.999 recall:0.357 true_negative_rate:0.979 true_positive:13510 true_negative:331 false_positive:7 false_negative:24285 
aces_publicb_ocount_20_osize_6_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.286 true_negative_rate:0.997 true_positive:10826 true_negative:337 false_positive:1 false_negative:26969 
aces_publicb_ocount_20_osize_6_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.230 true_negative_rate:1.000 true_positive:8701 true_negative:338 false_positive:0 false_negative:29094 
aces_publicb_ocount_20_osize_6_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.184 true_negative_rate:1.000 true_positive:6949 true_negative:338 false_positive:0 false_negative:30846 
aces_publicb_ocount_20_osize_6_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.141 true_negative_rate:1.000 true_positive:5311 true_negative:338 false_positive:0 false_negative:32484 
aces_publicb_ocount_20_osize_6_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.100 true_negative_rate:1.000 true_positive:3774 true_negative:338 false_positive:0 false_negative:34021 
aces_publicb_ocount_20_osize_6_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.067 true_negative_rate:1.000 true_positive:2520 true_negative:338 false_positive:0 false_negative:35275 
aces_publicb_ocount_20_osize_6_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.034 true_negative_rate:1.000 true_positive:1299 true_negative:338 false_positive:0 false_negative:36496 
aces_publicb_ocount_20_osize_6_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.013 true_negative_rate:1.000 true_positive:505 true_negative:338 false_positive:0 false_negative:37290 
aces_publicb_ocount_20_osize_6_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:60 true_negative:338 false_positive:0 false_negative:37735 
aces_publicb_ocount_20_osize_6_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:36 true_negative:338 false_positive:0 false_negative:37759 
aces_publicb_ocount_20_osize_6_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:25 true_negative:338 false_positive:0 false_negative:37770 
aces_publicb_ocount_20_osize_6_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:338 false_positive:0 false_negative:37783 
aces_publicb_ocount_20_osize_6_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:338 false_positive:0 false_negative:37794 
