aces_publicb_ocount_20_osize_38_otype_RANDOM.png threshold:0.000 precision:0.785 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:10330 false_negative:0 
aces_publicb_ocount_20_osize_38_otype_RANDOM.png threshold:0.050 precision:0.761 recall:0.859 true_negative_rate:0.012 true_positive:32480 true_negative:126 false_positive:10204 false_negative:5315 
aces_publicb_ocount_20_osize_38_otype_RANDOM.png threshold:0.100 precision:0.746 recall:0.725 true_negative_rate:0.097 true_positive:27396 true_negative:997 false_positive:9333 false_negative:10399 
aces_publicb_ocount_20_osize_38_otype_RANDOM.png threshold:0.150 precision:0.756 recall:0.627 true_negative_rate:0.260 true_positive:23706 true_negative:2681 false_positive:7649 false_negative:14089 
aces_publicb_ocount_20_osize_38_otype_RANDOM.png threshold:0.200 precision:0.803 recall:0.549 true_negative_rate:0.509 true_positive:20756 true_negative:5253 false_positive:5077 false_negative:17039 
aces_publicb_ocount_20_osize_38_otype_RANDOM.png threshold:0.250 precision:0.897 recall:0.476 true_negative_rate:0.800 true_positive:18008 true_negative:8263 false_positive:2067 false_negative:19787 
aces_publicb_ocount_20_osize_38_otype_RANDOM.png threshold:0.300 precision:0.970 recall:0.424 true_negative_rate:0.952 true_positive:16010 true_negative:9835 false_positive:495 false_negative:21785 
aces_publicb_ocount_20_osize_38_otype_RANDOM.png threshold:0.350 precision:0.999 recall:0.359 true_negative_rate:0.998 true_positive:13565 true_negative:10311 false_positive:19 false_negative:24230 
aces_publicb_ocount_20_osize_38_otype_RANDOM.png threshold:0.400 precision:0.999 recall:0.291 true_negative_rate:0.999 true_positive:11010 true_negative:10315 false_positive:15 false_negative:26785 
aces_publicb_ocount_20_osize_38_otype_RANDOM.png threshold:0.450 precision:0.998 recall:0.235 true_negative_rate:0.999 true_positive:8883 true_negative:10315 false_positive:15 false_negative:28912 
aces_publicb_ocount_20_osize_38_otype_RANDOM.png threshold:0.500 precision:0.998 recall:0.186 true_negative_rate:0.999 true_positive:7031 true_negative:10315 false_positive:15 false_negative:30764 
aces_publicb_ocount_20_osize_38_otype_RANDOM.png threshold:0.550 precision:0.999 recall:0.144 true_negative_rate:0.999 true_positive:5439 true_negative:10322 false_positive:8 false_negative:32356 
aces_publicb_ocount_20_osize_38_otype_RANDOM.png threshold:0.600 precision:0.999 recall:0.103 true_negative_rate:1.000 true_positive:3908 true_negative:10325 false_positive:5 false_negative:33887 
aces_publicb_ocount_20_osize_38_otype_RANDOM.png threshold:0.650 precision:0.998 recall:0.069 true_negative_rate:1.000 true_positive:2612 true_negative:10326 false_positive:4 false_negative:35183 
aces_publicb_ocount_20_osize_38_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.035 true_negative_rate:1.000 true_positive:1333 true_negative:10330 false_positive:0 false_negative:36462 
aces_publicb_ocount_20_osize_38_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.015 true_negative_rate:1.000 true_positive:551 true_negative:10330 false_positive:0 false_negative:37244 
aces_publicb_ocount_20_osize_38_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:123 true_negative:10330 false_positive:0 false_negative:37672 
aces_publicb_ocount_20_osize_38_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:50 true_negative:10330 false_positive:0 false_negative:37745 
aces_publicb_ocount_20_osize_38_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:24 true_negative:10330 false_positive:0 false_negative:37771 
aces_publicb_ocount_20_osize_38_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:10330 false_positive:0 false_negative:37783 
aces_publicb_ocount_20_osize_38_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:10330 false_positive:0 false_negative:37794 
