aces_publicb_ocount_100_osize_4_otype_RECTANGLE.png threshold:0.000 precision:0.983 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:638 false_negative:0 
aces_publicb_ocount_100_osize_4_otype_RECTANGLE.png threshold:0.050 precision:0.997 recall:0.858 true_negative_rate:0.867 true_positive:32414 true_negative:553 false_positive:85 false_negative:5381 
aces_publicb_ocount_100_osize_4_otype_RECTANGLE.png threshold:0.100 precision:0.999 recall:0.717 true_negative_rate:0.956 true_positive:27106 true_negative:610 false_positive:28 false_negative:10689 
aces_publicb_ocount_100_osize_4_otype_RECTANGLE.png threshold:0.150 precision:1.000 recall:0.618 true_negative_rate:0.997 true_positive:23370 true_negative:636 false_positive:2 false_negative:14425 
aces_publicb_ocount_100_osize_4_otype_RECTANGLE.png threshold:0.200 precision:1.000 recall:0.540 true_negative_rate:1.000 true_positive:20408 true_negative:638 false_positive:0 false_negative:17387 
aces_publicb_ocount_100_osize_4_otype_RECTANGLE.png threshold:0.250 precision:1.000 recall:0.475 true_negative_rate:1.000 true_positive:17962 true_negative:638 false_positive:0 false_negative:19833 
aces_publicb_ocount_100_osize_4_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.420 true_negative_rate:1.000 true_positive:15866 true_negative:638 false_positive:0 false_negative:21929 
aces_publicb_ocount_100_osize_4_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.356 true_negative_rate:1.000 true_positive:13448 true_negative:638 false_positive:0 false_negative:24347 
aces_publicb_ocount_100_osize_4_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.285 true_negative_rate:1.000 true_positive:10789 true_negative:638 false_positive:0 false_negative:27006 
aces_publicb_ocount_100_osize_4_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.230 true_negative_rate:1.000 true_positive:8695 true_negative:638 false_positive:0 false_negative:29100 
aces_publicb_ocount_100_osize_4_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.183 true_negative_rate:1.000 true_positive:6930 true_negative:638 false_positive:0 false_negative:30865 
aces_publicb_ocount_100_osize_4_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.141 true_negative_rate:1.000 true_positive:5312 true_negative:638 false_positive:0 false_negative:32483 
aces_publicb_ocount_100_osize_4_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.099 true_negative_rate:1.000 true_positive:3743 true_negative:638 false_positive:0 false_negative:34052 
aces_publicb_ocount_100_osize_4_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.067 true_negative_rate:1.000 true_positive:2520 true_negative:638 false_positive:0 false_negative:35275 
aces_publicb_ocount_100_osize_4_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.034 true_negative_rate:1.000 true_positive:1286 true_negative:638 false_positive:0 false_negative:36509 
aces_publicb_ocount_100_osize_4_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.013 true_negative_rate:1.000 true_positive:500 true_negative:638 false_positive:0 false_negative:37295 
aces_publicb_ocount_100_osize_4_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:60 true_negative:638 false_positive:0 false_negative:37735 
aces_publicb_ocount_100_osize_4_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:34 true_negative:638 false_positive:0 false_negative:37761 
aces_publicb_ocount_100_osize_4_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:24 true_negative:638 false_positive:0 false_negative:37771 
aces_publicb_ocount_100_osize_4_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:638 false_positive:0 false_negative:37783 
aces_publicb_ocount_100_osize_4_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:638 false_positive:0 false_negative:37794 
