fhw_ocount_140_osize_2_otype_RECTANGLE.png threshold:0.000 precision:0.992 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:294 false_negative:0 
fhw_ocount_140_osize_2_otype_RECTANGLE.png threshold:0.050 precision:0.996 recall:0.934 true_negative_rate:0.585 true_positive:32549 true_negative:172 false_positive:122 false_negative:2282 
fhw_ocount_140_osize_2_otype_RECTANGLE.png threshold:0.100 precision:0.999 recall:0.780 true_negative_rate:0.888 true_positive:27153 true_negative:261 false_positive:33 false_negative:7678 
fhw_ocount_140_osize_2_otype_RECTANGLE.png threshold:0.150 precision:1.000 recall:0.596 true_negative_rate:0.966 true_positive:20757 true_negative:284 false_positive:10 false_negative:14074 
fhw_ocount_140_osize_2_otype_RECTANGLE.png threshold:0.200 precision:1.000 recall:0.465 true_negative_rate:0.980 true_positive:16207 true_negative:288 false_positive:6 false_negative:18624 
fhw_ocount_140_osize_2_otype_RECTANGLE.png threshold:0.250 precision:1.000 recall:0.388 true_negative_rate:1.000 true_positive:13521 true_negative:294 false_positive:0 false_negative:21310 
fhw_ocount_140_osize_2_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.326 true_negative_rate:1.000 true_positive:11361 true_negative:294 false_positive:0 false_negative:23470 
fhw_ocount_140_osize_2_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.272 true_negative_rate:1.000 true_positive:9467 true_negative:294 false_positive:0 false_negative:25364 
fhw_ocount_140_osize_2_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.226 true_negative_rate:1.000 true_positive:7883 true_negative:294 false_positive:0 false_negative:26948 
fhw_ocount_140_osize_2_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.185 true_negative_rate:1.000 true_positive:6450 true_negative:294 false_positive:0 false_negative:28381 
fhw_ocount_140_osize_2_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.143 true_negative_rate:1.000 true_positive:4991 true_negative:294 false_positive:0 false_negative:29840 
fhw_ocount_140_osize_2_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.111 true_negative_rate:1.000 true_positive:3850 true_negative:294 false_positive:0 false_negative:30981 
fhw_ocount_140_osize_2_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.077 true_negative_rate:1.000 true_positive:2675 true_negative:294 false_positive:0 false_negative:32156 
fhw_ocount_140_osize_2_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.049 true_negative_rate:1.000 true_positive:1719 true_negative:294 false_positive:0 false_negative:33112 
fhw_ocount_140_osize_2_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.036 true_negative_rate:1.000 true_positive:1260 true_negative:294 false_positive:0 false_negative:33571 
fhw_ocount_140_osize_2_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:971 true_negative:294 false_positive:0 false_negative:33860 
fhw_ocount_140_osize_2_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.019 true_negative_rate:1.000 true_positive:674 true_negative:294 false_positive:0 false_negative:34157 
fhw_ocount_140_osize_2_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.006 true_negative_rate:1.000 true_positive:223 true_negative:294 false_positive:0 false_negative:34608 
fhw_ocount_140_osize_2_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:51 true_negative:294 false_positive:0 false_negative:34780 
fhw_ocount_140_osize_2_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:294 false_positive:0 false_negative:34818 
fhw_ocount_140_osize_2_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:294 false_positive:0 false_negative:34830 
