fhw_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.000 precision:0.969 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:1101 false_negative:0 
fhw_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.050 precision:0.973 recall:0.936 true_negative_rate:0.169 true_positive:32608 true_negative:186 false_positive:915 false_negative:2223 
fhw_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.100 precision:0.982 recall:0.783 true_negative_rate:0.545 true_positive:27267 true_negative:600 false_positive:501 false_negative:7564 
fhw_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.150 precision:0.987 recall:0.599 true_negative_rate:0.758 true_positive:20878 true_negative:835 false_positive:266 false_negative:13953 
fhw_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.200 precision:0.991 recall:0.470 true_negative_rate:0.867 true_positive:16382 true_negative:955 false_positive:146 false_negative:18449 
fhw_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.250 precision:0.994 recall:0.392 true_negative_rate:0.926 true_positive:13666 true_negative:1020 false_positive:81 false_negative:21165 
fhw_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.300 precision:0.997 recall:0.328 true_negative_rate:0.964 true_positive:11431 true_negative:1061 false_positive:40 false_negative:23400 
fhw_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.350 precision:0.997 recall:0.272 true_negative_rate:0.977 true_positive:9462 true_negative:1076 false_positive:25 false_negative:25369 
fhw_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.400 precision:0.998 recall:0.227 true_negative_rate:0.986 true_positive:7901 true_negative:1086 false_positive:15 false_negative:26930 
fhw_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.450 precision:0.999 recall:0.186 true_negative_rate:0.996 true_positive:6495 true_negative:1097 false_positive:4 false_negative:28336 
fhw_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.145 true_negative_rate:1.000 true_positive:5054 true_negative:1101 false_positive:0 false_negative:29777 
fhw_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.112 true_negative_rate:1.000 true_positive:3913 true_negative:1101 false_positive:0 false_negative:30918 
fhw_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.078 true_negative_rate:1.000 true_positive:2718 true_negative:1101 false_positive:0 false_negative:32113 
fhw_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.050 true_negative_rate:1.000 true_positive:1736 true_negative:1101 false_positive:0 false_negative:33095 
fhw_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.037 true_negative_rate:1.000 true_positive:1287 true_negative:1101 false_positive:0 false_negative:33544 
fhw_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:988 true_negative:1101 false_positive:0 false_negative:33843 
fhw_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.020 true_negative_rate:1.000 true_positive:686 true_negative:1101 false_positive:0 false_negative:34145 
fhw_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.007 true_negative_rate:1.000 true_positive:243 true_negative:1101 false_positive:0 false_negative:34588 
fhw_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:62 true_negative:1101 false_positive:0 false_negative:34769 
fhw_ocount_40_osize_11_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:15 true_negative:1101 false_positive:0 false_negative:34816 
fhw_ocount_40_osize_11_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1101 false_positive:0 false_negative:34830 
