fr101_ocount_60_osize_10_otype_RANDOM.png threshold:0.000 precision:0.830 recall:1.000 true_negative_rate:0.000 true_positive:14893 true_negative:0 false_positive:3060 false_negative:0 
fr101_ocount_60_osize_10_otype_RANDOM.png threshold:0.050 precision:0.836 recall:0.925 true_negative_rate:0.120 true_positive:13777 true_negative:366 false_positive:2694 false_negative:1116 
fr101_ocount_60_osize_10_otype_RANDOM.png threshold:0.100 precision:0.925 recall:0.801 true_negative_rate:0.682 true_positive:11934 true_negative:2086 false_positive:974 false_negative:2959 
fr101_ocount_60_osize_10_otype_RANDOM.png threshold:0.150 precision:0.980 recall:0.667 true_negative_rate:0.933 true_positive:9938 true_negative:2854 false_positive:206 false_negative:4955 
fr101_ocount_60_osize_10_otype_RANDOM.png threshold:0.200 precision:0.995 recall:0.554 true_negative_rate:0.987 true_positive:8256 true_negative:3021 false_positive:39 false_negative:6637 
fr101_ocount_60_osize_10_otype_RANDOM.png threshold:0.250 precision:0.996 recall:0.478 true_negative_rate:0.991 true_positive:7126 true_negative:3031 false_positive:29 false_negative:7767 
fr101_ocount_60_osize_10_otype_RANDOM.png threshold:0.300 precision:0.995 recall:0.419 true_negative_rate:0.991 true_positive:6233 true_negative:3031 false_positive:29 false_negative:8660 
fr101_ocount_60_osize_10_otype_RANDOM.png threshold:0.350 precision:0.995 recall:0.377 true_negative_rate:0.991 true_positive:5617 true_negative:3031 false_positive:29 false_negative:9276 
fr101_ocount_60_osize_10_otype_RANDOM.png threshold:0.400 precision:0.995 recall:0.333 true_negative_rate:0.992 true_positive:4959 true_negative:3035 false_positive:25 false_negative:9934 
fr101_ocount_60_osize_10_otype_RANDOM.png threshold:0.450 precision:0.999 recall:0.289 true_negative_rate:0.999 true_positive:4298 true_negative:3056 false_positive:4 false_negative:10595 
fr101_ocount_60_osize_10_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.255 true_negative_rate:1.000 true_positive:3803 true_negative:3060 false_positive:0 false_negative:11090 
fr101_ocount_60_osize_10_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.224 true_negative_rate:1.000 true_positive:3332 true_negative:3060 false_positive:0 false_negative:11561 
fr101_ocount_60_osize_10_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.192 true_negative_rate:1.000 true_positive:2864 true_negative:3060 false_positive:0 false_negative:12029 
fr101_ocount_60_osize_10_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.154 true_negative_rate:1.000 true_positive:2289 true_negative:3060 false_positive:0 false_negative:12604 
fr101_ocount_60_osize_10_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.119 true_negative_rate:1.000 true_positive:1769 true_negative:3060 false_positive:0 false_negative:13124 
fr101_ocount_60_osize_10_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.088 true_negative_rate:1.000 true_positive:1307 true_negative:3060 false_positive:0 false_negative:13586 
fr101_ocount_60_osize_10_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.057 true_negative_rate:1.000 true_positive:856 true_negative:3060 false_positive:0 false_negative:14037 
fr101_ocount_60_osize_10_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:420 true_negative:3060 false_positive:0 false_negative:14473 
fr101_ocount_60_osize_10_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.007 true_negative_rate:1.000 true_positive:110 true_negative:3060 false_positive:0 false_negative:14783 
fr101_ocount_60_osize_10_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:29 true_negative:3060 false_positive:0 false_negative:14864 
fr101_ocount_60_osize_10_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:3060 false_positive:0 false_negative:14892 
