csail_ocount_120_osize_10_otype_RANDOM.png threshold:0.000 precision:0.778 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:4820 false_negative:0 
csail_ocount_120_osize_10_otype_RANDOM.png threshold:0.050 precision:0.776 recall:0.972 true_negative_rate:0.020 true_positive:16391 true_negative:98 false_positive:4722 false_negative:466 
csail_ocount_120_osize_10_otype_RANDOM.png threshold:0.100 precision:0.783 recall:0.893 true_negative_rate:0.133 true_positive:15052 true_negative:643 false_positive:4177 false_negative:1805 
csail_ocount_120_osize_10_otype_RANDOM.png threshold:0.150 precision:0.806 recall:0.735 true_negative_rate:0.383 true_positive:12393 true_negative:1844 false_positive:2976 false_negative:4464 
csail_ocount_120_osize_10_otype_RANDOM.png threshold:0.200 precision:0.856 recall:0.545 true_negative_rate:0.680 true_positive:9192 true_negative:3278 false_positive:1542 false_negative:7665 
csail_ocount_120_osize_10_otype_RANDOM.png threshold:0.250 precision:0.906 recall:0.389 true_negative_rate:0.859 true_positive:6555 true_negative:4142 false_positive:678 false_negative:10302 
csail_ocount_120_osize_10_otype_RANDOM.png threshold:0.300 precision:0.943 recall:0.280 true_negative_rate:0.941 true_positive:4719 true_negative:4537 false_positive:283 false_negative:12138 
csail_ocount_120_osize_10_otype_RANDOM.png threshold:0.350 precision:0.970 recall:0.199 true_negative_rate:0.978 true_positive:3355 true_negative:4716 false_positive:104 false_negative:13502 
csail_ocount_120_osize_10_otype_RANDOM.png threshold:0.400 precision:0.989 recall:0.136 true_negative_rate:0.995 true_positive:2298 true_negative:4795 false_positive:25 false_negative:14559 
csail_ocount_120_osize_10_otype_RANDOM.png threshold:0.450 precision:0.997 recall:0.085 true_negative_rate:0.999 true_positive:1427 true_negative:4816 false_positive:4 false_negative:15430 
csail_ocount_120_osize_10_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.050 true_negative_rate:1.000 true_positive:849 true_negative:4820 false_positive:0 false_negative:16008 
csail_ocount_120_osize_10_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.029 true_negative_rate:1.000 true_positive:482 true_negative:4820 false_positive:0 false_negative:16375 
csail_ocount_120_osize_10_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.013 true_negative_rate:1.000 true_positive:222 true_negative:4820 false_positive:0 false_negative:16635 
csail_ocount_120_osize_10_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.004 true_negative_rate:1.000 true_positive:66 true_negative:4820 false_positive:0 false_negative:16791 
csail_ocount_120_osize_10_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:30 true_negative:4820 false_positive:0 false_negative:16827 
csail_ocount_120_osize_10_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:20 true_negative:4820 false_positive:0 false_negative:16837 
csail_ocount_120_osize_10_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:12 true_negative:4820 false_positive:0 false_negative:16845 
csail_ocount_120_osize_10_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:7 true_negative:4820 false_positive:0 false_negative:16850 
csail_ocount_120_osize_10_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:3 true_negative:4820 false_positive:0 false_negative:16854 
csail_ocount_120_osize_10_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:4820 false_positive:0 false_negative:16856 
csail_ocount_120_osize_10_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:4820 false_positive:0 false_negative:16856 
