fhw_ocount_80_osize_6_otype_SQUARE.png threshold:0.000 precision:0.967 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:1171 false_negative:0 
fhw_ocount_80_osize_6_otype_SQUARE.png threshold:0.050 precision:0.974 recall:0.936 true_negative_rate:0.255 true_positive:32597 true_negative:299 false_positive:872 false_negative:2234 
fhw_ocount_80_osize_6_otype_SQUARE.png threshold:0.100 precision:0.984 recall:0.784 true_negative_rate:0.626 true_positive:27315 true_negative:733 false_positive:438 false_negative:7516 
fhw_ocount_80_osize_6_otype_SQUARE.png threshold:0.150 precision:0.994 recall:0.603 true_negative_rate:0.885 true_positive:21013 true_negative:1036 false_positive:135 false_negative:13818 
fhw_ocount_80_osize_6_otype_SQUARE.png threshold:0.200 precision:0.997 recall:0.471 true_negative_rate:0.964 true_positive:16398 true_negative:1129 false_positive:42 false_negative:18433 
fhw_ocount_80_osize_6_otype_SQUARE.png threshold:0.250 precision:0.999 recall:0.391 true_negative_rate:0.988 true_positive:13616 true_negative:1157 false_positive:14 false_negative:21215 
fhw_ocount_80_osize_6_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.329 true_negative_rate:0.998 true_positive:11466 true_negative:1169 false_positive:2 false_negative:23365 
fhw_ocount_80_osize_6_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.274 true_negative_rate:1.000 true_positive:9542 true_negative:1171 false_positive:0 false_negative:25289 
fhw_ocount_80_osize_6_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.228 true_negative_rate:1.000 true_positive:7940 true_negative:1171 false_positive:0 false_negative:26891 
fhw_ocount_80_osize_6_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.187 true_negative_rate:1.000 true_positive:6504 true_negative:1171 false_positive:0 false_negative:28327 
fhw_ocount_80_osize_6_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.144 true_negative_rate:1.000 true_positive:5022 true_negative:1171 false_positive:0 false_negative:29809 
fhw_ocount_80_osize_6_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.112 true_negative_rate:1.000 true_positive:3892 true_negative:1171 false_positive:0 false_negative:30939 
fhw_ocount_80_osize_6_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.078 true_negative_rate:1.000 true_positive:2722 true_negative:1171 false_positive:0 false_negative:32109 
fhw_ocount_80_osize_6_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.051 true_negative_rate:1.000 true_positive:1762 true_negative:1171 false_positive:0 false_negative:33069 
fhw_ocount_80_osize_6_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.037 true_negative_rate:1.000 true_positive:1272 true_negative:1171 false_positive:0 false_negative:33559 
fhw_ocount_80_osize_6_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:990 true_negative:1171 false_positive:0 false_negative:33841 
fhw_ocount_80_osize_6_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.020 true_negative_rate:1.000 true_positive:701 true_negative:1171 false_positive:0 false_negative:34130 
fhw_ocount_80_osize_6_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.007 true_negative_rate:1.000 true_positive:242 true_negative:1171 false_positive:0 false_negative:34589 
fhw_ocount_80_osize_6_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:55 true_negative:1171 false_positive:0 false_negative:34776 
fhw_ocount_80_osize_6_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:1171 false_positive:0 false_negative:34818 
fhw_ocount_80_osize_6_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1171 false_positive:0 false_negative:34830 
