aces_publicb_ocount_180_osize_15_otype_RECTANGLE.png threshold:0.000 precision:0.775 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:10949 false_negative:0 
aces_publicb_ocount_180_osize_15_otype_RECTANGLE.png threshold:0.050 precision:0.795 recall:0.872 true_negative_rate:0.226 true_positive:32941 true_negative:2475 false_positive:8474 false_negative:4854 
aces_publicb_ocount_180_osize_15_otype_RECTANGLE.png threshold:0.100 precision:0.937 recall:0.736 true_negative_rate:0.829 true_positive:27811 true_negative:9080 false_positive:1869 false_negative:9984 
aces_publicb_ocount_180_osize_15_otype_RECTANGLE.png threshold:0.150 precision:0.979 recall:0.629 true_negative_rate:0.953 true_positive:23784 true_negative:10431 false_positive:518 false_negative:14011 
aces_publicb_ocount_180_osize_15_otype_RECTANGLE.png threshold:0.200 precision:0.987 recall:0.545 true_negative_rate:0.975 true_positive:20583 true_negative:10678 false_positive:271 false_negative:17212 
aces_publicb_ocount_180_osize_15_otype_RECTANGLE.png threshold:0.250 precision:0.992 recall:0.479 true_negative_rate:0.987 true_positive:18100 true_negative:10806 false_positive:143 false_negative:19695 
aces_publicb_ocount_180_osize_15_otype_RECTANGLE.png threshold:0.300 precision:0.994 recall:0.421 true_negative_rate:0.992 true_positive:15900 true_negative:10857 false_positive:92 false_negative:21895 
aces_publicb_ocount_180_osize_15_otype_RECTANGLE.png threshold:0.350 precision:0.996 recall:0.353 true_negative_rate:0.995 true_positive:13336 true_negative:10893 false_positive:56 false_negative:24459 
aces_publicb_ocount_180_osize_15_otype_RECTANGLE.png threshold:0.400 precision:0.998 recall:0.281 true_negative_rate:0.998 true_positive:10637 true_negative:10924 false_positive:25 false_negative:27158 
aces_publicb_ocount_180_osize_15_otype_RECTANGLE.png threshold:0.450 precision:0.998 recall:0.228 true_negative_rate:0.999 true_positive:8632 true_negative:10933 false_positive:16 false_negative:29163 
aces_publicb_ocount_180_osize_15_otype_RECTANGLE.png threshold:0.500 precision:0.998 recall:0.181 true_negative_rate:0.999 true_positive:6828 true_negative:10938 false_positive:11 false_negative:30967 
aces_publicb_ocount_180_osize_15_otype_RECTANGLE.png threshold:0.550 precision:0.998 recall:0.137 true_negative_rate:0.999 true_positive:5187 true_negative:10940 false_positive:9 false_negative:32608 
aces_publicb_ocount_180_osize_15_otype_RECTANGLE.png threshold:0.600 precision:0.999 recall:0.095 true_negative_rate:1.000 true_positive:3588 true_negative:10947 false_positive:2 false_negative:34207 
aces_publicb_ocount_180_osize_15_otype_RECTANGLE.png threshold:0.650 precision:0.999 recall:0.060 true_negative_rate:1.000 true_positive:2277 true_negative:10947 false_positive:2 false_negative:35518 
aces_publicb_ocount_180_osize_15_otype_RECTANGLE.png threshold:0.700 precision:0.998 recall:0.030 true_negative_rate:1.000 true_positive:1138 true_negative:10947 false_positive:2 false_negative:36657 
aces_publicb_ocount_180_osize_15_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.011 true_negative_rate:1.000 true_positive:403 true_negative:10949 false_positive:0 false_negative:37392 
aces_publicb_ocount_180_osize_15_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:82 true_negative:10949 false_positive:0 false_negative:37713 
aces_publicb_ocount_180_osize_15_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:38 true_negative:10949 false_positive:0 false_negative:37757 
aces_publicb_ocount_180_osize_15_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:20 true_negative:10949 false_positive:0 false_negative:37775 
aces_publicb_ocount_180_osize_15_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:10 true_negative:10949 false_positive:0 false_negative:37785 
aces_publicb_ocount_180_osize_15_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:10949 false_positive:0 false_negative:37794 
