aces_publicb_ocount_100_osize_6_otype_RANDOM.png threshold:0.000 precision:0.958 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:1670 false_negative:0 
aces_publicb_ocount_100_osize_6_otype_RANDOM.png threshold:0.050 precision:0.984 recall:0.861 true_negative_rate:0.686 true_positive:32523 true_negative:1145 false_positive:525 false_negative:5272 
aces_publicb_ocount_100_osize_6_otype_RANDOM.png threshold:0.100 precision:0.995 recall:0.719 true_negative_rate:0.917 true_positive:27166 true_negative:1532 false_positive:138 false_negative:10629 
aces_publicb_ocount_100_osize_6_otype_RANDOM.png threshold:0.150 precision:0.997 recall:0.618 true_negative_rate:0.965 true_positive:23363 true_negative:1611 false_positive:59 false_negative:14432 
aces_publicb_ocount_100_osize_6_otype_RANDOM.png threshold:0.200 precision:0.998 recall:0.543 true_negative_rate:0.980 true_positive:20517 true_negative:1636 false_positive:34 false_negative:17278 
aces_publicb_ocount_100_osize_6_otype_RANDOM.png threshold:0.250 precision:0.999 recall:0.480 true_negative_rate:0.989 true_positive:18132 true_negative:1652 false_positive:18 false_negative:19663 
aces_publicb_ocount_100_osize_6_otype_RANDOM.png threshold:0.300 precision:1.000 recall:0.422 true_negative_rate:0.998 true_positive:15945 true_negative:1667 false_positive:3 false_negative:21850 
aces_publicb_ocount_100_osize_6_otype_RANDOM.png threshold:0.350 precision:1.000 recall:0.359 true_negative_rate:0.999 true_positive:13574 true_negative:1669 false_positive:1 false_negative:24221 
aces_publicb_ocount_100_osize_6_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.287 true_negative_rate:1.000 true_positive:10865 true_negative:1670 false_positive:0 false_negative:26930 
aces_publicb_ocount_100_osize_6_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.231 true_negative_rate:1.000 true_positive:8731 true_negative:1670 false_positive:0 false_negative:29064 
aces_publicb_ocount_100_osize_6_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.184 true_negative_rate:1.000 true_positive:6973 true_negative:1670 false_positive:0 false_negative:30822 
aces_publicb_ocount_100_osize_6_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.141 true_negative_rate:1.000 true_positive:5325 true_negative:1670 false_positive:0 false_negative:32470 
aces_publicb_ocount_100_osize_6_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.100 true_negative_rate:1.000 true_positive:3790 true_negative:1670 false_positive:0 false_negative:34005 
aces_publicb_ocount_100_osize_6_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.067 true_negative_rate:1.000 true_positive:2517 true_negative:1670 false_positive:0 false_negative:35278 
aces_publicb_ocount_100_osize_6_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.035 true_negative_rate:1.000 true_positive:1323 true_negative:1670 false_positive:0 false_negative:36472 
aces_publicb_ocount_100_osize_6_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.014 true_negative_rate:1.000 true_positive:516 true_negative:1670 false_positive:0 false_negative:37279 
aces_publicb_ocount_100_osize_6_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:60 true_negative:1670 false_positive:0 false_negative:37735 
aces_publicb_ocount_100_osize_6_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:36 true_negative:1670 false_positive:0 false_negative:37759 
aces_publicb_ocount_100_osize_6_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:25 true_negative:1670 false_positive:0 false_negative:37770 
aces_publicb_ocount_100_osize_6_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:1670 false_positive:0 false_negative:37782 
aces_publicb_ocount_100_osize_6_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1670 false_positive:0 false_negative:37794 
