fr101_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.000 precision:0.995 recall:1.000 true_negative_rate:0.000 true_positive:14893 true_negative:0 false_positive:70 false_negative:0 
fr101_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.050 precision:0.999 recall:0.921 true_negative_rate:0.800 true_positive:13718 true_negative:56 false_positive:14 false_negative:1175 
fr101_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.100 precision:1.000 recall:0.799 true_negative_rate:0.957 true_positive:11901 true_negative:67 false_positive:3 false_negative:2992 
fr101_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.150 precision:1.000 recall:0.663 true_negative_rate:1.000 true_positive:9872 true_negative:70 false_positive:0 false_negative:5021 
fr101_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.200 precision:1.000 recall:0.551 true_negative_rate:1.000 true_positive:8200 true_negative:70 false_positive:0 false_negative:6693 
fr101_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.250 precision:1.000 recall:0.477 true_negative_rate:1.000 true_positive:7111 true_negative:70 false_positive:0 false_negative:7782 
fr101_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.418 true_negative_rate:1.000 true_positive:6219 true_negative:70 false_positive:0 false_negative:8674 
fr101_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.377 true_negative_rate:1.000 true_positive:5620 true_negative:70 false_positive:0 false_negative:9273 
fr101_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.332 true_negative_rate:1.000 true_positive:4941 true_negative:70 false_positive:0 false_negative:9952 
fr101_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.289 true_negative_rate:1.000 true_positive:4306 true_negative:70 false_positive:0 false_negative:10587 
fr101_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.258 true_negative_rate:1.000 true_positive:3847 true_negative:70 false_positive:0 false_negative:11046 
fr101_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.224 true_negative_rate:1.000 true_positive:3341 true_negative:70 false_positive:0 false_negative:11552 
fr101_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.194 true_negative_rate:1.000 true_positive:2892 true_negative:70 false_positive:0 false_negative:12001 
fr101_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.154 true_negative_rate:1.000 true_positive:2292 true_negative:70 false_positive:0 false_negative:12601 
fr101_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.119 true_negative_rate:1.000 true_positive:1778 true_negative:70 false_positive:0 false_negative:13115 
fr101_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.090 true_negative_rate:1.000 true_positive:1341 true_negative:70 false_positive:0 false_negative:13552 
fr101_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:895 true_negative:70 false_positive:0 false_negative:13998 
fr101_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:417 true_negative:70 false_positive:0 false_negative:14476 
fr101_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.010 true_negative_rate:1.000 true_positive:144 true_negative:70 false_positive:0 false_negative:14749 
fr101_ocount_20_osize_3_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:34 true_negative:70 false_positive:0 false_negative:14859 
fr101_ocount_20_osize_3_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:70 false_positive:0 false_negative:14892 
