edmonton_ocount_100_osize_30_otype_RANDOM.png threshold:0.000 precision:0.583 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:31849 false_negative:0 
edmonton_ocount_100_osize_30_otype_RANDOM.png threshold:0.050 precision:0.547 recall:0.766 true_negative_rate:0.111 true_positive:34170 true_negative:3542 false_positive:28307 false_negative:10417 
edmonton_ocount_100_osize_30_otype_RANDOM.png threshold:0.100 precision:0.615 recall:0.499 true_negative_rate:0.563 true_positive:22251 true_negative:17926 false_positive:13923 false_negative:22336 
edmonton_ocount_100_osize_30_otype_RANDOM.png threshold:0.150 precision:0.842 recall:0.328 true_negative_rate:0.914 true_positive:14616 true_negative:29100 false_positive:2749 false_negative:29971 
edmonton_ocount_100_osize_30_otype_RANDOM.png threshold:0.200 precision:0.962 recall:0.227 true_negative_rate:0.988 true_positive:10142 true_negative:31451 false_positive:398 false_negative:34445 
edmonton_ocount_100_osize_30_otype_RANDOM.png threshold:0.250 precision:0.984 recall:0.170 true_negative_rate:0.996 true_positive:7587 true_negative:31725 false_positive:124 false_negative:37000 
edmonton_ocount_100_osize_30_otype_RANDOM.png threshold:0.300 precision:0.989 recall:0.132 true_negative_rate:0.998 true_positive:5890 true_negative:31782 false_positive:67 false_negative:38697 
edmonton_ocount_100_osize_30_otype_RANDOM.png threshold:0.350 precision:0.992 recall:0.112 true_negative_rate:0.999 true_positive:5015 true_negative:31811 false_positive:38 false_negative:39572 
edmonton_ocount_100_osize_30_otype_RANDOM.png threshold:0.400 precision:0.996 recall:0.092 true_negative_rate:0.999 true_positive:4120 true_negative:31831 false_positive:18 false_negative:40467 
edmonton_ocount_100_osize_30_otype_RANDOM.png threshold:0.450 precision:0.999 recall:0.082 true_negative_rate:1.000 true_positive:3642 true_negative:31847 false_positive:2 false_negative:40945 
edmonton_ocount_100_osize_30_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.074 true_negative_rate:1.000 true_positive:3316 true_negative:31849 false_positive:0 false_negative:41271 
edmonton_ocount_100_osize_30_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.071 true_negative_rate:1.000 true_positive:3167 true_negative:31849 false_positive:0 false_negative:41420 
edmonton_ocount_100_osize_30_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3035 true_negative:31849 false_positive:0 false_negative:41552 
edmonton_ocount_100_osize_30_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:2670 true_negative:31849 false_positive:0 false_negative:41917 
edmonton_ocount_100_osize_30_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.022 true_negative_rate:1.000 true_positive:987 true_negative:31849 false_positive:0 false_negative:43600 
edmonton_ocount_100_osize_30_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:411 true_negative:31849 false_positive:0 false_negative:44176 
edmonton_ocount_100_osize_30_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:71 true_negative:31849 false_positive:0 false_negative:44516 
edmonton_ocount_100_osize_30_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:5 true_negative:31849 false_positive:0 false_negative:44582 
edmonton_ocount_100_osize_30_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:31849 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_30_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:31849 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_30_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:31849 false_positive:0 false_negative:44586 
