aces_publicb_ocount_140_osize_5_otype_RANDOM.png threshold:0.000 precision:0.954 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:1838 false_negative:0 
aces_publicb_ocount_140_osize_5_otype_RANDOM.png threshold:0.050 precision:0.988 recall:0.859 true_negative_rate:0.779 true_positive:32476 true_negative:1431 false_positive:407 false_negative:5319 
aces_publicb_ocount_140_osize_5_otype_RANDOM.png threshold:0.100 precision:0.994 recall:0.721 true_negative_rate:0.914 true_positive:27233 true_negative:1680 false_positive:158 false_negative:10562 
aces_publicb_ocount_140_osize_5_otype_RANDOM.png threshold:0.150 precision:0.996 recall:0.621 true_negative_rate:0.942 true_positive:23478 true_negative:1732 false_positive:106 false_negative:14317 
aces_publicb_ocount_140_osize_5_otype_RANDOM.png threshold:0.200 precision:0.998 recall:0.543 true_negative_rate:0.975 true_positive:20516 true_negative:1792 false_positive:46 false_negative:17279 
aces_publicb_ocount_140_osize_5_otype_RANDOM.png threshold:0.250 precision:0.999 recall:0.478 true_negative_rate:0.989 true_positive:18076 true_negative:1817 false_positive:21 false_negative:19719 
aces_publicb_ocount_140_osize_5_otype_RANDOM.png threshold:0.300 precision:1.000 recall:0.421 true_negative_rate:0.997 true_positive:15896 true_negative:1832 false_positive:6 false_negative:21899 
aces_publicb_ocount_140_osize_5_otype_RANDOM.png threshold:0.350 precision:1.000 recall:0.357 true_negative_rate:0.997 true_positive:13478 true_negative:1832 false_positive:6 false_negative:24317 
aces_publicb_ocount_140_osize_5_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.286 true_negative_rate:0.997 true_positive:10828 true_negative:1833 false_positive:5 false_negative:26967 
aces_publicb_ocount_140_osize_5_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.230 true_negative_rate:0.999 true_positive:8703 true_negative:1837 false_positive:1 false_negative:29092 
aces_publicb_ocount_140_osize_5_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.185 true_negative_rate:1.000 true_positive:6988 true_negative:1838 false_positive:0 false_negative:30807 
aces_publicb_ocount_140_osize_5_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.141 true_negative_rate:1.000 true_positive:5333 true_negative:1838 false_positive:0 false_negative:32462 
aces_publicb_ocount_140_osize_5_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.100 true_negative_rate:1.000 true_positive:3790 true_negative:1838 false_positive:0 false_negative:34005 
aces_publicb_ocount_140_osize_5_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.066 true_negative_rate:1.000 true_positive:2510 true_negative:1838 false_positive:0 false_negative:35285 
aces_publicb_ocount_140_osize_5_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.034 true_negative_rate:1.000 true_positive:1290 true_negative:1838 false_positive:0 false_negative:36505 
aces_publicb_ocount_140_osize_5_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.013 true_negative_rate:1.000 true_positive:501 true_negative:1838 false_positive:0 false_negative:37294 
aces_publicb_ocount_140_osize_5_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:58 true_negative:1838 false_positive:0 false_negative:37737 
aces_publicb_ocount_140_osize_5_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:36 true_negative:1838 false_positive:0 false_negative:37759 
aces_publicb_ocount_140_osize_5_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:25 true_negative:1838 false_positive:0 false_negative:37770 
aces_publicb_ocount_140_osize_5_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:1838 false_positive:0 false_negative:37783 
aces_publicb_ocount_140_osize_5_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1838 false_positive:0 false_negative:37794 
