csail_ocount_80_osize_4_otype_RECTANGLE.png threshold:0.000 precision:0.973 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:463 false_negative:0 
csail_ocount_80_osize_4_otype_RECTANGLE.png threshold:0.050 precision:0.981 recall:0.968 true_negative_rate:0.322 true_positive:16322 true_negative:149 false_positive:314 false_negative:535 
csail_ocount_80_osize_4_otype_RECTANGLE.png threshold:0.100 precision:0.991 recall:0.872 true_negative_rate:0.715 true_positive:14705 true_negative:331 false_positive:132 false_negative:2152 
csail_ocount_80_osize_4_otype_RECTANGLE.png threshold:0.150 precision:0.995 recall:0.697 true_negative_rate:0.883 true_positive:11743 true_negative:409 false_positive:54 false_negative:5114 
csail_ocount_80_osize_4_otype_RECTANGLE.png threshold:0.200 precision:0.998 recall:0.506 true_negative_rate:0.955 true_positive:8534 true_negative:442 false_positive:21 false_negative:8323 
csail_ocount_80_osize_4_otype_RECTANGLE.png threshold:0.250 precision:0.998 recall:0.363 true_negative_rate:0.972 true_positive:6120 true_negative:450 false_positive:13 false_negative:10737 
csail_ocount_80_osize_4_otype_RECTANGLE.png threshold:0.300 precision:0.998 recall:0.269 true_negative_rate:0.983 true_positive:4531 true_negative:455 false_positive:8 false_negative:12326 
csail_ocount_80_osize_4_otype_RECTANGLE.png threshold:0.350 precision:0.999 recall:0.203 true_negative_rate:0.989 true_positive:3429 true_negative:458 false_positive:5 false_negative:13428 
csail_ocount_80_osize_4_otype_RECTANGLE.png threshold:0.400 precision:0.999 recall:0.148 true_negative_rate:0.996 true_positive:2500 true_negative:461 false_positive:2 false_negative:14357 
csail_ocount_80_osize_4_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.107 true_negative_rate:1.000 true_positive:1799 true_negative:463 false_positive:0 false_negative:15058 
csail_ocount_80_osize_4_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:1140 true_negative:463 false_positive:0 false_negative:15717 
csail_ocount_80_osize_4_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.040 true_negative_rate:1.000 true_positive:669 true_negative:463 false_positive:0 false_negative:16188 
csail_ocount_80_osize_4_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.024 true_negative_rate:1.000 true_positive:400 true_negative:463 false_positive:0 false_negative:16457 
csail_ocount_80_osize_4_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.010 true_negative_rate:1.000 true_positive:173 true_negative:463 false_positive:0 false_negative:16684 
csail_ocount_80_osize_4_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.004 true_negative_rate:1.000 true_positive:65 true_negative:463 false_positive:0 false_negative:16792 
csail_ocount_80_osize_4_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:29 true_negative:463 false_positive:0 false_negative:16828 
csail_ocount_80_osize_4_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:21 true_negative:463 false_positive:0 false_negative:16836 
csail_ocount_80_osize_4_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:14 true_negative:463 false_positive:0 false_negative:16843 
csail_ocount_80_osize_4_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:7 true_negative:463 false_positive:0 false_negative:16850 
csail_ocount_80_osize_4_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:5 true_negative:463 false_positive:0 false_negative:16852 
csail_ocount_80_osize_4_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:463 false_positive:0 false_negative:16856 
