csail_ocount_120_osize_5_otype_SQUARE.png threshold:0.000 precision:0.939 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:1095 false_negative:0 
csail_ocount_120_osize_5_otype_SQUARE.png threshold:0.050 precision:0.956 recall:0.942 true_negative_rate:0.333 true_positive:15885 true_negative:365 false_positive:730 false_negative:972 
csail_ocount_120_osize_5_otype_SQUARE.png threshold:0.100 precision:0.979 recall:0.810 true_negative_rate:0.729 true_positive:13647 true_negative:798 false_positive:297 false_negative:3210 
csail_ocount_120_osize_5_otype_SQUARE.png threshold:0.150 precision:0.990 recall:0.608 true_negative_rate:0.905 true_positive:10242 true_negative:991 false_positive:104 false_negative:6615 
csail_ocount_120_osize_5_otype_SQUARE.png threshold:0.200 precision:0.994 recall:0.426 true_negative_rate:0.957 true_positive:7185 true_negative:1048 false_positive:47 false_negative:9672 
csail_ocount_120_osize_5_otype_SQUARE.png threshold:0.250 precision:0.997 recall:0.312 true_negative_rate:0.985 true_positive:5264 true_negative:1079 false_positive:16 false_negative:11593 
csail_ocount_120_osize_5_otype_SQUARE.png threshold:0.300 precision:0.999 recall:0.238 true_negative_rate:0.996 true_positive:4007 true_negative:1091 false_positive:4 false_negative:12850 
csail_ocount_120_osize_5_otype_SQUARE.png threshold:0.350 precision:0.999 recall:0.182 true_negative_rate:0.998 true_positive:3061 true_negative:1093 false_positive:2 false_negative:13796 
csail_ocount_120_osize_5_otype_SQUARE.png threshold:0.400 precision:0.999 recall:0.133 true_negative_rate:0.998 true_positive:2243 true_negative:1093 false_positive:2 false_negative:14614 
csail_ocount_120_osize_5_otype_SQUARE.png threshold:0.450 precision:0.999 recall:0.098 true_negative_rate:0.998 true_positive:1644 true_negative:1093 false_positive:2 false_negative:15213 
csail_ocount_120_osize_5_otype_SQUARE.png threshold:0.500 precision:0.998 recall:0.063 true_negative_rate:0.998 true_positive:1055 true_negative:1093 false_positive:2 false_negative:15802 
csail_ocount_120_osize_5_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.035 true_negative_rate:1.000 true_positive:595 true_negative:1095 false_positive:0 false_negative:16262 
csail_ocount_120_osize_5_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.020 true_negative_rate:1.000 true_positive:335 true_negative:1095 false_positive:0 false_negative:16522 
csail_ocount_120_osize_5_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.008 true_negative_rate:1.000 true_positive:132 true_negative:1095 false_positive:0 false_negative:16725 
csail_ocount_120_osize_5_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:47 true_negative:1095 false_positive:0 false_negative:16810 
csail_ocount_120_osize_5_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:25 true_negative:1095 false_positive:0 false_negative:16832 
csail_ocount_120_osize_5_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:19 true_negative:1095 false_positive:0 false_negative:16838 
csail_ocount_120_osize_5_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:12 true_negative:1095 false_positive:0 false_negative:16845 
csail_ocount_120_osize_5_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:5 true_negative:1095 false_positive:0 false_negative:16852 
csail_ocount_120_osize_5_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:3 true_negative:1095 false_positive:0 false_negative:16854 
csail_ocount_120_osize_5_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1095 false_positive:0 false_negative:16856 
