fr079_ocount_20_osize_24_otype_RANDOM.png threshold:0.000 precision:0.895 recall:1.000 true_negative_rate:0.000 true_positive:36465 true_negative:0 false_positive:4261 false_negative:0 
fr079_ocount_20_osize_24_otype_RANDOM.png threshold:0.050 precision:0.895 recall:0.975 true_negative_rate:0.023 true_positive:35565 true_negative:97 false_positive:4164 false_negative:900 
fr079_ocount_20_osize_24_otype_RANDOM.png threshold:0.100 precision:0.900 recall:0.904 true_negative_rate:0.145 true_positive:32952 true_negative:618 false_positive:3643 false_negative:3513 
fr079_ocount_20_osize_24_otype_RANDOM.png threshold:0.150 precision:0.923 recall:0.767 true_negative_rate:0.449 true_positive:27979 true_negative:1914 false_positive:2347 false_negative:8486 
fr079_ocount_20_osize_24_otype_RANDOM.png threshold:0.200 precision:0.950 recall:0.600 true_negative_rate:0.729 true_positive:21876 true_negative:3106 false_positive:1155 false_negative:14589 
fr079_ocount_20_osize_24_otype_RANDOM.png threshold:0.250 precision:0.966 recall:0.458 true_negative_rate:0.863 true_positive:16688 true_negative:3678 false_positive:583 false_negative:19777 
fr079_ocount_20_osize_24_otype_RANDOM.png threshold:0.300 precision:0.979 recall:0.347 true_negative_rate:0.937 true_positive:12646 true_negative:3992 false_positive:269 false_negative:23819 
fr079_ocount_20_osize_24_otype_RANDOM.png threshold:0.350 precision:0.988 recall:0.252 true_negative_rate:0.973 true_positive:9177 true_negative:4147 false_positive:114 false_negative:27288 
fr079_ocount_20_osize_24_otype_RANDOM.png threshold:0.400 precision:0.997 recall:0.178 true_negative_rate:0.995 true_positive:6505 true_negative:4240 false_positive:21 false_negative:29960 
fr079_ocount_20_osize_24_otype_RANDOM.png threshold:0.450 precision:0.999 recall:0.121 true_negative_rate:0.999 true_positive:4423 true_negative:4256 false_positive:5 false_negative:32042 
fr079_ocount_20_osize_24_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.080 true_negative_rate:1.000 true_positive:2913 true_negative:4261 false_positive:0 false_negative:33552 
fr079_ocount_20_osize_24_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.050 true_negative_rate:1.000 true_positive:1815 true_negative:4261 false_positive:0 false_negative:34650 
fr079_ocount_20_osize_24_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.025 true_negative_rate:1.000 true_positive:920 true_negative:4261 false_positive:0 false_negative:35545 
fr079_ocount_20_osize_24_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:331 true_negative:4261 false_positive:0 false_negative:36134 
fr079_ocount_20_osize_24_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.004 true_negative_rate:1.000 true_positive:131 true_negative:4261 false_positive:0 false_negative:36334 
fr079_ocount_20_osize_24_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:59 true_negative:4261 false_positive:0 false_negative:36406 
fr079_ocount_20_osize_24_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:26 true_negative:4261 false_positive:0 false_negative:36439 
fr079_ocount_20_osize_24_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:4261 false_positive:0 false_negative:36452 
fr079_ocount_20_osize_24_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:10 true_negative:4261 false_positive:0 false_negative:36455 
fr079_ocount_20_osize_24_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:4261 false_positive:0 false_negative:36459 
fr079_ocount_20_osize_24_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:4261 false_positive:0 false_negative:36464 
