csail_ocount_20_osize_3_otype_RANDOM.png threshold:0.000 precision:0.990 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:162 false_negative:0 
csail_ocount_20_osize_3_otype_RANDOM.png threshold:0.050 precision:0.991 recall:0.976 true_negative_rate:0.123 true_positive:16458 true_negative:20 false_positive:142 false_negative:399 
csail_ocount_20_osize_3_otype_RANDOM.png threshold:0.100 precision:0.995 recall:0.900 true_negative_rate:0.494 true_positive:15165 true_negative:80 false_positive:82 false_negative:1692 
csail_ocount_20_osize_3_otype_RANDOM.png threshold:0.150 precision:0.998 recall:0.747 true_negative_rate:0.809 true_positive:12586 true_negative:131 false_positive:31 false_negative:4271 
csail_ocount_20_osize_3_otype_RANDOM.png threshold:0.200 precision:0.999 recall:0.559 true_negative_rate:0.938 true_positive:9425 true_negative:152 false_positive:10 false_negative:7432 
csail_ocount_20_osize_3_otype_RANDOM.png threshold:0.250 precision:1.000 recall:0.406 true_negative_rate:0.981 true_positive:6837 true_negative:159 false_positive:3 false_negative:10020 
csail_ocount_20_osize_3_otype_RANDOM.png threshold:0.300 precision:1.000 recall:0.295 true_negative_rate:1.000 true_positive:4978 true_negative:162 false_positive:0 false_negative:11879 
csail_ocount_20_osize_3_otype_RANDOM.png threshold:0.350 precision:1.000 recall:0.220 true_negative_rate:1.000 true_positive:3712 true_negative:162 false_positive:0 false_negative:13145 
csail_ocount_20_osize_3_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.157 true_negative_rate:1.000 true_positive:2651 true_negative:162 false_positive:0 false_negative:14206 
csail_ocount_20_osize_3_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.104 true_negative_rate:1.000 true_positive:1749 true_negative:162 false_positive:0 false_negative:15108 
csail_ocount_20_osize_3_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.065 true_negative_rate:1.000 true_positive:1091 true_negative:162 false_positive:0 false_negative:15766 
csail_ocount_20_osize_3_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.037 true_negative_rate:1.000 true_positive:627 true_negative:162 false_positive:0 false_negative:16230 
csail_ocount_20_osize_3_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.021 true_negative_rate:1.000 true_positive:358 true_negative:162 false_positive:0 false_negative:16499 
csail_ocount_20_osize_3_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:144 true_negative:162 false_positive:0 false_negative:16713 
csail_ocount_20_osize_3_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:53 true_negative:162 false_positive:0 false_negative:16804 
csail_ocount_20_osize_3_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:25 true_negative:162 false_positive:0 false_negative:16832 
csail_ocount_20_osize_3_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:19 true_negative:162 false_positive:0 false_negative:16838 
csail_ocount_20_osize_3_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:10 true_negative:162 false_positive:0 false_negative:16847 
csail_ocount_20_osize_3_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:5 true_negative:162 false_positive:0 false_negative:16852 
csail_ocount_20_osize_3_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:3 true_negative:162 false_positive:0 false_negative:16854 
csail_ocount_20_osize_3_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:162 false_positive:0 false_negative:16856 
