csail_ocount_140_osize_4_otype_RANDOM.png threshold:0.000 precision:0.921 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:1453 false_negative:0 
csail_ocount_140_osize_4_otype_RANDOM.png threshold:0.050 precision:0.935 recall:0.973 true_negative_rate:0.214 true_positive:16408 true_negative:311 false_positive:1142 false_negative:449 
csail_ocount_140_osize_4_otype_RANDOM.png threshold:0.100 precision:0.965 recall:0.880 true_negative_rate:0.629 true_positive:14837 true_negative:914 false_positive:539 false_negative:2020 
csail_ocount_140_osize_4_otype_RANDOM.png threshold:0.150 precision:0.986 recall:0.709 true_negative_rate:0.882 true_positive:11947 true_negative:1281 false_positive:172 false_negative:4910 
csail_ocount_140_osize_4_otype_RANDOM.png threshold:0.200 precision:0.992 recall:0.519 true_negative_rate:0.951 true_positive:8752 true_negative:1382 false_positive:71 false_negative:8105 
csail_ocount_140_osize_4_otype_RANDOM.png threshold:0.250 precision:0.995 recall:0.375 true_negative_rate:0.980 true_positive:6316 true_negative:1424 false_positive:29 false_negative:10541 
csail_ocount_140_osize_4_otype_RANDOM.png threshold:0.300 precision:0.999 recall:0.275 true_negative_rate:0.997 true_positive:4643 true_negative:1448 false_positive:5 false_negative:12214 
csail_ocount_140_osize_4_otype_RANDOM.png threshold:0.350 precision:1.000 recall:0.210 true_negative_rate:1.000 true_positive:3540 true_negative:1453 false_positive:0 false_negative:13317 
csail_ocount_140_osize_4_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.154 true_negative_rate:1.000 true_positive:2602 true_negative:1453 false_positive:0 false_negative:14255 
csail_ocount_140_osize_4_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.112 true_negative_rate:1.000 true_positive:1880 true_negative:1453 false_positive:0 false_negative:14977 
csail_ocount_140_osize_4_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.074 true_negative_rate:1.000 true_positive:1241 true_negative:1453 false_positive:0 false_negative:15616 
csail_ocount_140_osize_4_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.045 true_negative_rate:1.000 true_positive:756 true_negative:1453 false_positive:0 false_negative:16101 
csail_ocount_140_osize_4_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.027 true_negative_rate:1.000 true_positive:447 true_negative:1453 false_positive:0 false_negative:16410 
csail_ocount_140_osize_4_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.013 true_negative_rate:1.000 true_positive:215 true_negative:1453 false_positive:0 false_negative:16642 
csail_ocount_140_osize_4_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.004 true_negative_rate:1.000 true_positive:75 true_negative:1453 false_positive:0 false_negative:16782 
csail_ocount_140_osize_4_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:34 true_negative:1453 false_positive:0 false_negative:16823 
csail_ocount_140_osize_4_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:21 true_negative:1453 false_positive:0 false_negative:16836 
csail_ocount_140_osize_4_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:16 true_negative:1453 false_positive:0 false_negative:16841 
csail_ocount_140_osize_4_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:9 true_negative:1453 false_positive:0 false_negative:16848 
csail_ocount_140_osize_4_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:1453 false_positive:0 false_negative:16851 
csail_ocount_140_osize_4_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1453 false_positive:0 false_negative:16856 
