aces_publicb_ocount_40_osize_5_otype_RECTANGLE.png threshold:0.000 precision:0.991 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:348 false_negative:0 
aces_publicb_ocount_40_osize_5_otype_RECTANGLE.png threshold:0.050 precision:0.998 recall:0.858 true_negative_rate:0.784 true_positive:32410 true_negative:273 false_positive:75 false_negative:5385 
aces_publicb_ocount_40_osize_5_otype_RECTANGLE.png threshold:0.100 precision:0.998 recall:0.718 true_negative_rate:0.868 true_positive:27136 true_negative:302 false_positive:46 false_negative:10659 
aces_publicb_ocount_40_osize_5_otype_RECTANGLE.png threshold:0.150 precision:0.999 recall:0.618 true_negative_rate:0.911 true_positive:23370 true_negative:317 false_positive:31 false_negative:14425 
aces_publicb_ocount_40_osize_5_otype_RECTANGLE.png threshold:0.200 precision:0.999 recall:0.541 true_negative_rate:0.943 true_positive:20436 true_negative:328 false_positive:20 false_negative:17359 
aces_publicb_ocount_40_osize_5_otype_RECTANGLE.png threshold:0.250 precision:1.000 recall:0.476 true_negative_rate:0.989 true_positive:17982 true_negative:344 false_positive:4 false_negative:19813 
aces_publicb_ocount_40_osize_5_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.420 true_negative_rate:0.994 true_positive:15870 true_negative:346 false_positive:2 false_negative:21925 
aces_publicb_ocount_40_osize_5_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.357 true_negative_rate:1.000 true_positive:13479 true_negative:348 false_positive:0 false_negative:24316 
aces_publicb_ocount_40_osize_5_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.286 true_negative_rate:1.000 true_positive:10827 true_negative:348 false_positive:0 false_negative:26968 
aces_publicb_ocount_40_osize_5_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.230 true_negative_rate:1.000 true_positive:8701 true_negative:348 false_positive:0 false_negative:29094 
aces_publicb_ocount_40_osize_5_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.184 true_negative_rate:1.000 true_positive:6950 true_negative:348 false_positive:0 false_negative:30845 
aces_publicb_ocount_40_osize_5_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.140 true_negative_rate:1.000 true_positive:5303 true_negative:348 false_positive:0 false_negative:32492 
aces_publicb_ocount_40_osize_5_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.100 true_negative_rate:1.000 true_positive:3767 true_negative:348 false_positive:0 false_negative:34028 
aces_publicb_ocount_40_osize_5_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.067 true_negative_rate:1.000 true_positive:2517 true_negative:348 false_positive:0 false_negative:35278 
aces_publicb_ocount_40_osize_5_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.034 true_negative_rate:1.000 true_positive:1299 true_negative:348 false_positive:0 false_negative:36496 
aces_publicb_ocount_40_osize_5_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.014 true_negative_rate:1.000 true_positive:512 true_negative:348 false_positive:0 false_negative:37283 
aces_publicb_ocount_40_osize_5_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:58 true_negative:348 false_positive:0 false_negative:37737 
aces_publicb_ocount_40_osize_5_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:35 true_negative:348 false_positive:0 false_negative:37760 
aces_publicb_ocount_40_osize_5_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:25 true_negative:348 false_positive:0 false_negative:37770 
aces_publicb_ocount_40_osize_5_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:348 false_positive:0 false_negative:37783 
aces_publicb_ocount_40_osize_5_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:348 false_positive:0 false_negative:37794 
