fr101_ocount_40_osize_9_otype_RECTANGLE.png threshold:0.000 precision:0.942 recall:1.000 true_negative_rate:0.000 true_positive:14893 true_negative:0 false_positive:912 false_negative:0 
fr101_ocount_40_osize_9_otype_RECTANGLE.png threshold:0.050 precision:0.953 recall:0.921 true_negative_rate:0.261 true_positive:13712 true_negative:238 false_positive:674 false_negative:1181 
fr101_ocount_40_osize_9_otype_RECTANGLE.png threshold:0.100 precision:0.991 recall:0.799 true_negative_rate:0.879 true_positive:11901 true_negative:802 false_positive:110 false_negative:2992 
fr101_ocount_40_osize_9_otype_RECTANGLE.png threshold:0.150 precision:0.994 recall:0.662 true_negative_rate:0.934 true_positive:9861 true_negative:852 false_positive:60 false_negative:5032 
fr101_ocount_40_osize_9_otype_RECTANGLE.png threshold:0.200 precision:0.993 recall:0.549 true_negative_rate:0.936 true_positive:8178 true_negative:854 false_positive:58 false_negative:6715 
fr101_ocount_40_osize_9_otype_RECTANGLE.png threshold:0.250 precision:0.993 recall:0.479 true_negative_rate:0.947 true_positive:7135 true_negative:864 false_positive:48 false_negative:7758 
fr101_ocount_40_osize_9_otype_RECTANGLE.png threshold:0.300 precision:0.995 recall:0.424 true_negative_rate:0.965 true_positive:6316 true_negative:880 false_positive:32 false_negative:8577 
fr101_ocount_40_osize_9_otype_RECTANGLE.png threshold:0.350 precision:0.996 recall:0.381 true_negative_rate:0.976 true_positive:5672 true_negative:890 false_positive:22 false_negative:9221 
fr101_ocount_40_osize_9_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.334 true_negative_rate:0.999 true_positive:4981 true_negative:911 false_positive:1 false_negative:9912 
fr101_ocount_40_osize_9_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.289 true_negative_rate:1.000 true_positive:4303 true_negative:912 false_positive:0 false_negative:10590 
fr101_ocount_40_osize_9_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.258 true_negative_rate:1.000 true_positive:3835 true_negative:912 false_positive:0 false_negative:11058 
fr101_ocount_40_osize_9_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.224 true_negative_rate:1.000 true_positive:3334 true_negative:912 false_positive:0 false_negative:11559 
fr101_ocount_40_osize_9_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.193 true_negative_rate:1.000 true_positive:2879 true_negative:912 false_positive:0 false_negative:12014 
fr101_ocount_40_osize_9_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.153 true_negative_rate:1.000 true_positive:2283 true_negative:912 false_positive:0 false_negative:12610 
fr101_ocount_40_osize_9_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.118 true_negative_rate:1.000 true_positive:1754 true_negative:912 false_positive:0 false_negative:13139 
fr101_ocount_40_osize_9_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.090 true_negative_rate:1.000 true_positive:1337 true_negative:912 false_positive:0 false_negative:13556 
fr101_ocount_40_osize_9_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:891 true_negative:912 false_positive:0 false_negative:14002 
fr101_ocount_40_osize_9_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.027 true_negative_rate:1.000 true_positive:405 true_negative:912 false_positive:0 false_negative:14488 
fr101_ocount_40_osize_9_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.010 true_negative_rate:1.000 true_positive:146 true_negative:912 false_positive:0 false_negative:14747 
fr101_ocount_40_osize_9_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:34 true_negative:912 false_positive:0 false_negative:14859 
fr101_ocount_40_osize_9_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:912 false_positive:0 false_negative:14892 
