aces_publicb_ocount_20_osize_24_otype_SQUARE.png threshold:0.000 precision:0.910 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:3728 false_negative:0 
aces_publicb_ocount_20_osize_24_otype_SQUARE.png threshold:0.050 precision:0.903 recall:0.860 true_negative_rate:0.062 true_positive:32512 true_negative:233 false_positive:3495 false_negative:5283 
aces_publicb_ocount_20_osize_24_otype_SQUARE.png threshold:0.100 precision:0.908 recall:0.723 true_negative_rate:0.259 true_positive:27334 true_negative:965 false_positive:2763 false_negative:10461 
aces_publicb_ocount_20_osize_24_otype_SQUARE.png threshold:0.150 precision:0.965 recall:0.622 true_negative_rate:0.773 true_positive:23502 true_negative:2883 false_positive:845 false_negative:14293 
aces_publicb_ocount_20_osize_24_otype_SQUARE.png threshold:0.200 precision:0.988 recall:0.540 true_negative_rate:0.936 true_positive:20423 true_negative:3490 false_positive:238 false_negative:17372 
aces_publicb_ocount_20_osize_24_otype_SQUARE.png threshold:0.250 precision:0.995 recall:0.477 true_negative_rate:0.977 true_positive:18039 true_negative:3642 false_positive:86 false_negative:19756 
aces_publicb_ocount_20_osize_24_otype_SQUARE.png threshold:0.300 precision:0.997 recall:0.419 true_negative_rate:0.985 true_positive:15846 true_negative:3673 false_positive:55 false_negative:21949 
aces_publicb_ocount_20_osize_24_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.353 true_negative_rate:0.998 true_positive:13360 true_negative:3722 false_positive:6 false_negative:24435 
aces_publicb_ocount_20_osize_24_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.283 true_negative_rate:1.000 true_positive:10682 true_negative:3728 false_positive:0 false_negative:27113 
aces_publicb_ocount_20_osize_24_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.226 true_negative_rate:1.000 true_positive:8559 true_negative:3728 false_positive:0 false_negative:29236 
aces_publicb_ocount_20_osize_24_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.181 true_negative_rate:1.000 true_positive:6851 true_negative:3728 false_positive:0 false_negative:30944 
aces_publicb_ocount_20_osize_24_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.138 true_negative_rate:1.000 true_positive:5211 true_negative:3728 false_positive:0 false_negative:32584 
aces_publicb_ocount_20_osize_24_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.097 true_negative_rate:1.000 true_positive:3663 true_negative:3728 false_positive:0 false_negative:34132 
aces_publicb_ocount_20_osize_24_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.063 true_negative_rate:1.000 true_positive:2387 true_negative:3728 false_positive:0 false_negative:35408 
aces_publicb_ocount_20_osize_24_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.033 true_negative_rate:1.000 true_positive:1231 true_negative:3728 false_positive:0 false_negative:36564 
aces_publicb_ocount_20_osize_24_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.012 true_negative_rate:1.000 true_positive:468 true_negative:3728 false_positive:0 false_negative:37327 
aces_publicb_ocount_20_osize_24_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:56 true_negative:3728 false_positive:0 false_negative:37739 
aces_publicb_ocount_20_osize_24_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:32 true_negative:3728 false_positive:0 false_negative:37763 
aces_publicb_ocount_20_osize_24_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:21 true_negative:3728 false_positive:0 false_negative:37774 
aces_publicb_ocount_20_osize_24_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:11 true_negative:3728 false_positive:0 false_negative:37784 
aces_publicb_ocount_20_osize_24_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:3728 false_positive:0 false_negative:37794 
