aces_publicb_ocount_100_osize_24_otype_RECTANGLE.png threshold:0.000 precision:0.711 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:15394 false_negative:0 
aces_publicb_ocount_100_osize_24_otype_RECTANGLE.png threshold:0.050 precision:0.694 recall:0.881 true_negative_rate:0.046 true_positive:33292 true_negative:704 false_positive:14690 false_negative:4503 
aces_publicb_ocount_100_osize_24_otype_RECTANGLE.png threshold:0.100 precision:0.758 recall:0.742 true_negative_rate:0.417 true_positive:28045 true_negative:6416 false_positive:8978 false_negative:9750 
aces_publicb_ocount_100_osize_24_otype_RECTANGLE.png threshold:0.150 precision:0.923 recall:0.630 true_negative_rate:0.871 true_positive:23817 true_negative:13411 false_positive:1983 false_negative:13978 
aces_publicb_ocount_100_osize_24_otype_RECTANGLE.png threshold:0.200 precision:0.977 recall:0.548 true_negative_rate:0.968 true_positive:20699 true_negative:14900 false_positive:494 false_negative:17096 
aces_publicb_ocount_100_osize_24_otype_RECTANGLE.png threshold:0.250 precision:0.992 recall:0.481 true_negative_rate:0.990 true_positive:18169 true_negative:15245 false_positive:149 false_negative:19626 
aces_publicb_ocount_100_osize_24_otype_RECTANGLE.png threshold:0.300 precision:0.996 recall:0.421 true_negative_rate:0.996 true_positive:15918 true_negative:15331 false_positive:63 false_negative:21877 
aces_publicb_ocount_100_osize_24_otype_RECTANGLE.png threshold:0.350 precision:0.997 recall:0.356 true_negative_rate:0.998 true_positive:13468 true_negative:15358 false_positive:36 false_negative:24327 
aces_publicb_ocount_100_osize_24_otype_RECTANGLE.png threshold:0.400 precision:0.997 recall:0.288 true_negative_rate:0.998 true_positive:10891 true_negative:15364 false_positive:30 false_negative:26904 
aces_publicb_ocount_100_osize_24_otype_RECTANGLE.png threshold:0.450 precision:0.998 recall:0.233 true_negative_rate:0.999 true_positive:8805 true_negative:15379 false_positive:15 false_negative:28990 
aces_publicb_ocount_100_osize_24_otype_RECTANGLE.png threshold:0.500 precision:0.999 recall:0.187 true_negative_rate:1.000 true_positive:7059 true_negative:15387 false_positive:7 false_negative:30736 
aces_publicb_ocount_100_osize_24_otype_RECTANGLE.png threshold:0.550 precision:0.999 recall:0.145 true_negative_rate:1.000 true_positive:5486 true_negative:15388 false_positive:6 false_negative:32309 
aces_publicb_ocount_100_osize_24_otype_RECTANGLE.png threshold:0.600 precision:0.998 recall:0.099 true_negative_rate:1.000 true_positive:3753 true_negative:15388 false_positive:6 false_negative:34042 
aces_publicb_ocount_100_osize_24_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.069 true_negative_rate:1.000 true_positive:2596 true_negative:15393 false_positive:1 false_negative:35199 
aces_publicb_ocount_100_osize_24_otype_RECTANGLE.png threshold:0.700 precision:0.999 recall:0.038 true_negative_rate:1.000 true_positive:1421 true_negative:15393 false_positive:1 false_negative:36374 
aces_publicb_ocount_100_osize_24_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.015 true_negative_rate:1.000 true_positive:581 true_negative:15394 false_positive:0 false_negative:37214 
aces_publicb_ocount_100_osize_24_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:81 true_negative:15394 false_positive:0 false_negative:37714 
aces_publicb_ocount_100_osize_24_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:30 true_negative:15394 false_positive:0 false_negative:37765 
aces_publicb_ocount_100_osize_24_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:22 true_negative:15394 false_positive:0 false_negative:37773 
aces_publicb_ocount_100_osize_24_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:15394 false_positive:0 false_negative:37783 
aces_publicb_ocount_100_osize_24_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:15394 false_positive:0 false_negative:37794 
