fhw_ocount_60_osize_2_otype_RECTANGLE.png threshold:0.000 precision:0.996 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:131 false_negative:0 
fhw_ocount_60_osize_2_otype_RECTANGLE.png threshold:0.050 precision:0.999 recall:0.936 true_negative_rate:0.664 true_positive:32592 true_negative:87 false_positive:44 false_negative:2239 
fhw_ocount_60_osize_2_otype_RECTANGLE.png threshold:0.100 precision:0.999 recall:0.782 true_negative_rate:0.870 true_positive:27224 true_negative:114 false_positive:17 false_negative:7607 
fhw_ocount_60_osize_2_otype_RECTANGLE.png threshold:0.150 precision:1.000 recall:0.600 true_negative_rate:0.931 true_positive:20889 true_negative:122 false_positive:9 false_negative:13942 
fhw_ocount_60_osize_2_otype_RECTANGLE.png threshold:0.200 precision:1.000 recall:0.468 true_negative_rate:0.962 true_positive:16313 true_negative:126 false_positive:5 false_negative:18518 
fhw_ocount_60_osize_2_otype_RECTANGLE.png threshold:0.250 precision:1.000 recall:0.391 true_negative_rate:0.985 true_positive:13607 true_negative:129 false_positive:2 false_negative:21224 
fhw_ocount_60_osize_2_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.329 true_negative_rate:0.985 true_positive:11453 true_negative:129 false_positive:2 false_negative:23378 
fhw_ocount_60_osize_2_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.274 true_negative_rate:0.992 true_positive:9541 true_negative:130 false_positive:1 false_negative:25290 
fhw_ocount_60_osize_2_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.229 true_negative_rate:1.000 true_positive:7965 true_negative:131 false_positive:0 false_negative:26866 
fhw_ocount_60_osize_2_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.187 true_negative_rate:1.000 true_positive:6528 true_negative:131 false_positive:0 false_negative:28303 
fhw_ocount_60_osize_2_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.146 true_negative_rate:1.000 true_positive:5068 true_negative:131 false_positive:0 false_negative:29763 
fhw_ocount_60_osize_2_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.113 true_negative_rate:1.000 true_positive:3927 true_negative:131 false_positive:0 false_negative:30904 
fhw_ocount_60_osize_2_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.080 true_negative_rate:1.000 true_positive:2789 true_negative:131 false_positive:0 false_negative:32042 
fhw_ocount_60_osize_2_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.051 true_negative_rate:1.000 true_positive:1779 true_negative:131 false_positive:0 false_negative:33052 
fhw_ocount_60_osize_2_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.037 true_negative_rate:1.000 true_positive:1293 true_negative:131 false_positive:0 false_negative:33538 
fhw_ocount_60_osize_2_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:990 true_negative:131 false_positive:0 false_negative:33841 
fhw_ocount_60_osize_2_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.020 true_negative_rate:1.000 true_positive:710 true_negative:131 false_positive:0 false_negative:34121 
fhw_ocount_60_osize_2_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.007 true_negative_rate:1.000 true_positive:261 true_negative:131 false_positive:0 false_negative:34570 
fhw_ocount_60_osize_2_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:64 true_negative:131 false_positive:0 false_negative:34767 
fhw_ocount_60_osize_2_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:15 true_negative:131 false_positive:0 false_negative:34816 
fhw_ocount_60_osize_2_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:131 false_positive:0 false_negative:34830 
