fhw_ocount_20_osize_7_otype_RECTANGLE.png threshold:0.000 precision:0.990 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:359 false_negative:0 
fhw_ocount_20_osize_7_otype_RECTANGLE.png threshold:0.050 precision:0.992 recall:0.935 true_negative_rate:0.265 true_positive:32566 true_negative:95 false_positive:264 false_negative:2265 
fhw_ocount_20_osize_7_otype_RECTANGLE.png threshold:0.100 precision:0.995 recall:0.780 true_negative_rate:0.641 true_positive:27171 true_negative:230 false_positive:129 false_negative:7660 
fhw_ocount_20_osize_7_otype_RECTANGLE.png threshold:0.150 precision:0.999 recall:0.595 true_negative_rate:0.950 true_positive:20737 true_negative:341 false_positive:18 false_negative:14094 
fhw_ocount_20_osize_7_otype_RECTANGLE.png threshold:0.200 precision:1.000 recall:0.464 true_negative_rate:0.978 true_positive:16163 true_negative:351 false_positive:8 false_negative:18668 
fhw_ocount_20_osize_7_otype_RECTANGLE.png threshold:0.250 precision:0.999 recall:0.388 true_negative_rate:0.981 true_positive:13499 true_negative:352 false_positive:7 false_negative:21332 
fhw_ocount_20_osize_7_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.326 true_negative_rate:0.989 true_positive:11348 true_negative:355 false_positive:4 false_negative:23483 
fhw_ocount_20_osize_7_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.271 true_negative_rate:0.994 true_positive:9444 true_negative:357 false_positive:2 false_negative:25387 
fhw_ocount_20_osize_7_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.227 true_negative_rate:1.000 true_positive:7892 true_negative:359 false_positive:0 false_negative:26939 
fhw_ocount_20_osize_7_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.184 true_negative_rate:1.000 true_positive:6412 true_negative:359 false_positive:0 false_negative:28419 
fhw_ocount_20_osize_7_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.143 true_negative_rate:1.000 true_positive:4966 true_negative:359 false_positive:0 false_negative:29865 
fhw_ocount_20_osize_7_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.110 true_negative_rate:1.000 true_positive:3842 true_negative:359 false_positive:0 false_negative:30989 
fhw_ocount_20_osize_7_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.076 true_negative_rate:1.000 true_positive:2656 true_negative:359 false_positive:0 false_negative:32175 
fhw_ocount_20_osize_7_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.049 true_negative_rate:1.000 true_positive:1699 true_negative:359 false_positive:0 false_negative:33132 
fhw_ocount_20_osize_7_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.036 true_negative_rate:1.000 true_positive:1244 true_negative:359 false_positive:0 false_negative:33587 
fhw_ocount_20_osize_7_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:973 true_negative:359 false_positive:0 false_negative:33858 
fhw_ocount_20_osize_7_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.019 true_negative_rate:1.000 true_positive:663 true_negative:359 false_positive:0 false_negative:34168 
fhw_ocount_20_osize_7_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.006 true_negative_rate:1.000 true_positive:215 true_negative:359 false_positive:0 false_negative:34616 
fhw_ocount_20_osize_7_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:46 true_negative:359 false_positive:0 false_negative:34785 
fhw_ocount_20_osize_7_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:359 false_positive:0 false_negative:34818 
fhw_ocount_20_osize_7_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:359 false_positive:0 false_negative:34830 
