fhw_ocount_20_osize_21_otype_RECTANGLE.png threshold:0.000 precision:0.926 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:2800 false_negative:0 
fhw_ocount_20_osize_21_otype_RECTANGLE.png threshold:0.050 precision:0.923 recall:0.936 true_negative_rate:0.022 true_positive:32609 true_negative:61 false_positive:2739 false_negative:2222 
fhw_ocount_20_osize_21_otype_RECTANGLE.png threshold:0.100 precision:0.916 recall:0.791 true_negative_rate:0.100 true_positive:27553 true_negative:280 false_positive:2520 false_negative:7278 
fhw_ocount_20_osize_21_otype_RECTANGLE.png threshold:0.150 precision:0.918 recall:0.609 true_negative_rate:0.325 true_positive:21214 true_negative:911 false_positive:1889 false_negative:13617 
fhw_ocount_20_osize_21_otype_RECTANGLE.png threshold:0.200 precision:0.947 recall:0.476 true_negative_rate:0.666 true_positive:16575 true_negative:1865 false_positive:935 false_negative:18256 
fhw_ocount_20_osize_21_otype_RECTANGLE.png threshold:0.250 precision:0.982 recall:0.393 true_negative_rate:0.909 true_positive:13703 true_negative:2545 false_positive:255 false_negative:21128 
fhw_ocount_20_osize_21_otype_RECTANGLE.png threshold:0.300 precision:0.995 recall:0.330 true_negative_rate:0.980 true_positive:11482 true_negative:2743 false_positive:57 false_negative:23349 
fhw_ocount_20_osize_21_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.275 true_negative_rate:1.000 true_positive:9585 true_negative:2800 false_positive:0 false_negative:25246 
fhw_ocount_20_osize_21_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.229 true_negative_rate:1.000 true_positive:7980 true_negative:2800 false_positive:0 false_negative:26851 
fhw_ocount_20_osize_21_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.188 true_negative_rate:1.000 true_positive:6561 true_negative:2800 false_positive:0 false_negative:28270 
fhw_ocount_20_osize_21_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.147 true_negative_rate:1.000 true_positive:5128 true_negative:2800 false_positive:0 false_negative:29703 
fhw_ocount_20_osize_21_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.114 true_negative_rate:1.000 true_positive:3975 true_negative:2800 false_positive:0 false_negative:30856 
fhw_ocount_20_osize_21_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.083 true_negative_rate:1.000 true_positive:2875 true_negative:2800 false_positive:0 false_negative:31956 
fhw_ocount_20_osize_21_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.052 true_negative_rate:1.000 true_positive:1822 true_negative:2800 false_positive:0 false_negative:33009 
fhw_ocount_20_osize_21_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.038 true_negative_rate:1.000 true_positive:1328 true_negative:2800 false_positive:0 false_negative:33503 
fhw_ocount_20_osize_21_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.030 true_negative_rate:1.000 true_positive:1033 true_negative:2800 false_positive:0 false_negative:33798 
fhw_ocount_20_osize_21_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.021 true_negative_rate:1.000 true_positive:720 true_negative:2800 false_positive:0 false_negative:34111 
fhw_ocount_20_osize_21_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.008 true_negative_rate:1.000 true_positive:289 true_negative:2800 false_positive:0 false_negative:34542 
fhw_ocount_20_osize_21_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:69 true_negative:2800 false_positive:0 false_negative:34762 
fhw_ocount_20_osize_21_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:2800 false_positive:0 false_negative:34818 
fhw_ocount_20_osize_21_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2800 false_positive:0 false_negative:34830 
