edmonton_ocount_100_osize_11_otype_RANDOM.png threshold:0.000 precision:0.899 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:4984 false_negative:0 
edmonton_ocount_100_osize_11_otype_RANDOM.png threshold:0.050 precision:0.957 recall:0.709 true_negative_rate:0.713 true_positive:31624 true_negative:3556 false_positive:1428 false_negative:12963 
edmonton_ocount_100_osize_11_otype_RANDOM.png threshold:0.100 precision:0.988 recall:0.446 true_negative_rate:0.951 true_positive:19890 true_negative:4742 false_positive:242 false_negative:24697 
edmonton_ocount_100_osize_11_otype_RANDOM.png threshold:0.150 precision:0.997 recall:0.307 true_negative_rate:0.992 true_positive:13699 true_negative:4942 false_positive:42 false_negative:30888 
edmonton_ocount_100_osize_11_otype_RANDOM.png threshold:0.200 precision:0.999 recall:0.217 true_negative_rate:0.998 true_positive:9694 true_negative:4973 false_positive:11 false_negative:34893 
edmonton_ocount_100_osize_11_otype_RANDOM.png threshold:0.250 precision:0.999 recall:0.167 true_negative_rate:0.998 true_positive:7434 true_negative:4975 false_positive:9 false_negative:37153 
edmonton_ocount_100_osize_11_otype_RANDOM.png threshold:0.300 precision:0.999 recall:0.128 true_negative_rate:0.999 true_positive:5706 true_negative:4979 false_positive:5 false_negative:38881 
edmonton_ocount_100_osize_11_otype_RANDOM.png threshold:0.350 precision:0.999 recall:0.109 true_negative_rate:0.999 true_positive:4872 true_negative:4980 false_positive:4 false_negative:39715 
edmonton_ocount_100_osize_11_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.089 true_negative_rate:1.000 true_positive:3973 true_negative:4984 false_positive:0 false_negative:40614 
edmonton_ocount_100_osize_11_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3627 true_negative:4984 false_positive:0 false_negative:40960 
edmonton_ocount_100_osize_11_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.075 true_negative_rate:1.000 true_positive:3339 true_negative:4984 false_positive:0 false_negative:41248 
edmonton_ocount_100_osize_11_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3110 true_negative:4984 false_positive:0 false_negative:41477 
edmonton_ocount_100_osize_11_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3040 true_negative:4984 false_positive:0 false_negative:41547 
edmonton_ocount_100_osize_11_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:2694 true_negative:4984 false_positive:0 false_negative:41893 
edmonton_ocount_100_osize_11_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.016 true_negative_rate:1.000 true_positive:721 true_negative:4984 false_positive:0 false_negative:43866 
edmonton_ocount_100_osize_11_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:410 true_negative:4984 false_positive:0 false_negative:44177 
edmonton_ocount_100_osize_11_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:4984 false_positive:0 false_negative:44581 
edmonton_ocount_100_osize_11_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:4984 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_11_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:4984 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_11_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:4984 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_11_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:4984 false_positive:0 false_negative:44586 
