edmonton_ocount_60_osize_22_otype_RANDOM.png threshold:0.000 precision:0.830 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:9163 false_negative:0 
edmonton_ocount_60_osize_22_otype_RANDOM.png threshold:0.050 precision:0.840 recall:0.722 true_negative_rate:0.330 true_positive:32213 true_negative:3024 false_positive:6139 false_negative:12374 
edmonton_ocount_60_osize_22_otype_RANDOM.png threshold:0.100 precision:0.930 recall:0.457 true_negative_rate:0.834 true_positive:20378 true_negative:7638 false_positive:1525 false_negative:24209 
edmonton_ocount_60_osize_22_otype_RANDOM.png threshold:0.150 precision:0.971 recall:0.308 true_negative_rate:0.955 true_positive:13716 true_negative:8748 false_positive:415 false_negative:30871 
edmonton_ocount_60_osize_22_otype_RANDOM.png threshold:0.200 precision:0.987 recall:0.218 true_negative_rate:0.986 true_positive:9736 true_negative:9034 false_positive:129 false_negative:34851 
edmonton_ocount_60_osize_22_otype_RANDOM.png threshold:0.250 precision:0.999 recall:0.170 true_negative_rate:0.999 true_positive:7577 true_negative:9152 false_positive:11 false_negative:37010 
edmonton_ocount_60_osize_22_otype_RANDOM.png threshold:0.300 precision:1.000 recall:0.130 true_negative_rate:1.000 true_positive:5810 true_negative:9162 false_positive:1 false_negative:38777 
edmonton_ocount_60_osize_22_otype_RANDOM.png threshold:0.350 precision:1.000 recall:0.110 true_negative_rate:1.000 true_positive:4898 true_negative:9163 false_positive:0 false_negative:39689 
edmonton_ocount_60_osize_22_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.089 true_negative_rate:1.000 true_positive:3982 true_negative:9163 false_positive:0 false_negative:40605 
edmonton_ocount_60_osize_22_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.082 true_negative_rate:1.000 true_positive:3644 true_negative:9163 false_positive:0 false_negative:40943 
edmonton_ocount_60_osize_22_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.074 true_negative_rate:1.000 true_positive:3307 true_negative:9163 false_positive:0 false_negative:41280 
edmonton_ocount_60_osize_22_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3105 true_negative:9163 false_positive:0 false_negative:41482 
edmonton_ocount_60_osize_22_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.069 true_negative_rate:1.000 true_positive:3056 true_negative:9163 false_positive:0 false_negative:41531 
edmonton_ocount_60_osize_22_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:2711 true_negative:9163 false_positive:0 false_negative:41876 
edmonton_ocount_60_osize_22_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.017 true_negative_rate:1.000 true_positive:746 true_negative:9163 false_positive:0 false_negative:43841 
edmonton_ocount_60_osize_22_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:414 true_negative:9163 false_positive:0 false_negative:44173 
edmonton_ocount_60_osize_22_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:9163 false_positive:0 false_negative:44581 
edmonton_ocount_60_osize_22_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:9163 false_positive:0 false_negative:44586 
edmonton_ocount_60_osize_22_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:9163 false_positive:0 false_negative:44586 
edmonton_ocount_60_osize_22_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:9163 false_positive:0 false_negative:44586 
edmonton_ocount_60_osize_22_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:9163 false_positive:0 false_negative:44586 
