fhw_ocount_60_osize_11_otype_RANDOM.png threshold:0.000 precision:0.936 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:2397 false_negative:0 
fhw_ocount_60_osize_11_otype_RANDOM.png threshold:0.050 precision:0.937 recall:0.931 true_negative_rate:0.097 true_positive:32421 true_negative:233 false_positive:2164 false_negative:2410 
fhw_ocount_60_osize_11_otype_RANDOM.png threshold:0.100 precision:0.952 recall:0.771 true_negative_rate:0.432 true_positive:26840 true_negative:1035 false_positive:1362 false_negative:7991 
fhw_ocount_60_osize_11_otype_RANDOM.png threshold:0.150 precision:0.971 recall:0.583 true_negative_rate:0.743 true_positive:20301 true_negative:1782 false_positive:615 false_negative:14530 
fhw_ocount_60_osize_11_otype_RANDOM.png threshold:0.200 precision:0.990 recall:0.457 true_negative_rate:0.935 true_positive:15923 true_negative:2240 false_positive:157 false_negative:18908 
fhw_ocount_60_osize_11_otype_RANDOM.png threshold:0.250 precision:0.996 recall:0.376 true_negative_rate:0.978 true_positive:13094 true_negative:2345 false_positive:52 false_negative:21737 
fhw_ocount_60_osize_11_otype_RANDOM.png threshold:0.300 precision:0.998 recall:0.312 true_negative_rate:0.991 true_positive:10868 true_negative:2376 false_positive:21 false_negative:23963 
fhw_ocount_60_osize_11_otype_RANDOM.png threshold:0.350 precision:1.000 recall:0.258 true_negative_rate:1.000 true_positive:8991 true_negative:2396 false_positive:1 false_negative:25840 
fhw_ocount_60_osize_11_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.212 true_negative_rate:1.000 true_positive:7373 true_negative:2397 false_positive:0 false_negative:27458 
fhw_ocount_60_osize_11_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.167 true_negative_rate:1.000 true_positive:5819 true_negative:2397 false_positive:0 false_negative:29012 
fhw_ocount_60_osize_11_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.128 true_negative_rate:1.000 true_positive:4457 true_negative:2397 false_positive:0 false_negative:30374 
fhw_ocount_60_osize_11_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.094 true_negative_rate:1.000 true_positive:3261 true_negative:2397 false_positive:0 false_negative:31570 
fhw_ocount_60_osize_11_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:2136 true_negative:2397 false_positive:0 false_negative:32695 
fhw_ocount_60_osize_11_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.041 true_negative_rate:1.000 true_positive:1411 true_negative:2397 false_positive:0 false_negative:33420 
fhw_ocount_60_osize_11_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.031 true_negative_rate:1.000 true_positive:1081 true_negative:2397 false_positive:0 false_negative:33750 
fhw_ocount_60_osize_11_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.022 true_negative_rate:1.000 true_positive:763 true_negative:2397 false_positive:0 false_negative:34068 
fhw_ocount_60_osize_11_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:312 true_negative:2397 false_positive:0 false_negative:34519 
fhw_ocount_60_osize_11_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:82 true_negative:2397 false_positive:0 false_negative:34749 
fhw_ocount_60_osize_11_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:17 true_negative:2397 false_positive:0 false_negative:34814 
fhw_ocount_60_osize_11_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:7 true_negative:2397 false_positive:0 false_negative:34824 
fhw_ocount_60_osize_11_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2397 false_positive:0 false_negative:34830 
