edmonton_ocount_160_osize_25_otype_SQUARE.png threshold:0.000 precision:0.547 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:36991 false_negative:0 
edmonton_ocount_160_osize_25_otype_SQUARE.png threshold:0.050 precision:0.517 recall:0.763 true_negative_rate:0.139 true_positive:34041 true_negative:5141 false_positive:31850 false_negative:10546 
edmonton_ocount_160_osize_25_otype_SQUARE.png threshold:0.100 precision:0.657 recall:0.502 true_negative_rate:0.684 true_positive:22382 true_negative:25301 false_positive:11690 false_negative:22205 
edmonton_ocount_160_osize_25_otype_SQUARE.png threshold:0.150 precision:0.861 recall:0.339 true_negative_rate:0.934 true_positive:15133 true_negative:34538 false_positive:2453 false_negative:29454 
edmonton_ocount_160_osize_25_otype_SQUARE.png threshold:0.200 precision:0.959 recall:0.235 true_negative_rate:0.988 true_positive:10482 true_negative:36539 false_positive:452 false_negative:34105 
edmonton_ocount_160_osize_25_otype_SQUARE.png threshold:0.250 precision:0.978 recall:0.171 true_negative_rate:0.995 true_positive:7606 true_negative:36821 false_positive:170 false_negative:36981 
edmonton_ocount_160_osize_25_otype_SQUARE.png threshold:0.300 precision:0.996 recall:0.136 true_negative_rate:0.999 true_positive:6048 true_negative:36967 false_positive:24 false_negative:38539 
edmonton_ocount_160_osize_25_otype_SQUARE.png threshold:0.350 precision:0.999 recall:0.113 true_negative_rate:1.000 true_positive:5038 true_negative:36987 false_positive:4 false_negative:39549 
edmonton_ocount_160_osize_25_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.090 true_negative_rate:1.000 true_positive:4005 true_negative:36990 false_positive:1 false_negative:40582 
edmonton_ocount_160_osize_25_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3606 true_negative:36991 false_positive:0 false_negative:40981 
edmonton_ocount_160_osize_25_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.075 true_negative_rate:1.000 true_positive:3339 true_negative:36991 false_positive:0 false_negative:41248 
edmonton_ocount_160_osize_25_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3135 true_negative:36991 false_positive:0 false_negative:41452 
edmonton_ocount_160_osize_25_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3023 true_negative:36991 false_positive:0 false_negative:41564 
edmonton_ocount_160_osize_25_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:2735 true_negative:36991 false_positive:0 false_negative:41852 
edmonton_ocount_160_osize_25_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.022 true_negative_rate:1.000 true_positive:982 true_negative:36991 false_positive:0 false_negative:43605 
edmonton_ocount_160_osize_25_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.008 true_negative_rate:1.000 true_positive:378 true_negative:36991 false_positive:0 false_negative:44209 
edmonton_ocount_160_osize_25_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:67 true_negative:36991 false_positive:0 false_negative:44520 
edmonton_ocount_160_osize_25_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:36991 false_positive:0 false_negative:44586 
edmonton_ocount_160_osize_25_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:36991 false_positive:0 false_negative:44586 
edmonton_ocount_160_osize_25_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:36991 false_positive:0 false_negative:44586 
edmonton_ocount_160_osize_25_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:36991 false_positive:0 false_negative:44586 
