edmonton_ocount_160_osize_27_otype_RANDOM.png threshold:0.000 precision:0.491 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:46195 false_negative:0 
edmonton_ocount_160_osize_27_otype_RANDOM.png threshold:0.050 precision:0.451 recall:0.753 true_negative_rate:0.116 true_positive:33557 true_negative:5336 false_positive:40859 false_negative:11030 
edmonton_ocount_160_osize_27_otype_RANDOM.png threshold:0.100 precision:0.546 recall:0.494 true_negative_rate:0.603 true_positive:22048 true_negative:27856 false_positive:18339 false_negative:22539 
edmonton_ocount_160_osize_27_otype_RANDOM.png threshold:0.150 precision:0.796 recall:0.332 true_negative_rate:0.918 true_positive:14814 true_negative:42407 false_positive:3788 false_negative:29773 
edmonton_ocount_160_osize_27_otype_RANDOM.png threshold:0.200 precision:0.940 recall:0.230 true_negative_rate:0.986 true_positive:10255 true_negative:45539 false_positive:656 false_negative:34332 
edmonton_ocount_160_osize_27_otype_RANDOM.png threshold:0.250 precision:0.970 recall:0.172 true_negative_rate:0.995 true_positive:7689 true_negative:45958 false_positive:237 false_negative:36898 
edmonton_ocount_160_osize_27_otype_RANDOM.png threshold:0.300 precision:0.982 recall:0.135 true_negative_rate:0.998 true_positive:6031 true_negative:46085 false_positive:110 false_negative:38556 
edmonton_ocount_160_osize_27_otype_RANDOM.png threshold:0.350 precision:0.991 recall:0.113 true_negative_rate:0.999 true_positive:5042 true_negative:46151 false_positive:44 false_negative:39545 
edmonton_ocount_160_osize_27_otype_RANDOM.png threshold:0.400 precision:0.998 recall:0.096 true_negative_rate:1.000 true_positive:4292 true_negative:46188 false_positive:7 false_negative:40295 
edmonton_ocount_160_osize_27_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.082 true_negative_rate:1.000 true_positive:3667 true_negative:46194 false_positive:1 false_negative:40920 
edmonton_ocount_160_osize_27_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.074 true_negative_rate:1.000 true_positive:3315 true_negative:46195 false_positive:0 false_negative:41272 
edmonton_ocount_160_osize_27_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3114 true_negative:46195 false_positive:0 false_negative:41473 
edmonton_ocount_160_osize_27_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3025 true_negative:46195 false_positive:0 false_negative:41562 
edmonton_ocount_160_osize_27_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:2710 true_negative:46195 false_positive:0 false_negative:41877 
edmonton_ocount_160_osize_27_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.022 true_negative_rate:1.000 true_positive:984 true_negative:46195 false_positive:0 false_negative:43603 
edmonton_ocount_160_osize_27_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.010 true_negative_rate:1.000 true_positive:437 true_negative:46195 false_positive:0 false_negative:44150 
edmonton_ocount_160_osize_27_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:59 true_negative:46195 false_positive:0 false_negative:44528 
edmonton_ocount_160_osize_27_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:46195 false_positive:0 false_negative:44581 
edmonton_ocount_160_osize_27_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:46195 false_positive:0 false_negative:44586 
edmonton_ocount_160_osize_27_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:46195 false_positive:0 false_negative:44586 
edmonton_ocount_160_osize_27_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:46195 false_positive:0 false_negative:44586 
