edmonton_ocount_100_osize_6_otype_SQUARE.png threshold:0.000 precision:0.968 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:1488 false_negative:0 
edmonton_ocount_100_osize_6_otype_SQUARE.png threshold:0.050 precision:0.994 recall:0.706 true_negative_rate:0.863 true_positive:31462 true_negative:1284 false_positive:204 false_negative:13125 
edmonton_ocount_100_osize_6_otype_SQUARE.png threshold:0.100 precision:0.999 recall:0.442 true_negative_rate:0.982 true_positive:19695 true_negative:1461 false_positive:27 false_negative:24892 
edmonton_ocount_100_osize_6_otype_SQUARE.png threshold:0.150 precision:0.999 recall:0.304 true_negative_rate:0.993 true_positive:13538 true_negative:1478 false_positive:10 false_negative:31049 
edmonton_ocount_100_osize_6_otype_SQUARE.png threshold:0.200 precision:1.000 recall:0.218 true_negative_rate:1.000 true_positive:9702 true_negative:1488 false_positive:0 false_negative:34885 
edmonton_ocount_100_osize_6_otype_SQUARE.png threshold:0.250 precision:1.000 recall:0.165 true_negative_rate:1.000 true_positive:7368 true_negative:1488 false_positive:0 false_negative:37219 
edmonton_ocount_100_osize_6_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.128 true_negative_rate:1.000 true_positive:5727 true_negative:1488 false_positive:0 false_negative:38860 
edmonton_ocount_100_osize_6_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.109 true_negative_rate:1.000 true_positive:4870 true_negative:1488 false_positive:0 false_negative:39717 
edmonton_ocount_100_osize_6_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.088 true_negative_rate:1.000 true_positive:3944 true_negative:1488 false_positive:0 false_negative:40643 
edmonton_ocount_100_osize_6_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3618 true_negative:1488 false_positive:0 false_negative:40969 
edmonton_ocount_100_osize_6_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.074 true_negative_rate:1.000 true_positive:3318 true_negative:1488 false_positive:0 false_negative:41269 
edmonton_ocount_100_osize_6_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3109 true_negative:1488 false_positive:0 false_negative:41478 
edmonton_ocount_100_osize_6_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3045 true_negative:1488 false_positive:0 false_negative:41542 
edmonton_ocount_100_osize_6_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:2703 true_negative:1488 false_positive:0 false_negative:41884 
edmonton_ocount_100_osize_6_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.015 true_negative_rate:1.000 true_positive:676 true_negative:1488 false_positive:0 false_negative:43911 
edmonton_ocount_100_osize_6_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:401 true_negative:1488 false_positive:0 false_negative:44186 
edmonton_ocount_100_osize_6_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:1488 false_positive:0 false_negative:44581 
edmonton_ocount_100_osize_6_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1488 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_6_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1488 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_6_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1488 false_positive:0 false_negative:44586 
edmonton_ocount_100_osize_6_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1488 false_positive:0 false_negative:44586 
