aces_publicb_ocount_60_osize_12_otype_SQUARE.png threshold:0.000 precision:0.916 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:3459 false_negative:0 
aces_publicb_ocount_60_osize_12_otype_SQUARE.png threshold:0.050 precision:0.931 recall:0.863 true_negative_rate:0.296 true_positive:32611 true_negative:1024 false_positive:2435 false_negative:5184 
aces_publicb_ocount_60_osize_12_otype_SQUARE.png threshold:0.100 precision:0.987 recall:0.722 true_negative_rate:0.899 true_positive:27284 true_negative:3108 false_positive:351 false_negative:10511 
aces_publicb_ocount_60_osize_12_otype_SQUARE.png threshold:0.150 precision:0.997 recall:0.620 true_negative_rate:0.983 true_positive:23438 true_negative:3400 false_positive:59 false_negative:14357 
aces_publicb_ocount_60_osize_12_otype_SQUARE.png threshold:0.200 precision:0.999 recall:0.542 true_negative_rate:0.995 true_positive:20498 true_negative:3442 false_positive:17 false_negative:17297 
aces_publicb_ocount_60_osize_12_otype_SQUARE.png threshold:0.250 precision:1.000 recall:0.478 true_negative_rate:1.000 true_positive:18074 true_negative:3459 false_positive:0 false_negative:19721 
aces_publicb_ocount_60_osize_12_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.421 true_negative_rate:1.000 true_positive:15926 true_negative:3459 false_positive:0 false_negative:21869 
aces_publicb_ocount_60_osize_12_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.358 true_negative_rate:1.000 true_positive:13538 true_negative:3459 false_positive:0 false_negative:24257 
aces_publicb_ocount_60_osize_12_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.287 true_negative_rate:1.000 true_positive:10855 true_negative:3459 false_positive:0 false_negative:26940 
aces_publicb_ocount_60_osize_12_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.233 true_negative_rate:1.000 true_positive:8799 true_negative:3459 false_positive:0 false_negative:28996 
aces_publicb_ocount_60_osize_12_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.186 true_negative_rate:1.000 true_positive:7035 true_negative:3459 false_positive:0 false_negative:30760 
aces_publicb_ocount_60_osize_12_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.143 true_negative_rate:1.000 true_positive:5398 true_negative:3459 false_positive:0 false_negative:32397 
aces_publicb_ocount_60_osize_12_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.100 true_negative_rate:1.000 true_positive:3793 true_negative:3459 false_positive:0 false_negative:34002 
aces_publicb_ocount_60_osize_12_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.069 true_negative_rate:1.000 true_positive:2611 true_negative:3459 false_positive:0 false_negative:35184 
aces_publicb_ocount_60_osize_12_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.037 true_negative_rate:1.000 true_positive:1382 true_negative:3459 false_positive:0 false_negative:36413 
aces_publicb_ocount_60_osize_12_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.014 true_negative_rate:1.000 true_positive:527 true_negative:3459 false_positive:0 false_negative:37268 
aces_publicb_ocount_60_osize_12_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:76 true_negative:3459 false_positive:0 false_negative:37719 
aces_publicb_ocount_60_osize_12_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:34 true_negative:3459 false_positive:0 false_negative:37761 
aces_publicb_ocount_60_osize_12_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:24 true_negative:3459 false_positive:0 false_negative:37771 
aces_publicb_ocount_60_osize_12_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:3459 false_positive:0 false_negative:37783 
aces_publicb_ocount_60_osize_12_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:3459 false_positive:0 false_negative:37794 
