aces_publicb_ocount_80_osize_4_otype_SQUARE.png threshold:0.000 precision:0.985 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:592 false_negative:0 
aces_publicb_ocount_80_osize_4_otype_SQUARE.png threshold:0.050 precision:0.997 recall:0.858 true_negative_rate:0.856 true_positive:32419 true_negative:507 false_positive:85 false_negative:5376 
aces_publicb_ocount_80_osize_4_otype_SQUARE.png threshold:0.100 precision:0.999 recall:0.718 true_negative_rate:0.944 true_positive:27149 true_negative:559 false_positive:33 false_negative:10646 
aces_publicb_ocount_80_osize_4_otype_SQUARE.png threshold:0.150 precision:1.000 recall:0.618 true_negative_rate:0.981 true_positive:23366 true_negative:581 false_positive:11 false_negative:14429 
aces_publicb_ocount_80_osize_4_otype_SQUARE.png threshold:0.200 precision:1.000 recall:0.540 true_negative_rate:0.990 true_positive:20415 true_negative:586 false_positive:6 false_negative:17380 
aces_publicb_ocount_80_osize_4_otype_SQUARE.png threshold:0.250 precision:1.000 recall:0.475 true_negative_rate:0.990 true_positive:17959 true_negative:586 false_positive:6 false_negative:19836 
aces_publicb_ocount_80_osize_4_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.420 true_negative_rate:0.990 true_positive:15877 true_negative:586 false_positive:6 false_negative:21918 
aces_publicb_ocount_80_osize_4_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.357 true_negative_rate:0.995 true_positive:13490 true_negative:589 false_positive:3 false_negative:24305 
aces_publicb_ocount_80_osize_4_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.286 true_negative_rate:1.000 true_positive:10827 true_negative:592 false_positive:0 false_negative:26968 
aces_publicb_ocount_80_osize_4_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.231 true_negative_rate:1.000 true_positive:8716 true_negative:592 false_positive:0 false_negative:29079 
aces_publicb_ocount_80_osize_4_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.184 true_negative_rate:1.000 true_positive:6957 true_negative:592 false_positive:0 false_negative:30838 
aces_publicb_ocount_80_osize_4_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.141 true_negative_rate:1.000 true_positive:5321 true_negative:592 false_positive:0 false_negative:32474 
aces_publicb_ocount_80_osize_4_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.100 true_negative_rate:1.000 true_positive:3778 true_negative:592 false_positive:0 false_negative:34017 
aces_publicb_ocount_80_osize_4_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.067 true_negative_rate:1.000 true_positive:2521 true_negative:592 false_positive:0 false_negative:35274 
aces_publicb_ocount_80_osize_4_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.034 true_negative_rate:1.000 true_positive:1295 true_negative:592 false_positive:0 false_negative:36500 
aces_publicb_ocount_80_osize_4_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.013 true_negative_rate:1.000 true_positive:510 true_negative:592 false_positive:0 false_negative:37285 
aces_publicb_ocount_80_osize_4_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:60 true_negative:592 false_positive:0 false_negative:37735 
aces_publicb_ocount_80_osize_4_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:36 true_negative:592 false_positive:0 false_negative:37759 
aces_publicb_ocount_80_osize_4_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:25 true_negative:592 false_positive:0 false_negative:37770 
aces_publicb_ocount_80_osize_4_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:592 false_positive:0 false_negative:37783 
aces_publicb_ocount_80_osize_4_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:592 false_positive:0 false_negative:37794 
