fr101_ocount_40_osize_12_otype_RECTANGLE.png threshold:0.000 precision:0.920 recall:1.000 true_negative_rate:0.000 true_positive:14893 true_negative:0 false_positive:1291 false_negative:0 
fr101_ocount_40_osize_12_otype_RECTANGLE.png threshold:0.050 precision:0.933 recall:0.922 true_negative_rate:0.231 true_positive:13725 true_negative:298 false_positive:993 false_negative:1168 
fr101_ocount_40_osize_12_otype_RECTANGLE.png threshold:0.100 precision:0.972 recall:0.800 true_negative_rate:0.730 true_positive:11915 true_negative:943 false_positive:348 false_negative:2978 
fr101_ocount_40_osize_12_otype_RECTANGLE.png threshold:0.150 precision:0.994 recall:0.669 true_negative_rate:0.952 true_positive:9966 true_negative:1229 false_positive:62 false_negative:4927 
fr101_ocount_40_osize_12_otype_RECTANGLE.png threshold:0.200 precision:1.000 recall:0.550 true_negative_rate:0.997 true_positive:8185 true_negative:1287 false_positive:4 false_negative:6708 
fr101_ocount_40_osize_12_otype_RECTANGLE.png threshold:0.250 precision:0.999 recall:0.473 true_negative_rate:0.997 true_positive:7037 true_negative:1287 false_positive:4 false_negative:7856 
fr101_ocount_40_osize_12_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.415 true_negative_rate:0.998 true_positive:6183 true_negative:1288 false_positive:3 false_negative:8710 
fr101_ocount_40_osize_12_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.375 true_negative_rate:0.998 true_positive:5579 true_negative:1289 false_positive:2 false_negative:9314 
fr101_ocount_40_osize_12_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.329 true_negative_rate:0.999 true_positive:4900 true_negative:1290 false_positive:1 false_negative:9993 
fr101_ocount_40_osize_12_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.286 true_negative_rate:1.000 true_positive:4260 true_negative:1291 false_positive:0 false_negative:10633 
fr101_ocount_40_osize_12_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.255 true_negative_rate:1.000 true_positive:3793 true_negative:1291 false_positive:0 false_negative:11100 
fr101_ocount_40_osize_12_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.222 true_negative_rate:1.000 true_positive:3303 true_negative:1291 false_positive:0 false_negative:11590 
fr101_ocount_40_osize_12_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.189 true_negative_rate:1.000 true_positive:2811 true_negative:1291 false_positive:0 false_negative:12082 
fr101_ocount_40_osize_12_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.149 true_negative_rate:1.000 true_positive:2220 true_negative:1291 false_positive:0 false_negative:12673 
fr101_ocount_40_osize_12_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.114 true_negative_rate:1.000 true_positive:1691 true_negative:1291 false_positive:0 false_negative:13202 
fr101_ocount_40_osize_12_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.086 true_negative_rate:1.000 true_positive:1274 true_negative:1291 false_positive:0 false_negative:13619 
fr101_ocount_40_osize_12_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.054 true_negative_rate:1.000 true_positive:805 true_negative:1291 false_positive:0 false_negative:14088 
fr101_ocount_40_osize_12_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.024 true_negative_rate:1.000 true_positive:355 true_negative:1291 false_positive:0 false_negative:14538 
fr101_ocount_40_osize_12_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.008 true_negative_rate:1.000 true_positive:121 true_negative:1291 false_positive:0 false_negative:14772 
fr101_ocount_40_osize_12_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:28 true_negative:1291 false_positive:0 false_negative:14865 
fr101_ocount_40_osize_12_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1291 false_positive:0 false_negative:14892 
