aces_publicb_ocount_20_osize_4_otype_RECTANGLE.png threshold:0.000 precision:0.997 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:125 false_negative:0 
aces_publicb_ocount_20_osize_4_otype_RECTANGLE.png threshold:0.050 precision:1.000 recall:0.857 true_negative_rate:0.912 true_positive:32393 true_negative:114 false_positive:11 false_negative:5402 
aces_publicb_ocount_20_osize_4_otype_RECTANGLE.png threshold:0.100 precision:1.000 recall:0.717 true_negative_rate:1.000 true_positive:27098 true_negative:125 false_positive:0 false_negative:10697 
aces_publicb_ocount_20_osize_4_otype_RECTANGLE.png threshold:0.150 precision:1.000 recall:0.618 true_negative_rate:1.000 true_positive:23348 true_negative:125 false_positive:0 false_negative:14447 
aces_publicb_ocount_20_osize_4_otype_RECTANGLE.png threshold:0.200 precision:1.000 recall:0.540 true_negative_rate:1.000 true_positive:20404 true_negative:125 false_positive:0 false_negative:17391 
aces_publicb_ocount_20_osize_4_otype_RECTANGLE.png threshold:0.250 precision:1.000 recall:0.475 true_negative_rate:1.000 true_positive:17956 true_negative:125 false_positive:0 false_negative:19839 
aces_publicb_ocount_20_osize_4_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.420 true_negative_rate:1.000 true_positive:15871 true_negative:125 false_positive:0 false_negative:21924 
aces_publicb_ocount_20_osize_4_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.356 true_negative_rate:1.000 true_positive:13470 true_negative:125 false_positive:0 false_negative:24325 
aces_publicb_ocount_20_osize_4_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.286 true_negative_rate:1.000 true_positive:10812 true_negative:125 false_positive:0 false_negative:26983 
aces_publicb_ocount_20_osize_4_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.230 true_negative_rate:1.000 true_positive:8702 true_negative:125 false_positive:0 false_negative:29093 
aces_publicb_ocount_20_osize_4_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.184 true_negative_rate:1.000 true_positive:6945 true_negative:125 false_positive:0 false_negative:30850 
aces_publicb_ocount_20_osize_4_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.140 true_negative_rate:1.000 true_positive:5309 true_negative:125 false_positive:0 false_negative:32486 
aces_publicb_ocount_20_osize_4_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.100 true_negative_rate:1.000 true_positive:3761 true_negative:125 false_positive:0 false_negative:34034 
aces_publicb_ocount_20_osize_4_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.067 true_negative_rate:1.000 true_positive:2522 true_negative:125 false_positive:0 false_negative:35273 
aces_publicb_ocount_20_osize_4_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.034 true_negative_rate:1.000 true_positive:1301 true_negative:125 false_positive:0 false_negative:36494 
aces_publicb_ocount_20_osize_4_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.013 true_negative_rate:1.000 true_positive:504 true_negative:125 false_positive:0 false_negative:37291 
aces_publicb_ocount_20_osize_4_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:60 true_negative:125 false_positive:0 false_negative:37735 
aces_publicb_ocount_20_osize_4_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:35 true_negative:125 false_positive:0 false_negative:37760 
aces_publicb_ocount_20_osize_4_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:25 true_negative:125 false_positive:0 false_negative:37770 
aces_publicb_ocount_20_osize_4_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:125 false_positive:0 false_negative:37783 
aces_publicb_ocount_20_osize_4_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:125 false_positive:0 false_negative:37794 
