aces_publicb_ocount_100_osize_13_otype_SQUARE.png threshold:0.000 precision:0.861 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:6087 false_negative:0 
aces_publicb_ocount_100_osize_13_otype_SQUARE.png threshold:0.050 precision:0.880 recall:0.865 true_negative_rate:0.269 true_positive:32697 true_negative:1636 false_positive:4451 false_negative:5098 
aces_publicb_ocount_100_osize_13_otype_SQUARE.png threshold:0.100 precision:0.980 recall:0.724 true_negative_rate:0.908 true_positive:27363 true_negative:5527 false_positive:560 false_negative:10432 
aces_publicb_ocount_100_osize_13_otype_SQUARE.png threshold:0.150 precision:0.993 recall:0.620 true_negative_rate:0.974 true_positive:23420 true_negative:5926 false_positive:161 false_negative:14375 
aces_publicb_ocount_100_osize_13_otype_SQUARE.png threshold:0.200 precision:0.998 recall:0.541 true_negative_rate:0.994 true_positive:20458 true_negative:6049 false_positive:38 false_negative:17337 
aces_publicb_ocount_100_osize_13_otype_SQUARE.png threshold:0.250 precision:0.999 recall:0.477 true_negative_rate:0.997 true_positive:18017 true_negative:6070 false_positive:17 false_negative:19778 
aces_publicb_ocount_100_osize_13_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.419 true_negative_rate:0.999 true_positive:15821 true_negative:6083 false_positive:4 false_negative:21974 
aces_publicb_ocount_100_osize_13_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.355 true_negative_rate:1.000 true_positive:13404 true_negative:6086 false_positive:1 false_negative:24391 
aces_publicb_ocount_100_osize_13_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.284 true_negative_rate:1.000 true_positive:10729 true_negative:6086 false_positive:1 false_negative:27066 
aces_publicb_ocount_100_osize_13_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.229 true_negative_rate:1.000 true_positive:8659 true_negative:6086 false_positive:1 false_negative:29136 
aces_publicb_ocount_100_osize_13_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.183 true_negative_rate:1.000 true_positive:6900 true_negative:6086 false_positive:1 false_negative:30895 
aces_publicb_ocount_100_osize_13_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.141 true_negative_rate:1.000 true_positive:5333 true_negative:6086 false_positive:1 false_negative:32462 
aces_publicb_ocount_100_osize_13_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.098 true_negative_rate:1.000 true_positive:3701 true_negative:6086 false_positive:1 false_negative:34094 
aces_publicb_ocount_100_osize_13_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.065 true_negative_rate:1.000 true_positive:2450 true_negative:6086 false_positive:1 false_negative:35345 
aces_publicb_ocount_100_osize_13_otype_SQUARE.png threshold:0.700 precision:0.999 recall:0.033 true_negative_rate:1.000 true_positive:1236 true_negative:6086 false_positive:1 false_negative:36559 
aces_publicb_ocount_100_osize_13_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.012 true_negative_rate:1.000 true_positive:470 true_negative:6087 false_positive:0 false_negative:37325 
aces_publicb_ocount_100_osize_13_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:97 true_negative:6087 false_positive:0 false_negative:37698 
aces_publicb_ocount_100_osize_13_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:39 true_negative:6087 false_positive:0 false_negative:37756 
aces_publicb_ocount_100_osize_13_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:23 true_negative:6087 false_positive:0 false_negative:37772 
aces_publicb_ocount_100_osize_13_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:6087 false_positive:0 false_negative:37782 
aces_publicb_ocount_100_osize_13_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:6087 false_positive:0 false_negative:37794 
