fhw_ocount_120_osize_10_otype_RECTANGLE.png threshold:0.000 precision:0.913 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:3310 false_negative:0 
fhw_ocount_120_osize_10_otype_RECTANGLE.png threshold:0.050 precision:0.925 recall:0.936 true_negative_rate:0.205 true_positive:32619 true_negative:680 false_positive:2630 false_negative:2212 
fhw_ocount_120_osize_10_otype_RECTANGLE.png threshold:0.100 precision:0.947 recall:0.796 true_negative_rate:0.529 true_positive:27716 true_negative:1752 false_positive:1558 false_negative:7115 
fhw_ocount_120_osize_10_otype_RECTANGLE.png threshold:0.150 precision:0.973 recall:0.611 true_negative_rate:0.825 true_positive:21290 true_negative:2730 false_positive:580 false_negative:13541 
fhw_ocount_120_osize_10_otype_RECTANGLE.png threshold:0.200 precision:0.992 recall:0.474 true_negative_rate:0.962 true_positive:16495 true_negative:3185 false_positive:125 false_negative:18336 
fhw_ocount_120_osize_10_otype_RECTANGLE.png threshold:0.250 precision:0.997 recall:0.395 true_negative_rate:0.989 true_positive:13746 true_negative:3274 false_positive:36 false_negative:21085 
fhw_ocount_120_osize_10_otype_RECTANGLE.png threshold:0.300 precision:0.998 recall:0.327 true_negative_rate:0.993 true_positive:11380 true_negative:3287 false_positive:23 false_negative:23451 
fhw_ocount_120_osize_10_otype_RECTANGLE.png threshold:0.350 precision:0.999 recall:0.273 true_negative_rate:0.996 true_positive:9500 true_negative:3298 false_positive:12 false_negative:25331 
fhw_ocount_120_osize_10_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.228 true_negative_rate:0.999 true_positive:7950 true_negative:3307 false_positive:3 false_negative:26881 
fhw_ocount_120_osize_10_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.186 true_negative_rate:0.999 true_positive:6489 true_negative:3308 false_positive:2 false_negative:28342 
fhw_ocount_120_osize_10_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.145 true_negative_rate:0.999 true_positive:5042 true_negative:3308 false_positive:2 false_negative:29789 
fhw_ocount_120_osize_10_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.113 true_negative_rate:1.000 true_positive:3944 true_negative:3309 false_positive:1 false_negative:30887 
fhw_ocount_120_osize_10_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.080 true_negative_rate:1.000 true_positive:2779 true_negative:3310 false_positive:0 false_negative:32052 
fhw_ocount_120_osize_10_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.051 true_negative_rate:1.000 true_positive:1764 true_negative:3310 false_positive:0 false_negative:33067 
fhw_ocount_120_osize_10_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.037 true_negative_rate:1.000 true_positive:1279 true_negative:3310 false_positive:0 false_negative:33552 
fhw_ocount_120_osize_10_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:973 true_negative:3310 false_positive:0 false_negative:33858 
fhw_ocount_120_osize_10_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.019 true_negative_rate:1.000 true_positive:675 true_negative:3310 false_positive:0 false_negative:34156 
fhw_ocount_120_osize_10_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.007 true_negative_rate:1.000 true_positive:257 true_negative:3310 false_positive:0 false_negative:34574 
fhw_ocount_120_osize_10_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:71 true_negative:3310 false_positive:0 false_negative:34760 
fhw_ocount_120_osize_10_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:17 true_negative:3310 false_positive:0 false_negative:34814 
fhw_ocount_120_osize_10_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:3310 false_positive:0 false_negative:34830 
