edmonton_ocount_40_osize_17_otype_RECTANGLE.png threshold:0.000 precision:0.929 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:3402 false_negative:0 
edmonton_ocount_40_osize_17_otype_RECTANGLE.png threshold:0.050 precision:0.938 recall:0.710 true_negative_rate:0.381 true_positive:31674 true_negative:1297 false_positive:2105 false_negative:12913 
edmonton_ocount_40_osize_17_otype_RECTANGLE.png threshold:0.100 precision:0.988 recall:0.447 true_negative_rate:0.931 true_positive:19943 true_negative:3167 false_positive:235 false_negative:24644 
edmonton_ocount_40_osize_17_otype_RECTANGLE.png threshold:0.150 precision:0.996 recall:0.308 true_negative_rate:0.983 true_positive:13753 true_negative:3343 false_positive:59 false_negative:30834 
edmonton_ocount_40_osize_17_otype_RECTANGLE.png threshold:0.200 precision:0.999 recall:0.217 true_negative_rate:0.997 true_positive:9688 true_negative:3392 false_positive:10 false_negative:34899 
edmonton_ocount_40_osize_17_otype_RECTANGLE.png threshold:0.250 precision:0.999 recall:0.166 true_negative_rate:0.997 true_positive:7397 true_negative:3392 false_positive:10 false_negative:37190 
edmonton_ocount_40_osize_17_otype_RECTANGLE.png threshold:0.300 precision:0.998 recall:0.129 true_negative_rate:0.997 true_positive:5730 true_negative:3392 false_positive:10 false_negative:38857 
edmonton_ocount_40_osize_17_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.110 true_negative_rate:1.000 true_positive:4898 true_negative:3401 false_positive:1 false_negative:39689 
edmonton_ocount_40_osize_17_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.090 true_negative_rate:1.000 true_positive:4011 true_negative:3401 false_positive:1 false_negative:40576 
edmonton_ocount_40_osize_17_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3626 true_negative:3402 false_positive:0 false_negative:40961 
edmonton_ocount_40_osize_17_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.074 true_negative_rate:1.000 true_positive:3319 true_negative:3402 false_positive:0 false_negative:41268 
edmonton_ocount_40_osize_17_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3109 true_negative:3402 false_positive:0 false_negative:41478 
edmonton_ocount_40_osize_17_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.069 true_negative_rate:1.000 true_positive:3056 true_negative:3402 false_positive:0 false_negative:41531 
edmonton_ocount_40_osize_17_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:2703 true_negative:3402 false_positive:0 false_negative:41884 
edmonton_ocount_40_osize_17_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.016 true_negative_rate:1.000 true_positive:706 true_negative:3402 false_positive:0 false_negative:43881 
edmonton_ocount_40_osize_17_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:410 true_negative:3402 false_positive:0 false_negative:44177 
edmonton_ocount_40_osize_17_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:7 true_negative:3402 false_positive:0 false_negative:44580 
edmonton_ocount_40_osize_17_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:3402 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_17_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:3402 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_17_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:3402 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_17_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:3402 false_positive:0 false_negative:44586 
