fr079_ocount_40_osize_2_otype_RANDOM.png threshold:0.000 precision:0.996 recall:1.000 true_negative_rate:0.000 true_positive:36465 true_negative:0 false_positive:160 false_negative:0 
fr079_ocount_40_osize_2_otype_RANDOM.png threshold:0.050 precision:0.997 recall:0.976 true_negative_rate:0.369 true_positive:35607 true_negative:59 false_positive:101 false_negative:858 
fr079_ocount_40_osize_2_otype_RANDOM.png threshold:0.100 precision:0.999 recall:0.906 true_negative_rate:0.706 true_positive:33029 true_negative:113 false_positive:47 false_negative:3436 
fr079_ocount_40_osize_2_otype_RANDOM.png threshold:0.150 precision:1.000 recall:0.768 true_negative_rate:0.925 true_positive:28023 true_negative:148 false_positive:12 false_negative:8442 
fr079_ocount_40_osize_2_otype_RANDOM.png threshold:0.200 precision:1.000 recall:0.603 true_negative_rate:0.975 true_positive:21989 true_negative:156 false_positive:4 false_negative:14476 
fr079_ocount_40_osize_2_otype_RANDOM.png threshold:0.250 precision:1.000 recall:0.471 true_negative_rate:0.975 true_positive:17165 true_negative:156 false_positive:4 false_negative:19300 
fr079_ocount_40_osize_2_otype_RANDOM.png threshold:0.300 precision:1.000 recall:0.364 true_negative_rate:1.000 true_positive:13285 true_negative:160 false_positive:0 false_negative:23180 
fr079_ocount_40_osize_2_otype_RANDOM.png threshold:0.350 precision:1.000 recall:0.266 true_negative_rate:1.000 true_positive:9689 true_negative:160 false_positive:0 false_negative:26776 
fr079_ocount_40_osize_2_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.190 true_negative_rate:1.000 true_positive:6931 true_negative:160 false_positive:0 false_negative:29534 
fr079_ocount_40_osize_2_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.133 true_negative_rate:1.000 true_positive:4835 true_negative:160 false_positive:0 false_negative:31630 
fr079_ocount_40_osize_2_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.091 true_negative_rate:1.000 true_positive:3325 true_negative:160 false_positive:0 false_negative:33140 
fr079_ocount_40_osize_2_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:2197 true_negative:160 false_positive:0 false_negative:34268 
fr079_ocount_40_osize_2_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.034 true_negative_rate:1.000 true_positive:1241 true_negative:160 false_positive:0 false_negative:35224 
fr079_ocount_40_osize_2_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.015 true_negative_rate:1.000 true_positive:563 true_negative:160 false_positive:0 false_negative:35902 
fr079_ocount_40_osize_2_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.006 true_negative_rate:1.000 true_positive:221 true_negative:160 false_positive:0 false_negative:36244 
fr079_ocount_40_osize_2_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:102 true_negative:160 false_positive:0 false_negative:36363 
fr079_ocount_40_osize_2_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:48 true_negative:160 false_positive:0 false_negative:36417 
fr079_ocount_40_osize_2_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:24 true_negative:160 false_positive:0 false_negative:36441 
fr079_ocount_40_osize_2_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:14 true_negative:160 false_positive:0 false_negative:36451 
fr079_ocount_40_osize_2_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:160 false_positive:0 false_negative:36459 
fr079_ocount_40_osize_2_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:160 false_positive:0 false_negative:36464 
