edmonton_ocount_180_osize_35_otype_RANDOM.png threshold:0.000 precision:0.385 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:71316 false_negative:0 
edmonton_ocount_180_osize_35_otype_RANDOM.png threshold:0.050 precision:0.352 recall:0.792 true_negative_rate:0.090 true_positive:35308 true_negative:6421 false_positive:64895 false_negative:9279 
edmonton_ocount_180_osize_35_otype_RANDOM.png threshold:0.100 precision:0.355 recall:0.552 true_negative_rate:0.373 true_positive:24604 true_negative:26576 false_positive:44740 false_negative:19983 
edmonton_ocount_180_osize_35_otype_RANDOM.png threshold:0.150 precision:0.451 recall:0.370 true_negative_rate:0.718 true_positive:16499 true_negative:51235 false_positive:20081 false_negative:28088 
edmonton_ocount_180_osize_35_otype_RANDOM.png threshold:0.200 precision:0.642 recall:0.255 true_negative_rate:0.911 true_positive:11361 true_negative:64993 false_positive:6323 false_negative:33226 
edmonton_ocount_180_osize_35_otype_RANDOM.png threshold:0.250 precision:0.828 recall:0.182 true_negative_rate:0.976 true_positive:8137 true_negative:69631 false_positive:1685 false_negative:36450 
edmonton_ocount_180_osize_35_otype_RANDOM.png threshold:0.300 precision:0.934 recall:0.136 true_negative_rate:0.994 true_positive:6077 true_negative:70884 false_positive:432 false_negative:38510 
edmonton_ocount_180_osize_35_otype_RANDOM.png threshold:0.350 precision:0.980 recall:0.114 true_negative_rate:0.999 true_positive:5083 true_negative:71213 false_positive:103 false_negative:39504 
edmonton_ocount_180_osize_35_otype_RANDOM.png threshold:0.400 precision:0.989 recall:0.095 true_negative_rate:0.999 true_positive:4239 true_negative:71270 false_positive:46 false_negative:40348 
edmonton_ocount_180_osize_35_otype_RANDOM.png threshold:0.450 precision:0.997 recall:0.084 true_negative_rate:1.000 true_positive:3743 true_negative:71304 false_positive:12 false_negative:40844 
edmonton_ocount_180_osize_35_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.077 true_negative_rate:1.000 true_positive:3441 true_negative:71316 false_positive:0 false_negative:41146 
edmonton_ocount_180_osize_35_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.071 true_negative_rate:1.000 true_positive:3183 true_negative:71316 false_positive:0 false_negative:41404 
edmonton_ocount_180_osize_35_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.069 true_negative_rate:1.000 true_positive:3067 true_negative:71316 false_positive:0 false_negative:41520 
edmonton_ocount_180_osize_35_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.063 true_negative_rate:1.000 true_positive:2787 true_negative:71316 false_positive:0 false_negative:41800 
edmonton_ocount_180_osize_35_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.025 true_negative_rate:1.000 true_positive:1093 true_negative:71316 false_positive:0 false_negative:43494 
edmonton_ocount_180_osize_35_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:395 true_negative:71316 false_positive:0 false_negative:44192 
edmonton_ocount_180_osize_35_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:106 true_negative:71316 false_positive:0 false_negative:44481 
edmonton_ocount_180_osize_35_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:19 true_negative:71316 false_positive:0 false_negative:44568 
edmonton_ocount_180_osize_35_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:2 true_negative:71316 false_positive:0 false_negative:44585 
edmonton_ocount_180_osize_35_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:71316 false_positive:0 false_negative:44586 
edmonton_ocount_180_osize_35_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:71316 false_positive:0 false_negative:44586 
