fhw_ocount_100_osize_11_otype_RECTANGLE.png threshold:0.000 precision:0.908 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:3536 false_negative:0 
fhw_ocount_100_osize_11_otype_RECTANGLE.png threshold:0.050 precision:0.913 recall:0.937 true_negative_rate:0.126 true_positive:32638 true_negative:445 false_positive:3091 false_negative:2193 
fhw_ocount_100_osize_11_otype_RECTANGLE.png threshold:0.100 precision:0.935 recall:0.789 true_negative_rate:0.459 true_positive:27473 true_negative:1624 false_positive:1912 false_negative:7358 
fhw_ocount_100_osize_11_otype_RECTANGLE.png threshold:0.150 precision:0.976 recall:0.608 true_negative_rate:0.850 true_positive:21165 true_negative:3006 false_positive:530 false_negative:13666 
fhw_ocount_100_osize_11_otype_RECTANGLE.png threshold:0.200 precision:0.991 recall:0.476 true_negative_rate:0.957 true_positive:16579 true_negative:3384 false_positive:152 false_negative:18252 
fhw_ocount_100_osize_11_otype_RECTANGLE.png threshold:0.250 precision:0.996 recall:0.390 true_negative_rate:0.985 true_positive:13588 true_negative:3484 false_positive:52 false_negative:21243 
fhw_ocount_100_osize_11_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.329 true_negative_rate:0.999 true_positive:11448 true_negative:3532 false_positive:4 false_negative:23383 
fhw_ocount_100_osize_11_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.271 true_negative_rate:1.000 true_positive:9454 true_negative:3536 false_positive:0 false_negative:25377 
fhw_ocount_100_osize_11_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.226 true_negative_rate:1.000 true_positive:7855 true_negative:3536 false_positive:0 false_negative:26976 
fhw_ocount_100_osize_11_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.185 true_negative_rate:1.000 true_positive:6444 true_negative:3536 false_positive:0 false_negative:28387 
fhw_ocount_100_osize_11_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.145 true_negative_rate:1.000 true_positive:5044 true_negative:3536 false_positive:0 false_negative:29787 
fhw_ocount_100_osize_11_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.111 true_negative_rate:1.000 true_positive:3882 true_negative:3536 false_positive:0 false_negative:30949 
fhw_ocount_100_osize_11_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.078 true_negative_rate:1.000 true_positive:2730 true_negative:3536 false_positive:0 false_negative:32101 
fhw_ocount_100_osize_11_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.050 true_negative_rate:1.000 true_positive:1727 true_negative:3536 false_positive:0 false_negative:33104 
fhw_ocount_100_osize_11_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.036 true_negative_rate:1.000 true_positive:1261 true_negative:3536 false_positive:0 false_negative:33570 
fhw_ocount_100_osize_11_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:961 true_negative:3536 false_positive:0 false_negative:33870 
fhw_ocount_100_osize_11_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.019 true_negative_rate:1.000 true_positive:670 true_negative:3536 false_positive:0 false_negative:34161 
fhw_ocount_100_osize_11_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.007 true_negative_rate:1.000 true_positive:239 true_negative:3536 false_positive:0 false_negative:34592 
fhw_ocount_100_osize_11_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:58 true_negative:3536 false_positive:0 false_negative:34773 
fhw_ocount_100_osize_11_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:3536 false_positive:0 false_negative:34818 
fhw_ocount_100_osize_11_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:3536 false_positive:0 false_negative:34830 
