fr079_ocount_160_osize_5_otype_SQUARE.png threshold:0.000 precision:0.961 recall:1.000 true_negative_rate:0.000 true_positive:36465 true_negative:0 false_positive:1486 false_negative:0 
fr079_ocount_160_osize_5_otype_SQUARE.png threshold:0.050 precision:0.977 recall:0.977 true_negative_rate:0.429 true_positive:35622 true_negative:638 false_positive:848 false_negative:843 
fr079_ocount_160_osize_5_otype_SQUARE.png threshold:0.100 precision:0.984 recall:0.905 true_negative_rate:0.637 true_positive:32983 true_negative:947 false_positive:539 false_negative:3482 
fr079_ocount_160_osize_5_otype_SQUARE.png threshold:0.150 precision:0.991 recall:0.763 true_negative_rate:0.826 true_positive:27838 true_negative:1228 false_positive:258 false_negative:8627 
fr079_ocount_160_osize_5_otype_SQUARE.png threshold:0.200 precision:0.996 recall:0.595 true_negative_rate:0.940 true_positive:21688 true_negative:1397 false_positive:89 false_negative:14777 
fr079_ocount_160_osize_5_otype_SQUARE.png threshold:0.250 precision:0.998 recall:0.461 true_negative_rate:0.977 true_positive:16828 true_negative:1452 false_positive:34 false_negative:19637 
fr079_ocount_160_osize_5_otype_SQUARE.png threshold:0.300 precision:0.998 recall:0.352 true_negative_rate:0.986 true_positive:12843 true_negative:1465 false_positive:21 false_negative:23622 
fr079_ocount_160_osize_5_otype_SQUARE.png threshold:0.350 precision:0.999 recall:0.253 true_negative_rate:0.994 true_positive:9214 true_negative:1477 false_positive:9 false_negative:27251 
fr079_ocount_160_osize_5_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.179 true_negative_rate:0.999 true_positive:6520 true_negative:1484 false_positive:2 false_negative:29945 
fr079_ocount_160_osize_5_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.124 true_negative_rate:1.000 true_positive:4534 true_negative:1486 false_positive:0 false_negative:31931 
fr079_ocount_160_osize_5_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.083 true_negative_rate:1.000 true_positive:3031 true_negative:1486 false_positive:0 false_negative:33434 
fr079_ocount_160_osize_5_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.053 true_negative_rate:1.000 true_positive:1920 true_negative:1486 false_positive:0 false_negative:34545 
fr079_ocount_160_osize_5_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.027 true_negative_rate:1.000 true_positive:983 true_negative:1486 false_positive:0 false_negative:35482 
fr079_ocount_160_osize_5_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.011 true_negative_rate:1.000 true_positive:405 true_negative:1486 false_positive:0 false_negative:36060 
fr079_ocount_160_osize_5_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.004 true_negative_rate:1.000 true_positive:162 true_negative:1486 false_positive:0 false_negative:36303 
fr079_ocount_160_osize_5_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:80 true_negative:1486 false_positive:0 false_negative:36385 
fr079_ocount_160_osize_5_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:38 true_negative:1486 false_positive:0 false_negative:36427 
fr079_ocount_160_osize_5_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:15 true_negative:1486 false_positive:0 false_negative:36450 
fr079_ocount_160_osize_5_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:10 true_negative:1486 false_positive:0 false_negative:36455 
fr079_ocount_160_osize_5_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:3 true_negative:1486 false_positive:0 false_negative:36462 
fr079_ocount_160_osize_5_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1486 false_positive:0 false_negative:36464 
