edmonton_ocount_140_osize_25_otype_SQUARE.png threshold:0.000 precision:0.631 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:26081 false_negative:0 
edmonton_ocount_140_osize_25_otype_SQUARE.png threshold:0.050 precision:0.599 recall:0.746 true_negative_rate:0.145 true_positive:33240 true_negative:3788 false_positive:22293 false_negative:11347 
edmonton_ocount_140_osize_25_otype_SQUARE.png threshold:0.100 precision:0.804 recall:0.487 true_negative_rate:0.796 true_positive:21723 true_negative:20771 false_positive:5310 false_negative:22864 
edmonton_ocount_140_osize_25_otype_SQUARE.png threshold:0.150 precision:0.951 recall:0.319 true_negative_rate:0.972 true_positive:14211 true_negative:25342 false_positive:739 false_negative:30376 
edmonton_ocount_140_osize_25_otype_SQUARE.png threshold:0.200 precision:0.976 recall:0.228 true_negative_rate:0.990 true_positive:10188 true_negative:25828 false_positive:253 false_negative:34399 
edmonton_ocount_140_osize_25_otype_SQUARE.png threshold:0.250 precision:0.986 recall:0.171 true_negative_rate:0.996 true_positive:7630 true_negative:25972 false_positive:109 false_negative:36957 
edmonton_ocount_140_osize_25_otype_SQUARE.png threshold:0.300 precision:0.992 recall:0.132 true_negative_rate:0.998 true_positive:5881 true_negative:26031 false_positive:50 false_negative:38706 
edmonton_ocount_140_osize_25_otype_SQUARE.png threshold:0.350 precision:0.996 recall:0.111 true_negative_rate:0.999 true_positive:4942 true_negative:26061 false_positive:20 false_negative:39645 
edmonton_ocount_140_osize_25_otype_SQUARE.png threshold:0.400 precision:0.998 recall:0.091 true_negative_rate:1.000 true_positive:4079 true_negative:26073 false_positive:8 false_negative:40508 
edmonton_ocount_140_osize_25_otype_SQUARE.png threshold:0.450 precision:0.999 recall:0.081 true_negative_rate:1.000 true_positive:3629 true_negative:26077 false_positive:4 false_negative:40958 
edmonton_ocount_140_osize_25_otype_SQUARE.png threshold:0.500 precision:0.999 recall:0.076 true_negative_rate:1.000 true_positive:3370 true_negative:26077 false_positive:4 false_negative:41217 
edmonton_ocount_140_osize_25_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3101 true_negative:26081 false_positive:0 false_negative:41486 
edmonton_ocount_140_osize_25_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3028 true_negative:26081 false_positive:0 false_negative:41559 
edmonton_ocount_140_osize_25_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:2742 true_negative:26081 false_positive:0 false_negative:41845 
edmonton_ocount_140_osize_25_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.018 true_negative_rate:1.000 true_positive:814 true_negative:26081 false_positive:0 false_negative:43773 
edmonton_ocount_140_osize_25_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:402 true_negative:26081 false_positive:0 false_negative:44185 
edmonton_ocount_140_osize_25_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:67 true_negative:26081 false_positive:0 false_negative:44520 
edmonton_ocount_140_osize_25_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:26081 false_positive:0 false_negative:44586 
edmonton_ocount_140_osize_25_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:26081 false_positive:0 false_negative:44586 
edmonton_ocount_140_osize_25_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:26081 false_positive:0 false_negative:44586 
edmonton_ocount_140_osize_25_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:26081 false_positive:0 false_negative:44586 
