fhw_ocount_20_osize_8_otype_RANDOM.png threshold:0.000 precision:0.985 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:537 false_negative:0 
fhw_ocount_20_osize_8_otype_RANDOM.png threshold:0.050 precision:0.986 recall:0.933 true_negative_rate:0.138 true_positive:32497 true_negative:74 false_positive:463 false_negative:2334 
fhw_ocount_20_osize_8_otype_RANDOM.png threshold:0.100 precision:0.990 recall:0.774 true_negative_rate:0.479 true_positive:26963 true_negative:257 false_positive:280 false_negative:7868 
fhw_ocount_20_osize_8_otype_RANDOM.png threshold:0.150 precision:0.995 recall:0.588 true_negative_rate:0.823 true_positive:20482 true_negative:442 false_positive:95 false_negative:14349 
fhw_ocount_20_osize_8_otype_RANDOM.png threshold:0.200 precision:0.998 recall:0.459 true_negative_rate:0.935 true_positive:15992 true_negative:502 false_positive:35 false_negative:18839 
fhw_ocount_20_osize_8_otype_RANDOM.png threshold:0.250 precision:0.999 recall:0.383 true_negative_rate:0.978 true_positive:13325 true_negative:525 false_positive:12 false_negative:21506 
fhw_ocount_20_osize_8_otype_RANDOM.png threshold:0.300 precision:1.000 recall:0.320 true_negative_rate:0.993 true_positive:11132 true_negative:533 false_positive:4 false_negative:23699 
fhw_ocount_20_osize_8_otype_RANDOM.png threshold:0.350 precision:1.000 recall:0.264 true_negative_rate:0.996 true_positive:9182 true_negative:535 false_positive:2 false_negative:25649 
fhw_ocount_20_osize_8_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.219 true_negative_rate:0.998 true_positive:7623 true_negative:536 false_positive:1 false_negative:27208 
fhw_ocount_20_osize_8_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.177 true_negative_rate:0.998 true_positive:6181 true_negative:536 false_positive:1 false_negative:28650 
fhw_ocount_20_osize_8_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.136 true_negative_rate:0.998 true_positive:4745 true_negative:536 false_positive:1 false_negative:30086 
fhw_ocount_20_osize_8_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.104 true_negative_rate:0.998 true_positive:3634 true_negative:536 false_positive:1 false_negative:31197 
fhw_ocount_20_osize_8_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.071 true_negative_rate:1.000 true_positive:2460 true_negative:537 false_positive:0 false_negative:32371 
fhw_ocount_20_osize_8_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.044 true_negative_rate:1.000 true_positive:1542 true_negative:537 false_positive:0 false_negative:33289 
fhw_ocount_20_osize_8_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.034 true_negative_rate:1.000 true_positive:1186 true_negative:537 false_positive:0 false_negative:33645 
fhw_ocount_20_osize_8_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.025 true_negative_rate:1.000 true_positive:884 true_negative:537 false_positive:0 false_negative:33947 
fhw_ocount_20_osize_8_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.014 true_negative_rate:1.000 true_positive:496 true_negative:537 false_positive:0 false_negative:34335 
fhw_ocount_20_osize_8_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.005 true_negative_rate:1.000 true_positive:167 true_negative:537 false_positive:0 false_negative:34664 
fhw_ocount_20_osize_8_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:37 true_negative:537 false_positive:0 false_negative:34794 
fhw_ocount_20_osize_8_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:537 false_positive:0 false_negative:34819 
fhw_ocount_20_osize_8_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:537 false_positive:0 false_negative:34830 
