fhw_ocount_20_osize_11_otype_SQUARE.png threshold:0.000 precision:0.982 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:652 false_negative:0 
fhw_ocount_20_osize_11_otype_SQUARE.png threshold:0.050 precision:0.983 recall:0.933 true_negative_rate:0.141 true_positive:32482 true_negative:92 false_positive:560 false_negative:2349 
fhw_ocount_20_osize_11_otype_SQUARE.png threshold:0.100 precision:0.988 recall:0.778 true_negative_rate:0.486 true_positive:27094 true_negative:317 false_positive:335 false_negative:7737 
fhw_ocount_20_osize_11_otype_SQUARE.png threshold:0.150 precision:0.998 recall:0.593 true_negative_rate:0.928 true_positive:20666 true_negative:605 false_positive:47 false_negative:14165 
fhw_ocount_20_osize_11_otype_SQUARE.png threshold:0.200 precision:1.000 recall:0.464 true_negative_rate:0.995 true_positive:16158 true_negative:649 false_positive:3 false_negative:18673 
fhw_ocount_20_osize_11_otype_SQUARE.png threshold:0.250 precision:1.000 recall:0.388 true_negative_rate:1.000 true_positive:13528 true_negative:652 false_positive:0 false_negative:21303 
fhw_ocount_20_osize_11_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.326 true_negative_rate:1.000 true_positive:11347 true_negative:652 false_positive:0 false_negative:23484 
fhw_ocount_20_osize_11_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.270 true_negative_rate:1.000 true_positive:9413 true_negative:652 false_positive:0 false_negative:25418 
fhw_ocount_20_osize_11_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.226 true_negative_rate:1.000 true_positive:7869 true_negative:652 false_positive:0 false_negative:26962 
fhw_ocount_20_osize_11_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.184 true_negative_rate:1.000 true_positive:6415 true_negative:652 false_positive:0 false_negative:28416 
fhw_ocount_20_osize_11_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.142 true_negative_rate:1.000 true_positive:4961 true_negative:652 false_positive:0 false_negative:29870 
fhw_ocount_20_osize_11_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.110 true_negative_rate:1.000 true_positive:3827 true_negative:652 false_positive:0 false_negative:31004 
fhw_ocount_20_osize_11_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.076 true_negative_rate:1.000 true_positive:2652 true_negative:652 false_positive:0 false_negative:32179 
fhw_ocount_20_osize_11_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.049 true_negative_rate:1.000 true_positive:1695 true_negative:652 false_positive:0 false_negative:33136 
fhw_ocount_20_osize_11_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.036 true_negative_rate:1.000 true_positive:1241 true_negative:652 false_positive:0 false_negative:33590 
fhw_ocount_20_osize_11_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:968 true_negative:652 false_positive:0 false_negative:33863 
fhw_ocount_20_osize_11_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.019 true_negative_rate:1.000 true_positive:665 true_negative:652 false_positive:0 false_negative:34166 
fhw_ocount_20_osize_11_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.006 true_negative_rate:1.000 true_positive:211 true_negative:652 false_positive:0 false_negative:34620 
fhw_ocount_20_osize_11_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:48 true_negative:652 false_positive:0 false_negative:34783 
fhw_ocount_20_osize_11_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:652 false_positive:0 false_negative:34818 
fhw_ocount_20_osize_11_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:652 false_positive:0 false_negative:34830 
