edmonton_ocount_80_osize_6_otype_RANDOM.png threshold:0.000 precision:0.967 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:1501 false_negative:0 
edmonton_ocount_80_osize_6_otype_RANDOM.png threshold:0.050 precision:0.994 recall:0.705 true_negative_rate:0.873 true_positive:31448 true_negative:1310 false_positive:191 false_negative:13139 
edmonton_ocount_80_osize_6_otype_RANDOM.png threshold:0.100 precision:0.998 recall:0.442 true_negative_rate:0.979 true_positive:19696 true_negative:1470 false_positive:31 false_negative:24891 
edmonton_ocount_80_osize_6_otype_RANDOM.png threshold:0.150 precision:0.999 recall:0.304 true_negative_rate:0.991 true_positive:13533 true_negative:1488 false_positive:13 false_negative:31054 
edmonton_ocount_80_osize_6_otype_RANDOM.png threshold:0.200 precision:0.999 recall:0.216 true_negative_rate:0.995 true_positive:9641 true_negative:1494 false_positive:7 false_negative:34946 
edmonton_ocount_80_osize_6_otype_RANDOM.png threshold:0.250 precision:0.999 recall:0.165 true_negative_rate:0.996 true_positive:7372 true_negative:1495 false_positive:6 false_negative:37215 
edmonton_ocount_80_osize_6_otype_RANDOM.png threshold:0.300 precision:1.000 recall:0.129 true_negative_rate:0.999 true_positive:5736 true_negative:1499 false_positive:2 false_negative:38851 
edmonton_ocount_80_osize_6_otype_RANDOM.png threshold:0.350 precision:1.000 recall:0.109 true_negative_rate:1.000 true_positive:4871 true_negative:1501 false_positive:0 false_negative:39716 
edmonton_ocount_80_osize_6_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.089 true_negative_rate:1.000 true_positive:3949 true_negative:1501 false_positive:0 false_negative:40638 
edmonton_ocount_80_osize_6_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3620 true_negative:1501 false_positive:0 false_negative:40967 
edmonton_ocount_80_osize_6_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.074 true_negative_rate:1.000 true_positive:3320 true_negative:1501 false_positive:0 false_negative:41267 
edmonton_ocount_80_osize_6_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3108 true_negative:1501 false_positive:0 false_negative:41479 
edmonton_ocount_80_osize_6_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3051 true_negative:1501 false_positive:0 false_negative:41536 
edmonton_ocount_80_osize_6_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:2698 true_negative:1501 false_positive:0 false_negative:41889 
edmonton_ocount_80_osize_6_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.015 true_negative_rate:1.000 true_positive:666 true_negative:1501 false_positive:0 false_negative:43921 
edmonton_ocount_80_osize_6_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:402 true_negative:1501 false_positive:0 false_negative:44185 
edmonton_ocount_80_osize_6_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:7 true_negative:1501 false_positive:0 false_negative:44580 
edmonton_ocount_80_osize_6_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1501 false_positive:0 false_negative:44586 
edmonton_ocount_80_osize_6_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1501 false_positive:0 false_negative:44586 
edmonton_ocount_80_osize_6_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1501 false_positive:0 false_negative:44586 
edmonton_ocount_80_osize_6_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1501 false_positive:0 false_negative:44586 
