edmonton_ocount_40_osize_26_otype_SQUARE.png threshold:0.000 precision:0.814 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:10162 false_negative:0 
edmonton_ocount_40_osize_26_otype_SQUARE.png threshold:0.050 precision:0.779 recall:0.719 true_negative_rate:0.108 true_positive:32041 true_negative:1096 false_positive:9066 false_negative:12546 
edmonton_ocount_40_osize_26_otype_SQUARE.png threshold:0.100 precision:0.893 recall:0.458 true_negative_rate:0.760 true_positive:20401 true_negative:7727 false_positive:2435 false_negative:24186 
edmonton_ocount_40_osize_26_otype_SQUARE.png threshold:0.150 precision:0.986 recall:0.302 true_negative_rate:0.981 true_positive:13483 true_negative:9968 false_positive:194 false_negative:31104 
edmonton_ocount_40_osize_26_otype_SQUARE.png threshold:0.200 precision:0.994 recall:0.219 true_negative_rate:0.994 true_positive:9768 true_negative:10101 false_positive:61 false_negative:34819 
edmonton_ocount_40_osize_26_otype_SQUARE.png threshold:0.250 precision:1.000 recall:0.164 true_negative_rate:1.000 true_positive:7330 true_negative:10161 false_positive:1 false_negative:37257 
edmonton_ocount_40_osize_26_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.129 true_negative_rate:1.000 true_positive:5749 true_negative:10162 false_positive:0 false_negative:38838 
edmonton_ocount_40_osize_26_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.109 true_negative_rate:1.000 true_positive:4876 true_negative:10162 false_positive:0 false_negative:39711 
edmonton_ocount_40_osize_26_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.089 true_negative_rate:1.000 true_positive:3962 true_negative:10162 false_positive:0 false_negative:40625 
edmonton_ocount_40_osize_26_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3617 true_negative:10162 false_positive:0 false_negative:40970 
edmonton_ocount_40_osize_26_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.074 true_negative_rate:1.000 true_positive:3310 true_negative:10162 false_positive:0 false_negative:41277 
edmonton_ocount_40_osize_26_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3105 true_negative:10162 false_positive:0 false_negative:41482 
edmonton_ocount_40_osize_26_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3054 true_negative:10162 false_positive:0 false_negative:41533 
edmonton_ocount_40_osize_26_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.062 true_negative_rate:1.000 true_positive:2752 true_negative:10162 false_positive:0 false_negative:41835 
edmonton_ocount_40_osize_26_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.016 true_negative_rate:1.000 true_positive:719 true_negative:10162 false_positive:0 false_negative:43868 
edmonton_ocount_40_osize_26_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:385 true_negative:10162 false_positive:0 false_negative:44202 
edmonton_ocount_40_osize_26_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:10162 false_positive:0 false_negative:44575 
edmonton_ocount_40_osize_26_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:10162 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_26_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:10162 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_26_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:10162 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_26_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:10162 false_positive:0 false_negative:44586 
