fr101_ocount_180_osize_5_otype_RANDOM.png threshold:0.000 precision:0.837 recall:1.000 true_negative_rate:0.000 true_positive:14893 true_negative:0 false_positive:2902 false_negative:0 
fr101_ocount_180_osize_5_otype_RANDOM.png threshold:0.050 precision:0.888 recall:0.926 true_negative_rate:0.401 true_positive:13785 true_negative:1165 false_positive:1737 false_negative:1108 
fr101_ocount_180_osize_5_otype_RANDOM.png threshold:0.100 precision:0.974 recall:0.811 true_negative_rate:0.890 true_positive:12079 true_negative:2582 false_positive:320 false_negative:2814 
fr101_ocount_180_osize_5_otype_RANDOM.png threshold:0.150 precision:0.989 recall:0.671 true_negative_rate:0.962 true_positive:9992 true_negative:2793 false_positive:109 false_negative:4901 
fr101_ocount_180_osize_5_otype_RANDOM.png threshold:0.200 precision:0.994 recall:0.560 true_negative_rate:0.982 true_positive:8342 true_negative:2850 false_positive:52 false_negative:6551 
fr101_ocount_180_osize_5_otype_RANDOM.png threshold:0.250 precision:0.997 recall:0.485 true_negative_rate:0.993 true_positive:7220 true_negative:2881 false_positive:21 false_negative:7673 
fr101_ocount_180_osize_5_otype_RANDOM.png threshold:0.300 precision:0.998 recall:0.422 true_negative_rate:0.996 true_positive:6282 true_negative:2890 false_positive:12 false_negative:8611 
fr101_ocount_180_osize_5_otype_RANDOM.png threshold:0.350 precision:0.998 recall:0.379 true_negative_rate:0.996 true_positive:5641 true_negative:2891 false_positive:11 false_negative:9252 
fr101_ocount_180_osize_5_otype_RANDOM.png threshold:0.400 precision:0.998 recall:0.335 true_negative_rate:0.997 true_positive:4984 true_negative:2894 false_positive:8 false_negative:9909 
fr101_ocount_180_osize_5_otype_RANDOM.png threshold:0.450 precision:0.999 recall:0.292 true_negative_rate:0.998 true_positive:4351 true_negative:2897 false_positive:5 false_negative:10542 
fr101_ocount_180_osize_5_otype_RANDOM.png threshold:0.500 precision:0.999 recall:0.259 true_negative_rate:0.998 true_positive:3851 true_negative:2897 false_positive:5 false_negative:11042 
fr101_ocount_180_osize_5_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.226 true_negative_rate:1.000 true_positive:3361 true_negative:2901 false_positive:1 false_negative:11532 
fr101_ocount_180_osize_5_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.197 true_negative_rate:1.000 true_positive:2939 true_negative:2901 false_positive:1 false_negative:11954 
fr101_ocount_180_osize_5_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.158 true_negative_rate:1.000 true_positive:2349 true_negative:2902 false_positive:0 false_negative:12544 
fr101_ocount_180_osize_5_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.121 true_negative_rate:1.000 true_positive:1795 true_negative:2902 false_positive:0 false_negative:13098 
fr101_ocount_180_osize_5_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.090 true_negative_rate:1.000 true_positive:1343 true_negative:2902 false_positive:0 false_negative:13550 
fr101_ocount_180_osize_5_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.062 true_negative_rate:1.000 true_positive:924 true_negative:2902 false_positive:0 false_negative:13969 
fr101_ocount_180_osize_5_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.030 true_negative_rate:1.000 true_positive:448 true_negative:2902 false_positive:0 false_negative:14445 
fr101_ocount_180_osize_5_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.010 true_negative_rate:1.000 true_positive:144 true_negative:2902 false_positive:0 false_negative:14749 
fr101_ocount_180_osize_5_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:38 true_negative:2902 false_positive:0 false_negative:14855 
fr101_ocount_180_osize_5_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2902 false_positive:0 false_negative:14892 
