csail_ocount_20_osize_17_otype_SQUARE.png threshold:0.000 precision:0.906 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:1749 false_negative:0 
csail_ocount_20_osize_17_otype_SQUARE.png threshold:0.050 precision:0.904 recall:0.962 true_negative_rate:0.011 true_positive:16216 true_negative:20 false_positive:1729 false_negative:641 
csail_ocount_20_osize_17_otype_SQUARE.png threshold:0.100 precision:0.899 recall:0.859 true_negative_rate:0.070 true_positive:14476 true_negative:123 false_positive:1626 false_negative:2381 
csail_ocount_20_osize_17_otype_SQUARE.png threshold:0.150 precision:0.894 recall:0.684 true_negative_rate:0.222 true_positive:11523 true_negative:388 false_positive:1361 false_negative:5334 
csail_ocount_20_osize_17_otype_SQUARE.png threshold:0.200 precision:0.905 recall:0.490 true_negative_rate:0.503 true_positive:8262 true_negative:879 false_positive:870 false_negative:8595 
csail_ocount_20_osize_17_otype_SQUARE.png threshold:0.250 precision:0.918 recall:0.347 true_negative_rate:0.702 true_positive:5848 true_negative:1227 false_positive:522 false_negative:11009 
csail_ocount_20_osize_17_otype_SQUARE.png threshold:0.300 precision:0.950 recall:0.256 true_negative_rate:0.869 true_positive:4315 true_negative:1520 false_positive:229 false_negative:12542 
csail_ocount_20_osize_17_otype_SQUARE.png threshold:0.350 precision:0.986 recall:0.187 true_negative_rate:0.974 true_positive:3157 true_negative:1704 false_positive:45 false_negative:13700 
csail_ocount_20_osize_17_otype_SQUARE.png threshold:0.400 precision:0.993 recall:0.135 true_negative_rate:0.991 true_positive:2271 true_negative:1733 false_positive:16 false_negative:14586 
csail_ocount_20_osize_17_otype_SQUARE.png threshold:0.450 precision:0.997 recall:0.092 true_negative_rate:0.998 true_positive:1553 true_negative:1745 false_positive:4 false_negative:15304 
csail_ocount_20_osize_17_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.056 true_negative_rate:1.000 true_positive:952 true_negative:1749 false_positive:0 false_negative:15905 
csail_ocount_20_osize_17_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.033 true_negative_rate:1.000 true_positive:552 true_negative:1749 false_positive:0 false_negative:16305 
csail_ocount_20_osize_17_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.017 true_negative_rate:1.000 true_positive:294 true_negative:1749 false_positive:0 false_negative:16563 
csail_ocount_20_osize_17_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.008 true_negative_rate:1.000 true_positive:129 true_negative:1749 false_positive:0 false_negative:16728 
csail_ocount_20_osize_17_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:40 true_negative:1749 false_positive:0 false_negative:16817 
csail_ocount_20_osize_17_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:23 true_negative:1749 false_positive:0 false_negative:16834 
csail_ocount_20_osize_17_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:16 true_negative:1749 false_positive:0 false_negative:16841 
csail_ocount_20_osize_17_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:10 true_negative:1749 false_positive:0 false_negative:16847 
csail_ocount_20_osize_17_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:5 true_negative:1749 false_positive:0 false_negative:16852 
csail_ocount_20_osize_17_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:3 true_negative:1749 false_positive:0 false_negative:16854 
csail_ocount_20_osize_17_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1749 false_positive:0 false_negative:16856 
