csail_ocount_20_osize_5_otype_SQUARE.png threshold:0.000 precision:0.985 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:251 false_negative:0 
csail_ocount_20_osize_5_otype_SQUARE.png threshold:0.050 precision:0.987 recall:0.966 true_negative_rate:0.120 true_positive:16289 true_negative:30 false_positive:221 false_negative:568 
csail_ocount_20_osize_5_otype_SQUARE.png threshold:0.100 precision:0.991 recall:0.868 true_negative_rate:0.486 true_positive:14629 true_negative:122 false_positive:129 false_negative:2228 
csail_ocount_20_osize_5_otype_SQUARE.png threshold:0.150 precision:0.995 recall:0.693 true_negative_rate:0.769 true_positive:11675 true_negative:193 false_positive:58 false_negative:5182 
csail_ocount_20_osize_5_otype_SQUARE.png threshold:0.200 precision:0.996 recall:0.502 true_negative_rate:0.873 true_positive:8469 true_negative:219 false_positive:32 false_negative:8388 
csail_ocount_20_osize_5_otype_SQUARE.png threshold:0.250 precision:0.999 recall:0.362 true_negative_rate:0.976 true_positive:6096 true_negative:245 false_positive:6 false_negative:10761 
csail_ocount_20_osize_5_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.266 true_negative_rate:1.000 true_positive:4476 true_negative:251 false_positive:0 false_negative:12381 
csail_ocount_20_osize_5_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.199 true_negative_rate:1.000 true_positive:3356 true_negative:251 false_positive:0 false_negative:13501 
csail_ocount_20_osize_5_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.145 true_negative_rate:1.000 true_positive:2436 true_negative:251 false_positive:0 false_negative:14421 
csail_ocount_20_osize_5_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.101 true_negative_rate:1.000 true_positive:1709 true_negative:251 false_positive:0 false_negative:15148 
csail_ocount_20_osize_5_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.064 true_negative_rate:1.000 true_positive:1080 true_negative:251 false_positive:0 false_negative:15777 
csail_ocount_20_osize_5_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.038 true_negative_rate:1.000 true_positive:645 true_negative:251 false_positive:0 false_negative:16212 
csail_ocount_20_osize_5_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.022 true_negative_rate:1.000 true_positive:369 true_negative:251 false_positive:0 false_negative:16488 
csail_ocount_20_osize_5_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:156 true_negative:251 false_positive:0 false_negative:16701 
csail_ocount_20_osize_5_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:53 true_negative:251 false_positive:0 false_negative:16804 
csail_ocount_20_osize_5_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:25 true_negative:251 false_positive:0 false_negative:16832 
csail_ocount_20_osize_5_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:20 true_negative:251 false_positive:0 false_negative:16837 
csail_ocount_20_osize_5_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:14 true_negative:251 false_positive:0 false_negative:16843 
csail_ocount_20_osize_5_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:5 true_negative:251 false_positive:0 false_negative:16852 
csail_ocount_20_osize_5_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:3 true_negative:251 false_positive:0 false_negative:16854 
csail_ocount_20_osize_5_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:251 false_positive:0 false_negative:16856 
