fhw_ocount_40_osize_4_otype_SQUARE.png threshold:0.000 precision:0.991 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:299 false_negative:0 
fhw_ocount_40_osize_4_otype_SQUARE.png threshold:0.050 precision:0.995 recall:0.935 true_negative_rate:0.415 true_positive:32567 true_negative:124 false_positive:175 false_negative:2264 
fhw_ocount_40_osize_4_otype_SQUARE.png threshold:0.100 precision:0.997 recall:0.779 true_negative_rate:0.763 true_positive:27138 true_negative:228 false_positive:71 false_negative:7693 
fhw_ocount_40_osize_4_otype_SQUARE.png threshold:0.150 precision:0.999 recall:0.595 true_negative_rate:0.953 true_positive:20721 true_negative:285 false_positive:14 false_negative:14110 
fhw_ocount_40_osize_4_otype_SQUARE.png threshold:0.200 precision:1.000 recall:0.464 true_negative_rate:0.980 true_positive:16172 true_negative:293 false_positive:6 false_negative:18659 
fhw_ocount_40_osize_4_otype_SQUARE.png threshold:0.250 precision:1.000 recall:0.389 true_negative_rate:0.987 true_positive:13552 true_negative:295 false_positive:4 false_negative:21279 
fhw_ocount_40_osize_4_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.324 true_negative_rate:0.990 true_positive:11300 true_negative:296 false_positive:3 false_negative:23531 
fhw_ocount_40_osize_4_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.269 true_negative_rate:0.990 true_positive:9386 true_negative:296 false_positive:3 false_negative:25445 
fhw_ocount_40_osize_4_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.225 true_negative_rate:0.990 true_positive:7838 true_negative:296 false_positive:3 false_negative:26993 
fhw_ocount_40_osize_4_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.183 true_negative_rate:1.000 true_positive:6383 true_negative:299 false_positive:0 false_negative:28448 
fhw_ocount_40_osize_4_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.141 true_negative_rate:1.000 true_positive:4928 true_negative:299 false_positive:0 false_negative:29903 
fhw_ocount_40_osize_4_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.109 true_negative_rate:1.000 true_positive:3806 true_negative:299 false_positive:0 false_negative:31025 
fhw_ocount_40_osize_4_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.075 true_negative_rate:1.000 true_positive:2621 true_negative:299 false_positive:0 false_negative:32210 
fhw_ocount_40_osize_4_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.049 true_negative_rate:1.000 true_positive:1696 true_negative:299 false_positive:0 false_negative:33135 
fhw_ocount_40_osize_4_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.036 true_negative_rate:1.000 true_positive:1253 true_negative:299 false_positive:0 false_negative:33578 
fhw_ocount_40_osize_4_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:958 true_negative:299 false_positive:0 false_negative:33873 
fhw_ocount_40_osize_4_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.018 true_negative_rate:1.000 true_positive:644 true_negative:299 false_positive:0 false_negative:34187 
fhw_ocount_40_osize_4_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.006 true_negative_rate:1.000 true_positive:198 true_negative:299 false_positive:0 false_negative:34633 
fhw_ocount_40_osize_4_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:47 true_negative:299 false_positive:0 false_negative:34784 
fhw_ocount_40_osize_4_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:299 false_positive:0 false_negative:34818 
fhw_ocount_40_osize_4_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:299 false_positive:0 false_negative:34830 
