edmonton_ocount_140_osize_12_otype_RECTANGLE.png threshold:0.000 precision:0.882 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:5960 false_negative:0 
edmonton_ocount_140_osize_12_otype_RECTANGLE.png threshold:0.050 precision:0.964 recall:0.714 true_negative_rate:0.800 true_positive:31825 true_negative:4766 false_positive:1194 false_negative:12762 
edmonton_ocount_140_osize_12_otype_RECTANGLE.png threshold:0.100 precision:0.996 recall:0.442 true_negative_rate:0.987 true_positive:19701 true_negative:5883 false_positive:77 false_negative:24886 
edmonton_ocount_140_osize_12_otype_RECTANGLE.png threshold:0.150 precision:1.000 recall:0.303 true_negative_rate:0.999 true_positive:13532 true_negative:5955 false_positive:5 false_negative:31055 
edmonton_ocount_140_osize_12_otype_RECTANGLE.png threshold:0.200 precision:1.000 recall:0.216 true_negative_rate:1.000 true_positive:9626 true_negative:5959 false_positive:1 false_negative:34961 
edmonton_ocount_140_osize_12_otype_RECTANGLE.png threshold:0.250 precision:1.000 recall:0.167 true_negative_rate:1.000 true_positive:7437 true_negative:5959 false_positive:1 false_negative:37150 
edmonton_ocount_140_osize_12_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.128 true_negative_rate:1.000 true_positive:5712 true_negative:5960 false_positive:0 false_negative:38875 
edmonton_ocount_140_osize_12_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.109 true_negative_rate:1.000 true_positive:4881 true_negative:5960 false_positive:0 false_negative:39706 
edmonton_ocount_140_osize_12_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.089 true_negative_rate:1.000 true_positive:3947 true_negative:5960 false_positive:0 false_negative:40640 
edmonton_ocount_140_osize_12_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3618 true_negative:5960 false_positive:0 false_negative:40969 
edmonton_ocount_140_osize_12_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.074 true_negative_rate:1.000 true_positive:3313 true_negative:5960 false_positive:0 false_negative:41274 
edmonton_ocount_140_osize_12_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3108 true_negative:5960 false_positive:0 false_negative:41479 
edmonton_ocount_140_osize_12_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3045 true_negative:5960 false_positive:0 false_negative:41542 
edmonton_ocount_140_osize_12_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:2685 true_negative:5960 false_positive:0 false_negative:41902 
edmonton_ocount_140_osize_12_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.016 true_negative_rate:1.000 true_positive:692 true_negative:5960 false_positive:0 false_negative:43895 
edmonton_ocount_140_osize_12_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:418 true_negative:5960 false_positive:0 false_negative:44169 
edmonton_ocount_140_osize_12_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:9 true_negative:5960 false_positive:0 false_negative:44578 
edmonton_ocount_140_osize_12_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:5960 false_positive:0 false_negative:44586 
edmonton_ocount_140_osize_12_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:5960 false_positive:0 false_negative:44586 
edmonton_ocount_140_osize_12_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:5960 false_positive:0 false_negative:44586 
edmonton_ocount_140_osize_12_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:5960 false_positive:0 false_negative:44586 
