fr101_ocount_80_osize_6_otype_SQUARE.png threshold:0.000 precision:0.930 recall:1.000 true_negative_rate:0.000 true_positive:14893 true_negative:0 false_positive:1121 false_negative:0 
fr101_ocount_80_osize_6_otype_SQUARE.png threshold:0.050 precision:0.952 recall:0.922 true_negative_rate:0.381 true_positive:13730 true_negative:427 false_positive:694 false_negative:1163 
fr101_ocount_80_osize_6_otype_SQUARE.png threshold:0.100 precision:0.988 recall:0.804 true_negative_rate:0.872 true_positive:11968 true_negative:977 false_positive:144 false_negative:2925 
fr101_ocount_80_osize_6_otype_SQUARE.png threshold:0.150 precision:0.997 recall:0.668 true_negative_rate:0.972 true_positive:9943 true_negative:1090 false_positive:31 false_negative:4950 
fr101_ocount_80_osize_6_otype_SQUARE.png threshold:0.200 precision:1.000 recall:0.555 true_negative_rate:0.998 true_positive:8271 true_negative:1119 false_positive:2 false_negative:6622 
fr101_ocount_80_osize_6_otype_SQUARE.png threshold:0.250 precision:1.000 recall:0.483 true_negative_rate:0.999 true_positive:7200 true_negative:1120 false_positive:1 false_negative:7693 
fr101_ocount_80_osize_6_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.421 true_negative_rate:1.000 true_positive:6269 true_negative:1121 false_positive:0 false_negative:8624 
fr101_ocount_80_osize_6_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.379 true_negative_rate:1.000 true_positive:5640 true_negative:1121 false_positive:0 false_negative:9253 
fr101_ocount_80_osize_6_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.333 true_negative_rate:1.000 true_positive:4963 true_negative:1121 false_positive:0 false_negative:9930 
fr101_ocount_80_osize_6_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.290 true_negative_rate:1.000 true_positive:4319 true_negative:1121 false_positive:0 false_negative:10574 
fr101_ocount_80_osize_6_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.258 true_negative_rate:1.000 true_positive:3837 true_negative:1121 false_positive:0 false_negative:11056 
fr101_ocount_80_osize_6_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.225 true_negative_rate:1.000 true_positive:3344 true_negative:1121 false_positive:0 false_negative:11549 
fr101_ocount_80_osize_6_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.195 true_negative_rate:1.000 true_positive:2906 true_negative:1121 false_positive:0 false_negative:11987 
fr101_ocount_80_osize_6_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.154 true_negative_rate:1.000 true_positive:2298 true_negative:1121 false_positive:0 false_negative:12595 
fr101_ocount_80_osize_6_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.120 true_negative_rate:1.000 true_positive:1788 true_negative:1121 false_positive:0 false_negative:13105 
fr101_ocount_80_osize_6_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.091 true_negative_rate:1.000 true_positive:1358 true_negative:1121 false_positive:0 false_negative:13535 
fr101_ocount_80_osize_6_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:915 true_negative:1121 false_positive:0 false_negative:13978 
fr101_ocount_80_osize_6_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.030 true_negative_rate:1.000 true_positive:443 true_negative:1121 false_positive:0 false_negative:14450 
fr101_ocount_80_osize_6_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.010 true_negative_rate:1.000 true_positive:156 true_negative:1121 false_positive:0 false_negative:14737 
fr101_ocount_80_osize_6_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:35 true_negative:1121 false_positive:0 false_negative:14858 
fr101_ocount_80_osize_6_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1121 false_positive:0 false_negative:14892 
