csail_ocount_100_osize_11_otype_RANDOM.png threshold:0.000 precision:0.782 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:4708 false_negative:0 
csail_ocount_100_osize_11_otype_RANDOM.png threshold:0.050 precision:0.783 recall:0.946 true_negative_rate:0.060 true_positive:15941 true_negative:283 false_positive:4425 false_negative:916 
csail_ocount_100_osize_11_otype_RANDOM.png threshold:0.100 precision:0.801 recall:0.816 true_negative_rate:0.274 true_positive:13761 true_negative:1289 false_positive:3419 false_negative:3096 
csail_ocount_100_osize_11_otype_RANDOM.png threshold:0.150 precision:0.846 recall:0.631 true_negative_rate:0.588 true_positive:10631 true_negative:2767 false_positive:1941 false_negative:6226 
csail_ocount_100_osize_11_otype_RANDOM.png threshold:0.200 precision:0.913 recall:0.453 true_negative_rate:0.845 true_positive:7637 true_negative:3978 false_positive:730 false_negative:9220 
csail_ocount_100_osize_11_otype_RANDOM.png threshold:0.250 precision:0.963 recall:0.331 true_negative_rate:0.955 true_positive:5574 true_negative:4495 false_positive:213 false_negative:11283 
csail_ocount_100_osize_11_otype_RANDOM.png threshold:0.300 precision:0.986 recall:0.252 true_negative_rate:0.987 true_positive:4246 true_negative:4649 false_positive:59 false_negative:12611 
csail_ocount_100_osize_11_otype_RANDOM.png threshold:0.350 precision:0.994 recall:0.189 true_negative_rate:0.996 true_positive:3179 true_negative:4690 false_positive:18 false_negative:13678 
csail_ocount_100_osize_11_otype_RANDOM.png threshold:0.400 precision:0.998 recall:0.137 true_negative_rate:0.999 true_positive:2311 true_negative:4704 false_positive:4 false_negative:14546 
csail_ocount_100_osize_11_otype_RANDOM.png threshold:0.450 precision:0.999 recall:0.096 true_negative_rate:1.000 true_positive:1617 true_negative:4706 false_positive:2 false_negative:15240 
csail_ocount_100_osize_11_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.059 true_negative_rate:1.000 true_positive:996 true_negative:4708 false_positive:0 false_negative:15861 
csail_ocount_100_osize_11_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.036 true_negative_rate:1.000 true_positive:599 true_negative:4708 false_positive:0 false_negative:16258 
csail_ocount_100_osize_11_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.018 true_negative_rate:1.000 true_positive:308 true_negative:4708 false_positive:0 false_negative:16549 
csail_ocount_100_osize_11_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.008 true_negative_rate:1.000 true_positive:131 true_negative:4708 false_positive:0 false_negative:16726 
csail_ocount_100_osize_11_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:56 true_negative:4708 false_positive:0 false_negative:16801 
csail_ocount_100_osize_11_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:28 true_negative:4708 false_positive:0 false_negative:16829 
csail_ocount_100_osize_11_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:18 true_negative:4708 false_positive:0 false_negative:16839 
csail_ocount_100_osize_11_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:9 true_negative:4708 false_positive:0 false_negative:16848 
csail_ocount_100_osize_11_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:5 true_negative:4708 false_positive:0 false_negative:16852 
csail_ocount_100_osize_11_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:3 true_negative:4708 false_positive:0 false_negative:16854 
csail_ocount_100_osize_11_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:4708 false_positive:0 false_negative:16856 
