aces_publicb_ocount_100_osize_22_otype_SQUARE.png threshold:0.000 precision:0.699 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:16257 false_negative:0 
aces_publicb_ocount_100_osize_22_otype_SQUARE.png threshold:0.050 precision:0.685 recall:0.889 true_negative_rate:0.050 true_positive:33608 true_negative:820 false_positive:15437 false_negative:4187 
aces_publicb_ocount_100_osize_22_otype_SQUARE.png threshold:0.100 precision:0.722 recall:0.750 true_negative_rate:0.329 true_positive:28351 true_negative:5351 false_positive:10906 false_negative:9444 
aces_publicb_ocount_100_osize_22_otype_SQUARE.png threshold:0.150 precision:0.850 recall:0.641 true_negative_rate:0.737 true_positive:24228 true_negative:11988 false_positive:4269 false_negative:13567 
aces_publicb_ocount_100_osize_22_otype_SQUARE.png threshold:0.200 precision:0.950 recall:0.555 true_negative_rate:0.932 true_positive:20982 true_negative:15159 false_positive:1098 false_negative:16813 
aces_publicb_ocount_100_osize_22_otype_SQUARE.png threshold:0.250 precision:0.984 recall:0.491 true_negative_rate:0.981 true_positive:18566 true_negative:15954 false_positive:303 false_negative:19229 
aces_publicb_ocount_100_osize_22_otype_SQUARE.png threshold:0.300 precision:0.994 recall:0.429 true_negative_rate:0.994 true_positive:16211 true_negative:16162 false_positive:95 false_negative:21584 
aces_publicb_ocount_100_osize_22_otype_SQUARE.png threshold:0.350 precision:0.997 recall:0.372 true_negative_rate:0.998 true_positive:14072 true_negative:16217 false_positive:40 false_negative:23723 
aces_publicb_ocount_100_osize_22_otype_SQUARE.png threshold:0.400 precision:0.998 recall:0.301 true_negative_rate:0.998 true_positive:11370 true_negative:16229 false_positive:28 false_negative:26425 
aces_publicb_ocount_100_osize_22_otype_SQUARE.png threshold:0.450 precision:0.999 recall:0.242 true_negative_rate:0.999 true_positive:9165 true_negative:16245 false_positive:12 false_negative:28630 
aces_publicb_ocount_100_osize_22_otype_SQUARE.png threshold:0.500 precision:0.999 recall:0.194 true_negative_rate:1.000 true_positive:7330 true_negative:16252 false_positive:5 false_negative:30465 
aces_publicb_ocount_100_osize_22_otype_SQUARE.png threshold:0.550 precision:0.999 recall:0.148 true_negative_rate:1.000 true_positive:5593 true_negative:16252 false_positive:5 false_negative:32202 
aces_publicb_ocount_100_osize_22_otype_SQUARE.png threshold:0.600 precision:0.999 recall:0.107 true_negative_rate:1.000 true_positive:4037 true_negative:16252 false_positive:5 false_negative:33758 
aces_publicb_ocount_100_osize_22_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.071 true_negative_rate:1.000 true_positive:2677 true_negative:16256 false_positive:1 false_negative:35118 
aces_publicb_ocount_100_osize_22_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.042 true_negative_rate:1.000 true_positive:1572 true_negative:16257 false_positive:0 false_negative:36223 
aces_publicb_ocount_100_osize_22_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.018 true_negative_rate:1.000 true_positive:675 true_negative:16257 false_positive:0 false_negative:37120 
aces_publicb_ocount_100_osize_22_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.004 true_negative_rate:1.000 true_positive:143 true_negative:16257 false_positive:0 false_negative:37652 
aces_publicb_ocount_100_osize_22_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:41 true_negative:16257 false_positive:0 false_negative:37754 
aces_publicb_ocount_100_osize_22_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:27 true_negative:16257 false_positive:0 false_negative:37768 
aces_publicb_ocount_100_osize_22_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:14 true_negative:16257 false_positive:0 false_negative:37781 
aces_publicb_ocount_100_osize_22_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:16257 false_positive:0 false_negative:37794 
