aces_publicb_ocount_80_osize_15_otype_RECTANGLE.png threshold:0.000 precision:0.884 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:4948 false_negative:0 
aces_publicb_ocount_80_osize_15_otype_RECTANGLE.png threshold:0.050 precision:0.896 recall:0.864 true_negative_rate:0.230 true_positive:32652 true_negative:1140 false_positive:3808 false_negative:5143 
aces_publicb_ocount_80_osize_15_otype_RECTANGLE.png threshold:0.100 precision:0.972 recall:0.721 true_negative_rate:0.839 true_positive:27252 true_negative:4149 false_positive:799 false_negative:10543 
aces_publicb_ocount_80_osize_15_otype_RECTANGLE.png threshold:0.150 precision:0.992 recall:0.619 true_negative_rate:0.960 true_positive:23399 true_negative:4752 false_positive:196 false_negative:14396 
aces_publicb_ocount_80_osize_15_otype_RECTANGLE.png threshold:0.200 precision:0.994 recall:0.541 true_negative_rate:0.976 true_positive:20444 true_negative:4827 false_positive:121 false_negative:17351 
aces_publicb_ocount_80_osize_15_otype_RECTANGLE.png threshold:0.250 precision:0.996 recall:0.480 true_negative_rate:0.984 true_positive:18141 true_negative:4871 false_positive:77 false_negative:19654 
aces_publicb_ocount_80_osize_15_otype_RECTANGLE.png threshold:0.300 precision:0.997 recall:0.421 true_negative_rate:0.989 true_positive:15922 true_negative:4894 false_positive:54 false_negative:21873 
aces_publicb_ocount_80_osize_15_otype_RECTANGLE.png threshold:0.350 precision:0.998 recall:0.358 true_negative_rate:0.994 true_positive:13531 true_negative:4918 false_positive:30 false_negative:24264 
aces_publicb_ocount_80_osize_15_otype_RECTANGLE.png threshold:0.400 precision:0.999 recall:0.286 true_negative_rate:0.998 true_positive:10817 true_negative:4938 false_positive:10 false_negative:26978 
aces_publicb_ocount_80_osize_15_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.231 true_negative_rate:1.000 true_positive:8740 true_negative:4947 false_positive:1 false_negative:29055 
aces_publicb_ocount_80_osize_15_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.184 true_negative_rate:1.000 true_positive:6972 true_negative:4947 false_positive:1 false_negative:30823 
aces_publicb_ocount_80_osize_15_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.140 true_negative_rate:1.000 true_positive:5282 true_negative:4947 false_positive:1 false_negative:32513 
aces_publicb_ocount_80_osize_15_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.100 true_negative_rate:1.000 true_positive:3768 true_negative:4947 false_positive:1 false_negative:34027 
aces_publicb_ocount_80_osize_15_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.067 true_negative_rate:1.000 true_positive:2516 true_negative:4947 false_positive:1 false_negative:35279 
aces_publicb_ocount_80_osize_15_otype_RECTANGLE.png threshold:0.700 precision:0.999 recall:0.035 true_negative_rate:1.000 true_positive:1310 true_negative:4947 false_positive:1 false_negative:36485 
aces_publicb_ocount_80_osize_15_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.015 true_negative_rate:1.000 true_positive:569 true_negative:4948 false_positive:0 false_negative:37226 
aces_publicb_ocount_80_osize_15_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:113 true_negative:4948 false_positive:0 false_negative:37682 
aces_publicb_ocount_80_osize_15_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:34 true_negative:4948 false_positive:0 false_negative:37761 
aces_publicb_ocount_80_osize_15_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:24 true_negative:4948 false_positive:0 false_negative:37771 
aces_publicb_ocount_80_osize_15_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:4948 false_positive:0 false_negative:37782 
aces_publicb_ocount_80_osize_15_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:4948 false_positive:0 false_negative:37794 
