fhw_ocount_100_osize_3_otype_SQUARE.png threshold:0.000 precision:0.987 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:454 false_negative:0 
fhw_ocount_100_osize_3_otype_SQUARE.png threshold:0.050 precision:0.993 recall:0.935 true_negative_rate:0.524 true_positive:32563 true_negative:238 false_positive:216 false_negative:2268 
fhw_ocount_100_osize_3_otype_SQUARE.png threshold:0.100 precision:0.997 recall:0.780 true_negative_rate:0.841 true_positive:27155 true_negative:382 false_positive:72 false_negative:7676 
fhw_ocount_100_osize_3_otype_SQUARE.png threshold:0.150 precision:0.998 recall:0.596 true_negative_rate:0.919 true_positive:20745 true_negative:417 false_positive:37 false_negative:14086 
fhw_ocount_100_osize_3_otype_SQUARE.png threshold:0.200 precision:0.999 recall:0.465 true_negative_rate:0.960 true_positive:16199 true_negative:436 false_positive:18 false_negative:18632 
fhw_ocount_100_osize_3_otype_SQUARE.png threshold:0.250 precision:0.999 recall:0.387 true_negative_rate:0.974 true_positive:13482 true_negative:442 false_positive:12 false_negative:21349 
fhw_ocount_100_osize_3_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.326 true_negative_rate:0.989 true_positive:11362 true_negative:449 false_positive:5 false_negative:23469 
fhw_ocount_100_osize_3_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.272 true_negative_rate:0.996 true_positive:9460 true_negative:452 false_positive:2 false_negative:25371 
fhw_ocount_100_osize_3_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.227 true_negative_rate:1.000 true_positive:7890 true_negative:454 false_positive:0 false_negative:26941 
fhw_ocount_100_osize_3_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.184 true_negative_rate:1.000 true_positive:6423 true_negative:454 false_positive:0 false_negative:28408 
fhw_ocount_100_osize_3_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.144 true_negative_rate:1.000 true_positive:5003 true_negative:454 false_positive:0 false_negative:29828 
fhw_ocount_100_osize_3_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.110 true_negative_rate:1.000 true_positive:3841 true_negative:454 false_positive:0 false_negative:30990 
fhw_ocount_100_osize_3_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.077 true_negative_rate:1.000 true_positive:2668 true_negative:454 false_positive:0 false_negative:32163 
fhw_ocount_100_osize_3_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.049 true_negative_rate:1.000 true_positive:1705 true_negative:454 false_positive:0 false_negative:33126 
fhw_ocount_100_osize_3_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.036 true_negative_rate:1.000 true_positive:1244 true_negative:454 false_positive:0 false_negative:33587 
fhw_ocount_100_osize_3_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:972 true_negative:454 false_positive:0 false_negative:33859 
fhw_ocount_100_osize_3_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.019 true_negative_rate:1.000 true_positive:672 true_negative:454 false_positive:0 false_negative:34159 
fhw_ocount_100_osize_3_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.006 true_negative_rate:1.000 true_positive:219 true_negative:454 false_positive:0 false_negative:34612 
fhw_ocount_100_osize_3_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:54 true_negative:454 false_positive:0 false_negative:34777 
fhw_ocount_100_osize_3_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:454 false_positive:0 false_negative:34818 
fhw_ocount_100_osize_3_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:454 false_positive:0 false_negative:34830 
